file,class,method,variable,usage
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,log,2
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,level,2
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,connection,2
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,dataSource,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,log,2
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,connection,3
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,closeConnection,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",connection,3
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",closeConnection,3
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",level,3
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",dataSource,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",closeConnection,3
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,getConnection/0,connection,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,getJobTitle/0,jobTitle,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,setJobTitle/1[java.lang.String],jobTitle,3
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultNullFromCallableStatement/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromResultSetByPosition/0,INSTANT,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromResultSetByPosition/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultNullFromResultSetByPosition/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromCallableStatement/0,INSTANT,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromCallableStatement/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultNullFromResultSetByName/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldSetParameter/0,INSTANT,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldSetParameter/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromResultSetByName/0,INSTANT,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,shouldGetResultFromResultSetByName/0,TYPE_HANDLER,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,handleResult/1[org.apache.ibatis.submitted.deferload_common_property.ResultContext],children,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,isDebugEnabled/0,log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,error/1[java.lang.String],log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,isTraceEnabled/0,log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,trace/1[java.lang.String],log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,debug/1[java.lang.String],log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,warn/1[java.lang.String],log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,Slf4jLoggerImpl/1[org.apache.ibatis.logging.slf4j.Logger],log,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,"error/2[java.lang.String,java.lang.Throwable]",log,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,factory,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,POJO_DESCRIPTION,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,POJO_ID,2
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldFailLoadingImmutablePOJO/0,factory,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldFailLoadingImmutablePOJO/0,POJO_ID,1
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,setupClass/0,factory,2
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cache\decorators\LoggingCache.java,org.apache.ibatis.cache.decorators.LoggingCache,getObject/1[java.lang.Object],delegate,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cache\decorators\LoggingCache.java,org.apache.ibatis.cache.decorators.LoggingCache,getObject/1[java.lang.Object],hits,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cache\decorators\LoggingCache.java,org.apache.ibatis.cache.decorators.LoggingCache,getObject/1[java.lang.Object],log,2
