file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,101
C:\Users\syuuj\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,0.0,-1.0,15.0,5.0,0.25,-1.0,6.0,21
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\jdbc\SQLTest.java,org.apache.ibatis.jdbc.SQLTest$9,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,216
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\substitution_in_annots\SubstitutionInAnnotsMapper.java,org.apache.ibatis.submitted.substitution_in_annots.SubstitutionInAnnotsMapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,21
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\jdbc\SelectBuilder.java,org.apache.ibatis.jdbc.SelectBuilder,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,24
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\maptypehandler\MapTypeHandlerTest.java,org.apache.ibatis.submitted.maptypehandler.MapTypeHandlerTest,0.0,-1.0,12.0,1.0,0.07692308,-1.0,9.0,36
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\mapping\ResultMappingTest.java,org.apache.ibatis.mapping.ResultMappingTest,0.0,-1.0,2.0,2.0,0.5,-1.0,1.0,26
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\xmltags\XMLScriptBuilder.java,org.apache.ibatis.scripting.xmltags.XMLScriptBuilder$WhereHandler,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,139
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\sptests\Genre.java,org.apache.ibatis.submitted.sptests.Genre,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,19
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\DoubleTypeHandler.java,org.apache.ibatis.type.DoubleTypeHandler,1.0,1.0,4.0,0.0,0.0,0.0,3.0,26
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\TypeHandlerRegistryTest.java,org.apache.ibatis.type.TypeHandlerRegistryTest$1MyDate1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,148
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\ancestor_ref\Author.java,org.apache.ibatis.submitted.ancestor_ref.Author,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,19
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\ancestor_ref\Mapper.java,org.apache.ibatis.submitted.ancestor_ref.Mapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\custom_collection_handling\Person.java,org.apache.ibatis.submitted.custom_collection_handling.Person,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\ExecutorTestHelper.java,org.apache.ibatis.executor.ExecutorTestHelper$17,0.0,0.0,11.0,0.0,0.0,-1.0,4.0,322
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\builder\ExamplePlugin.java,org.apache.ibatis.builder.ExamplePlugin,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,26
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\refcursor\RefCursorTest.java,org.apache.ibatis.submitted.refcursor.RefCursorTest$1OrderResultHandler,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,96
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\jdbc\PooledDataSourceTest.java,org.apache.ibatis.jdbc.PooledDataSourceTest,0.0,0.0,47.0,4.0,0.078431375,-1.0,4.0,35
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\mapping\DatabaseIdProvider.java,org.apache.ibatis.mapping.DatabaseIdProvider,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\annotion_many_one_add_columnprefix\User.java,org.apache.ibatis.submitted.annotion_many_one_add_columnprefix.User,0.0,-1.0,0.0,15.0,1.0,-1.0,0.0,20
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\typehandlerinjection\User.java,org.apache.ibatis.submitted.typehandlerinjection.User,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\DateOnlyTypeHandlerTest.java,org.apache.ibatis.type.DateOnlyTypeHandlerTest,4.0,1.0,16.0,21.0,0.5675676,0.75,5.0,28
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\session\AutoMappingUnknownColumnBehaviorTest.java,org.apache.ibatis.session.AutoMappingUnknownColumnBehaviorTest,0.0,-1.0,25.0,1.0,0.03846154,-1.0,10.0,42
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java,org.apache.ibatis.BaseDataTest,0.0,-1.0,24.0,6.0,0.2,-1.0,6.0,31
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\builder\xml\dynamic\DynamicSqlSourceTest.java,org.apache.ibatis.builder.xml.dynamic.DynamicSqlSourceTest$5,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,334
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\binding\WrongNamespacesTest.java,org.apache.ibatis.binding.WrongNamespacesTest,0.0,-1.0,4.0,0.0,0.0,-1.0,3.0,22
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\binding\MapperProxyFactory.java,org.apache.ibatis.binding.MapperProxyFactory,0.0,-1.0,1.0,6.0,0.85714287,-1.0,1.0,29
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\resolution\cacherefs\MapperB.java,org.apache.ibatis.submitted.resolution.cacherefs.MapperB,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\nested\NestedForEachTest.java,org.apache.ibatis.submitted.nested.NestedForEachTest,0.0,-1.0,10.0,1.0,0.09090909,-1.0,7.0,33
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\association_nested\FolderFlatTree.java,org.apache.ibatis.submitted.association_nested.FolderFlatTree,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,21
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\testcontainers\MysqlContainer.java,org.apache.ibatis.testcontainers.MysqlContainer,0.0,-1.0,1.0,6.0,0.85714287,-1.0,1.0,24
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\array_type_handler\ArrayTypeHandlerTest.java,org.apache.ibatis.submitted.array_type_handler.ArrayTypeHandlerTest,0.0,-1.0,17.0,1.0,0.055555556,-1.0,7.0,31
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\enum_interface_type_handler\XmlMapper.java,org.apache.ibatis.submitted.enum_interface_type_handler.XmlMapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\primitive_result_type\Product.java,org.apache.ibatis.submitted.primitive_result_type.Product,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cache\decorators\LruCache.java,org.apache.ibatis.cache.decorators.LruCache,0.0,-1.0,5.0,7.0,0.5833333,-1.0,3.0,28
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\session\SqlSessionTest.java,org.apache.ibatis.session.SqlSessionTest$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,723
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_common_property\ChildMapper.java,org.apache.ibatis.submitted.lazyload_common_property.ChildMapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\reflection\ReflectorTest.java,org.apache.ibatis.reflection.ReflectorTest$Parent,0.0,-1.0,0.0,7.0,1.0,-1.0,0.0,137
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\nestedresulthandler_gh1551\ProductResp.java,org.apache.ibatis.submitted.nestedresulthandler_gh1551.ProductResp,0.0,-1.0,0.0,10.0,1.0,-1.0,0.0,20
