file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultTempFileManager,0.0,-1.0,2.0,4.0,0.6666667,-1.0,2.0,428,innerclass,1,0,3,1.0,0.16666667,27,0,7,0,2,3,6
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest.TestServer,8.0,1.0,0.0,0.0,-1.0,0.0,0.0,50,innerclass,2,0,3,0.0,0.0,8,0,1,0,0,2,2
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\GetAndPostIntegrationTest.java,fi.iki.elonen.integration.GetAndPostIntegrationTest.1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,175,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,0.0,-1.0,53.0,31.0,0.3690476,-1.0,19.0,151,class,3,49,20,0.035650622,0.9429826,1347,20,94,21,19,36,76
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpChunkedResponseTest.java,fi.iki.elonen.HttpChunkedResponseTest.ChunkedInputStream,0.0,0.0,0.0,7.0,1.0,-1.0,0.0,44,innerclass,3,0,1,,0.25,13,0,2,0,2,2,3
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\IntegrationTestBase.java,fi.iki.elonen.integration.IntegrationTestBase,0.0,-1.0,1.0,2.0,0.6666667,-1.0,1.0,47,class,1,5,6,0.33333334,0.33333334,19,0,6,0,2,3,4
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.Response.Status,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,1339,enum,1,0,1,1.0,0.25,22,0,2,0,2,4,6
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.Response,0.0,-1.0,11.0,43.0,0.7962963,-1.0,9.0,1327,innerclass,3,0,7,0.6315789,0.8521739,228,0,34,3,10,23,51
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\PutStreamIntegrationTest.java,fi.iki.elonen.integration.PutStreamIntegrationTest.TestServer,8.0,1.0,6.0,1.0,0.14285715,0.0,4.0,52,innerclass,2,0,5,0.0,0.0,24,0,10,0,0,3,4
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultServerSocketFactory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,476,innerclass,1,0,1,,0.0,5,0,0,0,0,1,1
