file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,"clear/0",1.0,1.0,0.5,1.0,443
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,"createTempFile/1[java.lang.String]",0.0,1.0,1.0,0.0,455
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,"DefaultTempFileManager/0",1.0,2.0,0.6666667,1.0,434
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest$TestServer,"serve/1[fi.iki.elonen.NanoHTTPD$IHTTPSession]",0.0,0.0,-1.0,0.0,57
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest$TestServer,"TestServer/0",0.0,0.0,-1.0,0.0,52
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\GetAndPostIntegrationTest.java,fi.iki.elonen.integration.GetAndPostIntegrationTest$1,"getFilename/0",0.0,0.0,-1.0,0.0,178
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"closeAllConnections/0",0.0,0.0,-1.0,0.0,2038
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"createClientHandler/2[java.net.Socket, java.io.InputStream]",0.0,0.0,-1.0,0.0,2052
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"createServerRunnable/1[int]",0.0,0.0,-1.0,0.0,2064
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"decodeParameters/1[java.lang.String]",1.0,0.0,0.0,1.0,2096
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"decodeParameters/1[java.util.Map]",1.0,1.0,0.5,1.0,2079
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"decodePercent/1[java.lang.String]",1.0,0.0,0.0,1.0,2124
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"getHostname/0",0.0,1.0,1.0,0.0,2160
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"getListeningPort/0",1.0,1.0,0.5,1.0,2144
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"getMimeTypeForFile/1[java.lang.String]",1.0,0.0,0.0,1.0,1963
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"getServerSocketFactory/0",0.0,1.0,1.0,0.0,2152
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"getTempFileManagerFactory/0",0.0,1.0,1.0,0.0,2164
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"isAlive/0",0.0,0.0,-1.0,0.0,2148
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"loadMimeTypes/2[java.util.Map, java.lang.String]",4.0,0.0,0.0,3.0,1880
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"makeSSLSocketFactory/2[java.lang.String, char[]]",6.0,0.0,0.0,4.0,1938
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"makeSSLSocketFactory/2[java.security.KeyStore, javax.net.ssl.KeyManagerFactory]",2.0,0.0,0.0,2.0,1926
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"makeSSLSocketFactory/2[java.security.KeyStore, javax.net.ssl.KeyManager[]]",6.0,0.0,0.0,3.0,1907
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"makeSecure/2[javax.net.ssl.SSLServerSocketFactory, java.lang.String[]]",0.0,1.0,1.0,0.0,2171
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"mimeTypes/0",1.0,5.0,0.8333333,1.0,1864
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"newChunkedResponse/3[fi.iki.elonen.NanoHTTPD$Response$IStatus, java.lang.String, java.io.InputStream]",0.0,0.0,-1.0,0.0,2178
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"newFixedLengthResponse/4[fi.iki.elonen.NanoHTTPD$Response$IStatus, java.lang.String, java.io.InputStream, long]",0.0,0.0,-1.0,0.0,2185
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"newFixedLengthResponse/3[fi.iki.elonen.NanoHTTPD$Response$IStatus, java.lang.String, java.lang.String]",6.0,0.0,0.0,4.0,2192
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"newFixedLengthResponse/1[java.lang.String]",1.0,1.0,0.5,1.0,2215
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"safeClose/1[java.lang.Object]",1.0,0.0,0.0,1.0,1972
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"serve/1[fi.iki.elonen.NanoHTTPD$IHTTPSession]",9.0,3.0,0.25,4.0,2229
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"serve/5[java.lang.String, fi.iki.elonen.NanoHTTPD$Method, java.util.Map, java.util.Map, java.util.Map]",1.0,1.0,0.5,1.0,2266
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"setAsyncRunner/1[fi.iki.elonen.NanoHTTPD$AsyncRunner]",0.0,1.0,1.0,0.0,2276
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"setServerSocketFactory/1[fi.iki.elonen.NanoHTTPD$ServerSocketFactory]",0.0,1.0,1.0,0.0,2156
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"setTempFileManagerFactory/1[fi.iki.elonen.NanoHTTPD$TempFileManagerFactory]",0.0,1.0,1.0,0.0,2286
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"start/0",0.0,1.0,1.0,0.0,2296
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"start/1[int]",0.0,0.0,-1.0,0.0,2303
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"start/2[int, boolean]",7.0,3.0,0.3,3.0,2317
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"stop/0",1.0,2.0,0.6666667,1.0,2343
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"useGzipWhenAccepted/1[fi.iki.elonen.NanoHTTPD$Response]",3.0,0.0,0.0,1.0,2140
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"wasStarted/0",0.0,2.0,1.0,0.0,2355
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"NanoHTTPD/1[int]",0.0,0.0,-1.0,0.0,2013
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"NanoHTTPD/2[java.lang.String, int]",0.0,4.0,1.0,0.0,2028
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpChunkedResponseTest.java,fi.iki.elonen.HttpChunkedResponseTest$ChunkedInputStream,"read/3[byte[], int, int]",0.0,6.0,1.0,0.0,55
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpChunkedResponseTest.java,fi.iki.elonen.HttpChunkedResponseTest$ChunkedInputStream,"ChunkedInputStream/1[java.lang.String[]]",0.0,1.0,1.0,0.0,50
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\IntegrationTestBase.java,fi.iki.elonen.integration.IntegrationTestBase,"createTestServer/0",0.0,0.0,-1.0,0.0,53
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\IntegrationTestBase.java,fi.iki.elonen.integration.IntegrationTestBase,"setUp/0",0.0,2.0,1.0,0.0,56
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\IntegrationTestBase.java,fi.iki.elonen.integration.IntegrationTestBase,"tearDown/0",1.0,0.0,0.0,1.0,67
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\IntegrationTestBase.java,fi.iki.elonen.integration.IntegrationTestBase,"IntegrationTestBase/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response$Status,"getDescription/0",0.0,2.0,1.0,0.0,1403
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response$Status,"getRequestStatus/0",0.0,1.0,1.0,0.0,1408
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response$Status,"lookup/1[int]",0.0,1.0,1.0,0.0,1393
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response$Status,"Status/2[int, java.lang.String]",0.0,2.0,1.0,0.0,1388
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"addHeader/2[java.lang.String, java.lang.String]",0.0,0.0,-1.0,0.0,1530
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"close/0",0.0,1.0,1.0,0.0,1521
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"closeConnection/1[boolean]",0.0,0.0,-1.0,0.0,1541
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"getData/0",0.0,1.0,1.0,0.0,1556
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"getHeader/1[java.lang.String]",1.0,0.0,0.0,1.0,1560
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"getMimeType/0",0.0,1.0,1.0,0.0,1564
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"getRequestMethod/0",0.0,1.0,1.0,0.0,1568
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"getStatus/0",0.0,1.0,1.0,0.0,1572
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"isCloseConnection/0",0.0,1.0,1.0,0.0,1552
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"printHeader/3[java.io.PrintWriter, java.lang.String, java.lang.String]",0.0,0.0,-1.0,0.0,1633
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"send/1[java.io.OutputStream]",9.0,17.0,0.65384614,8.0,1587
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"sendBody/2[java.io.OutputStream, long]",0.0,0.0,-1.0,0.0,1684
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"sendBodyWithCorrectEncoding/2[java.io.OutputStream, long]",0.0,1.0,1.0,0.0,1661
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"sendBodyWithCorrectTransferAndEncoding/2[java.io.OutputStream, long]",1.0,2.0,0.6666667,1.0,1651
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"sendContentLengthHeaderIfNotAlreadyPresent/2[java.io.PrintWriter, long]",0.0,1.0,1.0,0.0,1637
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setChunkedTransfer/1[boolean]",0.0,1.0,1.0,0.0,1701
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setData/1[java.io.InputStream]",0.0,1.0,1.0,0.0,1705
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setGzipEncoding/1[boolean]",0.0,1.0,1.0,0.0,1576
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setKeepAlive/1[boolean]",0.0,1.0,1.0,0.0,1580
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setMimeType/1[java.lang.String]",0.0,1.0,1.0,0.0,1709
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$Response,"setRequestMethod/1[fi.iki.elonen.NanoHTTPD$Method]",0.0,1.0,1.0,0.0,1713
