file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,23
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelScheduler,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,28
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\JoinLeaveMessage.java,com.corundumstudio.socketio.store.pubsub.JoinLeaveMessage,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,20
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\namespace\Namespace.java,com.corundumstudio.socketio.namespace.Namespace,0.0,-1.0,36.0,37.0,0.5068493,-1.0,8.0,53
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\ExceptionListener.java,com.corundumstudio.socketio.listener.ExceptionListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderConnectionPacketTest.java,com.corundumstudio.socketio.parser.DecoderConnectionPacketTest,2.0,0.0,9.0,0.0,0.0,0.0,2.0,26
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelScheduler$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,58
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnEventScanner.java,com.corundumstudio.socketio.annotation.OnEventScanner$2,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,87
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderMessagePacketTest.java,com.corundumstudio.socketio.parser.EncoderMessagePacketTest,0.0,0.0,6.0,0.0,0.0,-1.0,3.0,30
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\misc\CompositeIterable.java,com.corundumstudio.socketio.misc.CompositeIterable,0.0,-1.0,0.0,13.0,1.0,-1.0,0.0,22
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,154
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\BroadcastOperations.java,com.corundumstudio.socketio.BroadcastOperations,0.0,-1.0,22.0,10.0,0.3125,-1.0,7.0,38
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\Disconnectable.java,com.corundumstudio.socketio.Disconnectable,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\ExceptionListenerAdapter.java,com.corundumstudio.socketio.listener.ExceptionListenerAdapter,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,29
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\PacketType.java,com.corundumstudio.socketio.protocol.PacketType,0.0,0.0,0.0,9.0,1.0,-1.0,0.0,19
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketConfig.java,com.corundumstudio.socketio.SocketConfig,0.0,-1.0,0.0,14.0,1.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\HttpMessage.java,com.corundumstudio.socketio.messages.HttpMessage,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,20
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\AuthPacket.java,com.corundumstudio.socketio.protocol.AuthPacket,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,21
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelTimeoutScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,37
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,25
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonStore.java,com.corundumstudio.socketio.store.RedissonStore,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,23
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\PollingTransport.java,com.corundumstudio.socketio.transport.PollingTransport,0.0,0.0,58.0,3.0,0.04918033,-1.0,11.0,44
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\WebSocketTransport.java,com.corundumstudio.socketio.transport.WebSocketTransport$2,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,199
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckSchedulerKey.java,com.corundumstudio.socketio.ack.AckSchedulerKey,0.0,0.6666667,2.0,6.0,0.75,-1.0,1.0,22
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore$1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,57
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore,0.0,-1.0,7.0,4.0,0.36363637,-1.0,3.0,33
