file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,0.0,-1.0,43.0,43.0,0.5,-1.0,8.0,37
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler$RequestInformation,0.0,-1.0,0.0,10.0,1.0,-1.0,0.0,47
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$30Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,549
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$59Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1030
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$22Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,403
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\TestingUtils.java,retrofit.TestingUtils,0.0,-1.0,4.0,0.0,0.0,-1.0,3.0,12
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest$MockInvalidResponseClient,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,40
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$43Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,766
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput$MimePart,0.0,-1.0,2.0,14.0,0.875,-1.0,1.0,29
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest$Helper,0.0,-1.0,33.0,19.0,0.3653846,-1.0,8.0,775
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Defaults.java,retrofit.client.Defaults,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter$JsonTypedOutput,0.0,-1.0,1.0,4.0,0.8,-1.0,1.0,86
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedInput.java,retrofit.mime.TypedInput,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,26
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\EndpointsTest.java,retrofit.EndpointsTest,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,8
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$6Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,154
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$19Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,351
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$5Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,142
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$40Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,715
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\appengine\UrlFetchClient.java,retrofit.appengine.UrlFetchClient,0.0,-1.0,20.0,3.0,0.13043478,-1.0,7.0,22
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\ErrorHandler.java,retrofit.ErrorHandler,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RxSupport.java,retrofit.RxSupport$Invoker,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16
