file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.28Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,521,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.27Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,505,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\android\AndroidApacheClient.java,retrofit.android.AndroidApacheClient,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,28,class,2,1,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\appengine\UrlFetchClientTest.java,retrofit.appengine.UrlFetchClientTest,0.0,-1.0,38.0,11.0,0.2244898,-1.0,6.0,30,class,1,1,13,1.0,0.14285715,75,0,38,0,1,7,7
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestInterceptor.java,retrofit.RequestInterceptor.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35,anonymous,1,0,1,,0.0,4,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RxSupportTest.java,retrofit.RxSupportTest,0.0,-1.0,8.0,44.0,0.84615386,-1.0,3.0,29,class,1,0,11,1.0,0.1904762,89,0,21,1,6,7,7
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,0.0,-1.0,1.0,4.0,0.8,-1.0,1.0,86,innerclass,1,0,2,0.3,0.5,20,0,1,0,2,5,5
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.1Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,87,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\mime\TypedFileTest.java,retrofit.mime.TypedFileTest,0.0,-1.0,1.0,5.0,0.8333333,-1.0,1.0,11,class,1,1,4,1.0,0.25,38,0,14,0,1,4,4
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter,0.0,-1.0,2.0,4.0,0.6666667,-1.0,1.0,34,class,1,3,7,1.0,0.25,65,0,7,1,2,4,10
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RestMethodInfo.java,retrofit.RestMethodInfo.RxSupport,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,483,innerclass,1,0,2,0.0,0.0,8,0,1,0,0,2,3
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,75,interface,1,0,9,0.0,0.0,9,0,0,0,0,7,7
