file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,message/1[java.lang.String],1.0,0.0,0.0,1.0,42.0,0,0,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,render/1[java.lang.Object],0.0,0.0,-1.0,0.0,84.0,0,1,1,4,1,1,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,render/1[spark.ModelAndView],0.0,0.0,-1.0,0.0,106.0,1,0,1,1,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,setup/0,2.0,6.0,0.75,1.0,34.0,0,7,2,18,1,6,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,tearDown/0,0.0,0.0,-1.0,0.0,29.0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomInternal/0,3.0,2.0,0.4,2.0,71.0,0,1,1,6,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomInternalFailingRoute/0,3.0,1.0,0.25,2.0,79.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomNotFound/0,2.0,1.0,0.33333334,1.0,64.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testGetHi/0,2.0,1.0,0.33333334,1.0,57.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,attribute/1[java.lang.String],1.0,0.0,0.0,1.0,48.0,3,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,attributes/0,1.0,0.0,0.0,1.0,66.0,1,0,2,8,1,2,0,1,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,creationTime/0,1.0,0.0,0.0,1.0,78.0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,id/0,1.0,0.0,0.0,1.0,85.0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,invalidate/0,0.0,0.0,-1.0,0.0,118.0,5,1,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,isNew/0,0.0,0.0,-1.0,0.0,126.0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,lastAccessedTime/0,1.0,0.0,0.0,1.0,94.0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,maxInactiveInterval/0,1.0,0.0,0.0,1.0,102.0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,maxInactiveInterval/1[int],1.0,0.0,0.0,1.0,111.0,1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,raw/0,0.0,1.0,1.0,0.0,36.0,3,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,removeAttribute/1[java.lang.String],0.0,0.0,-1.0,0.0,135.0,2,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsEmpty_whenCollectionIsEmpty_thenReturnTrue/0,0.0,0.0,-1.0,0.0,13.0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsEmpty_whenCollectionIsNotEmpty_thenReturnFalse/0,0.0,0.0,-1.0,0.0,22.0,0,1,1,6,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsEmpty_whenCollectionIsNull_thenReturnTrue/0,0.0,0.0,-1.0,0.0,33.0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsNotEmpty_whenCollectionIsEmpty_thenReturnFalse/0,0.0,0.0,-1.0,0.0,42.0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsNotEmpty_whenCollectionIsNotEmpty_thenReturnTrue/0,0.0,0.0,-1.0,0.0,51.0,0,1,1,6,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,testIsNotEmpty_whenCollectionIsNull_thenReturnFalse/0,0.0,0.0,-1.0,0.0,62.0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\MyMessage.java,spark.examples.transformer.MyMessage,getMessage/0,0.0,1.0,1.0,0.0,11.0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\MyMessage.java,spark.examples.transformer.MyMessage,setMessage/1[java.lang.String],0.0,1.0,1.0,0.0,15.0,0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\MyMessage.java,spark.examples.transformer.MyMessage,MyMessage/1[java.lang.String],0.0,1.0,1.0,0.0,7.0,2,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\books\Books.java,spark.examples.books.Books,main/1[java.lang.String[]],9.0,0.0,0.0,4.0,40.0,1,12,7,64,8,23,1,1,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\UriPath.java,spark.resource.UriPath,canonical/1[java.lang.String],0.0,0.0,-1.0,0.0,32.0,3,0,56,108,4,6,1,5,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,setup/0,9.0,2.0,0.18181819,4.0,40.0,0,14,1,16,0,2,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyDelete/0,2.0,1.0,0.33333334,1.0,111.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyDeleteWithSpecificCode/0,1.0,0.0,0.0,1.0,160.0,0,2,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyGet/0,2.0,1.0,0.33333334,1.0,90.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyGetWithSpecificCode/0,1.0,0.0,0.0,1.0,142.0,0,2,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyPost/0,2.0,1.0,0.33333334,1.0,104.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyPostWithSpecificCode/0,1.0,0.0,0.0,1.0,148.0,0,2,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyPut/0,2.0,1.0,0.33333334,1.0,97.0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectAnyPutWithSpecificCode/0,1.0,0.0,0.0,1.0,154.0,0,2,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,testRedirectDelete/0,2.0,1.0,0.33333334,1.0,83.0,0,1,1,5,0,1,0,0,0,0
