file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,0.0,-1.0,1.0,2.0,0.6666667,-1.0,1.0,28
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,0.0,0.2,1.0,0.0,0.0,-1.0,1.0,27
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,0.0,-1.0,12.0,11.0,0.47826087,-1.0,4.0,18
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,0.0,-1.0,8.0,3.0,0.27272728,-1.0,1.0,14
C:\Users\syuuj\gitProject\spark\src\test\java\spark\utils\CollectionUtilsTest.java,spark.utils.CollectionUtilsTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,10
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\exception\SubclassOfBaseException.java,spark.examples.exception.SubclassOfBaseException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\MyMessage.java,spark.examples.transformer.MyMessage,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\books\Books.java,spark.examples.books.Books,0.0,-1.0,9.0,0.0,0.0,-1.0,4.0,33
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\UriPath.java,spark.resource.UriPath,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22
C:\Users\syuuj\gitProject\spark\src\test\java\spark\RedirectTest.java,spark.RedirectTest,0.0,-1.0,33.0,10.0,0.23255815,-1.0,5.0,33
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRoute.java,spark.TemplateViewRoute,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,29
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\AfterAfterFilters.java,spark.http.matching.AfterAfterFilters,0.0,-1.0,7.0,0.0,0.0,-1.0,5.0,30
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\Routes.java,spark.route.Routes,0.0,-1.0,20.0,5.0,0.2,-1.0,5.0,37
C:\Users\syuuj\gitProject\spark\src\main\java\spark\servlet\SparkFilter.java,spark.servlet.SparkFilter$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,155
C:\Users\syuuj\gitProject\spark\src\test\java\spark\servlet\ServletTest.java,spark.servlet.ServletTest$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,58
