file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,"closed/2[int, java.lang.String]",0.0,1.0,1.0,0.0,37
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,"connected/1[org.eclipse.jetty.websocket.api.Session]",0.0,1.0,1.0,0.0,32
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,"message/1[java.lang.String]",1.0,0.0,0.0,1.0,42
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,"EchoWebSocket/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"create/4[java.lang.String, java.lang.String, spark.TemplateViewRoute, spark.TemplateEngine]",0.0,0.0,-1.0,0.0,53
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"create/3[java.lang.String, spark.TemplateViewRoute, spark.TemplateEngine]",1.0,0.0,0.0,1.0,37
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"modelAndView/2[java.lang.Object, java.lang.String]",0.0,0.0,-1.0,0.0,96
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"render/1[java.lang.Object]",0.0,0.0,-1.0,0.0,84
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"render/1[spark.ModelAndView]",0.0,0.0,-1.0,0.0,106
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"TemplateViewRouteImpl/3[java.lang.String, java.lang.String, spark.TemplateViewRoute]",0.0,0.0,-1.0,0.0,78
