file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\EventBusRegistrationRaceTest.java,io.vertx.core.eventbus.EventBusRegistrationRaceTest,getOptions/0,4.0,0.0,0.0,3.0,41.0,0,5,1,26,1,1,0,0,1,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\EventBusRegistrationRaceTest.java,io.vertx.core.eventbus.EventBusRegistrationRaceTest,theTest/0,3.0,0.0,0.0,2.0,71.0,0,2,2,12,0,3,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\EventBusRegistrationRaceTest.java,io.vertx.core.eventbus.EventBusRegistrationRaceTest,threadA/1[java.util.concurrent.atomic.AtomicInteger],1.0,2.0,0.6666667,1.0,84.0,1,0,3,14,0,4,1,2,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\EventBusRegistrationRaceTest.java,io.vertx.core.eventbus.EventBusRegistrationRaceTest,threadB/1[java.util.concurrent.atomic.AtomicInteger],1.0,3.0,0.75,1.0,97.0,1,0,4,20,0,4,1,2,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBuff/0,0.0,0.0,-1.0,0.0,71.0,0,1,1,3,0,0,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBuff2/0,0.0,1.0,1.0,0.0,76.0,0,1,1,3,0,0,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBufferWithOffsetAndLen/0,0.0,0.0,-1.0,0.0,134.0,0,1,1,3,0,0,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBufferWithOffsetAndLen2/0,0.0,1.0,1.0,0.0,139.0,0,1,1,3,0,0,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendByte/0,3.0,0.0,0.0,2.0,163.0,0,0,3,14,0,5,0,2,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendByte2/0,1.0,0.0,0.0,1.0,181.0,0,0,1,5,0,2,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBytes/0,3.0,0.0,0.0,2.0,98.0,0,0,1,11,0,3,0,0,0,0
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,testAppendBytesWithOffsetAndLen/0,1.0,0.0,0.0,1.0,115.0,0,0,1,14,0,5,0,0,0,0
