file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\test\core\RepeatRule.java,io.vertx.test.core.RepeatRule$RepeatStatement,0.0,0.0,0.0,4.0,1.0,-1.0,0.0,23
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\file\impl\FileResolver.java,io.vertx.core.file.impl.FileResolver,0.0,-1.0,22.0,25.0,0.5319149,-1.0,11.0,43
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\impl\launcher\VertxCommandLineInterfaceTest.java,io.vertx.core.impl.launcher.VertxCommandLineInterfaceTest$4,23.0,1.0,0.0,0.0,-1.0,0.0,0.0,266
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\http\Http2ServerTest.java,io.vertx.core.http.Http2ServerTest$1Anonymous,0.0,-1.0,5.0,0.0,0.0,-1.0,4.0,745
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\test\core\BlockedThreadWarning.java,io.vertx.test.core.BlockedThreadWarning$1,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,49
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\http\impl\HttpServerRequestInternal.java,io.vertx.core.http.impl.HttpServerRequestInternal,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\spi\metrics\PoolMetrics.java,io.vertx.core.spi.metrics.PoolMetrics,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,21
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\NamedWorkerPoolTest.java,io.vertx.core.NamedWorkerPoolTest$1,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,48
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\http\impl\HttpClientPush.java,io.vertx.core.http.impl.HttpClientPush,0.0,-1.0,0.0,11.0,1.0,-1.0,0.0,23
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\parsetools\RecordParserTest.java,io.vertx.core.parsetools.RecordParserTest,0.0,-1.0,23.0,0.0,0.0,-1.0,11.0,33
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\http\Http2ServerTest.java,io.vertx.core.http.Http2ServerTest$11,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,1180
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\test\core\FileDescriptorLeakDetectorRule.java,io.vertx.test.core.FileDescriptorLeakDetectorRule$1,0.0,0.0,8.0,0.0,0.0,-1.0,3.0,64
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\net\impl\pool\SynchronizationTest.java,io.vertx.core.net.impl.pool.SynchronizationTest,60.0,0.0,18.0,2.0,0.1,0.033333335,2.0,22
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\buffer\impl\VertxHeapByteBuf.java,io.vertx.core.buffer.impl.VertxHeapByteBuf,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,21
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\DeploymentTest.java,io.vertx.core.DeploymentTest$7,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,954
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\net\KeyStoreOptionsConverter.java,io.vertx.core.net.KeyStoreOptionsConverter,0.0,-1.0,33.0,0.0,0.0,-1.0,5.0,13
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\BodyReadStream.java,io.vertx.core.eventbus.impl.BodyReadStream,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,24
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\test\proxy\TestProxyBase.java,io.vertx.test.proxy.TestProxyBase,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,22
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\http\impl\Http2ServerResponse.java,io.vertx.core.http.impl.Http2ServerResponse,0.0,-1.0,57.0,112.0,0.6627219,-1.0,17.0,50
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\metrics\impl\DummyVertxMetrics.java,io.vertx.core.metrics.impl.DummyVertxMetrics$DummyHttpClientMetrics,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\clustered\Serializer.java,io.vertx.core.eventbus.impl.clustered.Serializer$SerializerQueue$SerializedTask,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,131
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\shareddata\impl\LockInternal.java,io.vertx.core.shareddata.impl.LockInternal,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,19
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\ClusteredEventBusTestBase.java,io.vertx.core.eventbus.ClusteredEventBusTestBase$1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,216
C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\test\fakedns\FakeDNSServer.java,io.vertx.test.fakedns.FakeDNSServer$8,0.0,0.0,8.0,0.0,0.0,-1.0,4.0,237
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\file\impl\FileSystemImpl.java,io.vertx.core.file.impl.FileSystemImpl$9,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,842
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\buffer\impl\VertxUnsafeHeapByteBuf.java,io.vertx.core.buffer.impl.VertxUnsafeHeapByteBuf,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,20
