file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"actionPerformed/1[java.awt.event.ActionEvent]",12.0,0.0,0.0,8.0,114
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"createButton/1[java.lang.String]",9.0,0.0,0.0,6.0,358
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"createDownload/1[xdman.DownloadQueue]",8.0,0.0,0.0,5.0,139
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"getUrls/0",2.0,0.0,0.0,2.0,63
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"initUI/0",194.0,17.0,0.08056872,27.0,153
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,"BatchDownloadWnd/1[java.util.List]",8.0,4.0,0.33333334,5.0,82
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SettingsPage.java,xdman.ui.components.SettingsPage$5,"mouseReleased/1[java.awt.event.MouseEvent]",12.0,0.0,0.0,1.0,245
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getBackground/0",1.0,2.0,0.6666667,1.0,48
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getForeground/0",1.0,2.0,0.6666667,1.0,37
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getPressedBackground/0",0.0,1.0,1.0,0.0,78
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getPressedForeground/0",0.0,1.0,1.0,0.0,86
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getRolloverBackground/0",0.0,1.0,1.0,0.0,62
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getRolloverForeground/0",0.0,1.0,1.0,0.0,70
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"getSerialversionuid/0",0.0,1.0,1.0,0.0,58
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"init/0",4.0,4.0,0.5,2.0,29
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"setPressedBackground/1[java.awt.Color]",0.0,1.0,1.0,0.0,82
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"setPressedForeground/1[java.awt.Color]",0.0,1.0,1.0,0.0,90
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"setRolloverBackground/1[java.awt.Color]",0.0,1.0,1.0,0.0,66
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"setRolloverForeground/1[java.awt.Color]",0.0,1.0,1.0,0.0,74
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"CustomButton/0",0.0,0.0,-1.0,0.0,15
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"CustomButton/1[java.lang.String]",0.0,0.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,"CustomButton/1[javax.swing.Icon]",0.0,0.0,-1.0,0.0,19
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoConversionWnd.java,xdman.ui.components.VideoConversionWnd$7,"run/0",0.0,0.0,-1.0,0.0,647
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getContentLength/0",0.0,1.0,1.0,0.0,180
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getContentType/0",0.0,1.0,1.0,0.0,188
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getExt/0",0.0,1.0,1.0,0.0,196
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getFile/0",0.0,1.0,1.0,0.0,156
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getRequestHeaders/0",0.0,1.0,1.0,0.0,164
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getResponseHeaders/0",0.0,1.0,1.0,0.0,172
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"getUrl/0",0.0,1.0,1.0,0.0,148
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"isBlockedHeader/1[java.lang.String]",1.0,1.0,0.5,1.0,128
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"isPartialResponse/0",0.0,1.0,1.0,0.0,204
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"parse/1[byte[]]",9.0,10.0,0.5263158,5.0,34
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"parseCookies/2[java.lang.String, java.util.Map]",0.0,0.0,-1.0,0.0,113
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"parseLinks/1[byte[]]",2.0,0.0,0.0,2.0,23
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setContentLength/1[long]",0.0,1.0,1.0,0.0,184
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setContentType/1[java.lang.String]",0.0,1.0,1.0,0.0,192
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setExt/1[java.lang.String]",0.0,1.0,1.0,0.0,200
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setFile/1[java.lang.String]",0.0,1.0,1.0,0.0,160
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setPartialResponse/1[boolean]",0.0,1.0,1.0,0.0,208
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setRequestHeaders/1[xdman.network.http.HeaderCollection]",0.0,1.0,1.0,0.0,168
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setResponseHeaders/1[xdman.network.http.HeaderCollection]",0.0,1.0,1.0,0.0,176
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"setUrl/1[java.lang.String]",0.0,1.0,1.0,0.0,152
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"toString/0",0.0,5.0,1.0,0.0,18
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,"ParsedHookData/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SimpleCheckboxRender.java,xdman.ui.components.SimpleCheckboxRender,"getListCellRendererComponent/5[javax.swing.JList, java.lang.Object, int, boolean, boolean]",7.0,0.0,0.0,4.0,31
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SimpleCheckboxRender.java,xdman.ui.components.SimpleCheckboxRender,"SimpleCheckboxRender/0",15.0,0.0,0.0,6.0,20
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\RefreshUrlPage.java,xdman.ui.components.RefreshUrlPage$1,"actionPerformed/1[java.awt.event.ActionEvent]",2.0,0.0,0.0,1.0,108
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\util\UpdateChecker.java,xdman.util.UpdateChecker$2,"accept/2[java.io.File, java.lang.String]",0.0,0.0,-1.0,0.0,76
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\downloaders\dash\DashDownloader.java,xdman.downloaders.dash.DashDownloader$1,"run/0",7.0,0.0,0.0,3.0,625
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SpeedLimiter.java,xdman.ui.components.SpeedLimiter,"getSpeedLimit/0",10.0,0.0,0.0,5.0,10
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SpeedLimiter.java,xdman.ui.components.SpeedLimiter,"SpeedLimiter/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFileChooser.java,xdman.ui.components.XDMFileChooser,"getFileChooser/2[int, java.io.File]",4.0,3.0,0.42857143,1.0,10
