file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\laf\XDMTextAreaUI.java,xdman.ui.laf.XDMTextAreaUI,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,10
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\util\FFExtractCallback.java,xdman.util.FFExtractCallback,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\mediaconversion\FormatGroup.java,xdman.mediaconversion.FormatGroup,0.0,-1.0,0.0,7.0,1.0,-1.0,0.0,6
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaDownloaderWnd.java,xdman.ui.components.MediaDownloaderWnd,0.0,0.0,379.0,44.0,0.10401891,-1.0,44.0,64
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\XDMApp.java,xdman.XDMApp$6,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,453
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoConversionWnd.java,xdman.ui.components.VideoConversionWnd$5,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,607
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\network\AuthenticationFailedException.java,xdman.network.AuthenticationFailedException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,5
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\downloaders\hds\HdsDownloader.java,xdman.downloaders.hds.HdsDownloader$1,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0,486
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$3,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,185
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,228
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\Page.java,xdman.ui.components.Page$4,0.0,0.0,5.0,0.0,0.0,-1.0,3.0,120
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveInfo.java,xdman.network.KeepAliveInfo,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,5
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ListChangeListener.java,xdman.ListChangeListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\network\http\proxy\ProxyHandler.java,xdman.network.http.proxy.ProxyHandler,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,5
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaDownloaderWnd.java,xdman.ui.components.MediaDownloaderWnd$VideoWrapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,636
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\ConversionItemRender.java,xdman.ui.components.ConversionItemRender,0.0,-1.0,80.0,14.0,0.14893617,-1.0,10.0,16
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,0.0,0.0,6.0,17.0,0.73913044,-1.0,3.0,10
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\util\UpdateChecker.java,xdman.util.UpdateChecker$2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,74
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoConversionWnd.java,xdman.ui.components.VideoConversionWnd$6,0.0,-1.0,3.0,0.0,0.0,-1.0,3.0,588
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\Page.java,xdman.ui.components.Page$2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,80
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\downloaders\SegmentDetails.java,xdman.downloaders.SegmentDetails,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,5
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\InstagramHandler.java,xdman.monitoring.InstagramHandler,0.0,-1.0,9.0,2.0,0.18181819,-1.0,4.0,17
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\laf\XDMLabelUI.java,xdman.ui.laf.XDMLabelUI,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,7
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFrame.java,xdman.ui.components.XDMFrame$5,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,348
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFrame.java,xdman.ui.components.XDMFrame$3,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,332
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\videoparser\YoutubeDLHandler.java,xdman.videoparser.YoutubeDLHandler,0.0,-1.0,18.0,18.0,0.5,-1.0,6.0,17
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\util\HttpDateParser.java,xdman.util.HttpDateParser,0.0,-1.0,3.0,2.0,0.4,-1.0,3.0,9
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,0.0,0.0,119.0,30.0,0.20134228,-1.0,23.0,32
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoPopupItem.java,xdman.ui.components.VideoPopupItem,0.0,-1.0,0.0,12.0,1.0,-1.0,0.0,6
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadWindow.java,xdman.ui.components.DownloadWindow$1,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,69
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadListView.java,xdman.ui.components.DownloadListView,0.0,-1.0,15.0,6.0,0.2857143,-1.0,7.0,12
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\XDMApp.java,xdman.XDMApp$4,0.0,-1.0,4.0,0.0,0.0,-1.0,4.0,408
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\FFmpegExtractorWnd.java,xdman.ui.components.FFmpegExtractorWnd,0.0,0.0,110.0,24.0,0.17910448,-1.0,21.0,28
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\network\http\HttpContext.java,xdman.network.http.HttpContext$2,0.0,0.0,12.0,0.0,0.0,-1.0,3.0,132
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SettingsPage.java,xdman.ui.components.SettingsPage$6,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,929
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\laf\XDMComboBoxUI.java,xdman.ui.laf.XDMComboBoxUI,0.0,0.0,13.0,1.0,0.071428575,-1.0,9.0,17
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFrame.java,xdman.ui.components.XDMFrame$7,0.0,0.0,8.0,0.0,0.0,-1.0,4.0,162
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\network\WebRequest.java,xdman.network.WebRequest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoTableModel.java,xdman.ui.components.VideoItemWrapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,75
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\res\StringResource.java,xdman.ui.res.StringResource,0.0,-1.0,4.0,4.0,0.5,-1.0,3.0,12
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\MonitoringListener.java,xdman.MonitoringListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3
