file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,getObject/1[java.lang.String],2.0,0.0,0.0,2.0,56.0,1,0,2,19,1,8,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,main/1[java.lang.String[]],2.0,1.0,0.33333334,2.0,80.0,0,1,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,payloads/0,3.0,0.0,0.0,3.0,59.0,0,1,1,5,1,1,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,testPayload/0,0.0,1.0,1.0,0.0,74.0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JSF.java,ysoserial.exploit.JSF,main/1[java.lang.String[]],10.0,0.0,0.0,6.0,37.0,0,2,4,32,0,9,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest.2,call/0,0.0,0.0,-1.0,0.0,165.0,0,13,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss.1,handle/1[javax.security.auth.callback.Callback[]],2.0,0.0,0.0,2.0,210.0,0,0,6,14,0,0,1,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomPayloadArgs.java,ysoserial.CustomPayloadArgs,getPayloadArgs/0,0.0,0.0,-1.0,0.0,11.0,1,0,1,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],4.0,0.0,0.0,4.0,35.0,0,4,1,11,1,7,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,isApplicableJavaVersion/0,0.0,0.0,-1.0,0.0,65.0,0,1,1,3,1,0,0,0,0,0
