file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\RemoteClassLoadingTest.java,ysoserial.payloads.RemoteClassLoadingTest$Exploit,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,126
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,0.0,0.0,4.0,1.0,0.2,-1.0,3.0,54
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,0.0,-1.0,37.0,3.0,0.075,-1.0,19.0,53
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JSF.java,ysoserial.exploit.JSF,0.0,-1.0,10.0,0.0,0.0,-1.0,6.0,35
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,163
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$1,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,208
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomPayloadArgs.java,ysoserial.CustomPayloadArgs,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,0.0,0.0,4.0,1.0,0.2,-1.0,4.0,33
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,67
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,7
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClient.java,ysoserial.exploit.JRMPClient$MarshalOutputStream,0.0,0.0,3.0,2.0,0.4,-1.0,2.0,98
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,0.0,0.0,6.0,1.0,0.14285715,-1.0,4.0,46
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\DynamicDependencies.java,ysoserial.payloads.DynamicDependencies,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPListener.java,ysoserial.exploit.JRMPListener$2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,298
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl$1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,385
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ROME.java,ysoserial.payloads.ROME,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,33
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsBeanutils1.java,ysoserial.payloads.CommonsBeanutils1,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,17
