file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\RemoteClassLoadingTest.java,ysoserial.payloads.RemoteClassLoadingTest$Exploit,"Exploit/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,"getObject/1[java.lang.String]",2.0,0.0,0.0,2.0,56
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,"main/1[java.lang.String[]]",2.0,1.0,0.33333334,2.0,80
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,"JRMPClient/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"buildDeps/1[java.lang.Class]",5.0,0.0,0.0,4.0,179
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"checkPrecondition/2[java.lang.Class, java.lang.String]",1.0,0.0,0.0,1.0,172
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"deserializeWithDependencies/4[byte[], java.lang.String[], java.lang.Class[], java.lang.Class]",16.0,0.0,0.0,5.0,196
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"makeDeserializeCallable/5[ysoserial.payloads.annotation.PayloadTest, java.lang.Class[], java.lang.String[], byte[], java.lang.Class]",0.0,0.0,-1.0,0.0,161
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"makeSerializeCallable/2[java.lang.Class, java.lang.String]",1.0,0.0,0.0,1.0,147
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"payloads/0",3.0,0.0,0.0,3.0,59
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"testPayload/0",0.0,1.0,1.0,0.0,74
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"testPayload/2[java.lang.Class, java.lang.Class[]]",11.0,1.0,0.083333336,9.0,79
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"PayloadsTest/1[java.lang.Class]",0.0,1.0,1.0,0.0,68
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JSF.java,ysoserial.exploit.JSF,"main/1[java.lang.String[]]",10.0,0.0,0.0,6.0,37
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JSF.java,ysoserial.exploit.JSF,"JSF/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$2,"call/0",0.0,0.0,-1.0,0.0,165
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$1,"handle/1[javax.security.auth.callback.Callback[]]",2.0,0.0,0.0,2.0,210
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomPayloadArgs.java,ysoserial.CustomPayloadArgs,"getPayloadArgs/0",0.0,0.0,-1.0,0.0,11
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,"getObject/1[java.lang.String]",4.0,0.0,0.0,4.0,35
