file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload.Utils,0.0,-1.0,6.0,0.0,0.0,-1.0,4.0,16,innerclass,1,0,3,0.0,0.0,26,0,6,0,0,2,7
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsBeanutilsCollectionsLogging1.java,ysoserial.payloads.CommonsBeanutilsCollectionsLogging1,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,17,class,1,1,8,0.0,0.0,17,0,5,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\Serializer.java,ysoserial.Serializer,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,9,class,1,4,2,0.16666667,0.5,18,0,4,0,1,4,4
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,7,class,1,1,1,0.0,0.0,11,0,4,0,0,2,5
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner.1,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,19,anonymous,1,0,3,,0.0,9,0,4,0,0,1,3
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\annotation\Dependencies.java,ysoserial.payloads.annotation.Dependencies.Utils,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,14,class,1,0,1,,0.0,11,0,2,0,0,1,3
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jdk7u21.java,ysoserial.payloads.Jdk7u21,0.0,-1.0,8.0,1.0,0.11111111,-1.0,4.0,56,class,1,1,7,0.0,0.0,21,0,8,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,0.0,0.0,7.0,1.0,0.125,-1.0,5.0,51,class,2,1,8,0.0,0.0,15,0,12,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest.ExecMockSerializable,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,54,innerclass,1,0,0,,0.5,14,0,2,0,1,2,3
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections1.java,ysoserial.payloads.CommonsCollections1,0.0,0.0,8.0,1.0,0.11111111,-1.0,7.0,42,class,2,2,10,0.0,0.0,16,0,5,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,0.0,-1.0,7.0,1.0,0.125,-1.0,4.0,28,class,1,1,13,0.0,0.0,22,0,5,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets.Foo,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,47,innerclass,1,0,0,-1.0,,3,0,0,0,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,0.0,-1.0,5.0,0.0,0.0,-1.0,5.0,21,class,1,1,3,0.0,0.0,28,0,7,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Reflections.java,ysoserial.payloads.util.Reflections,0.0,-1.0,10.0,3.0,0.23076923,-1.0,4.0,6,class,1,9,1,0.0,0.0,23,0,10,0,0,4,6
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Groovy1.java,ysoserial.payloads.Groovy1,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,30,class,2,1,7,0.0,0.0,11,0,3,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,0.0,-1.0,20.0,3.0,0.13043478,-1.0,14.0,41,class,1,3,15,0.5,0.5,65,0,27,0,2,5,8
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,9,interface,1,18,1,,0.0,29,0,0,1,0,1,1
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,0.0,0.0,4.0,1.0,0.2,-1.0,4.0,29,class,2,1,12,0.0,0.0,16,0,6,0,0,2,2
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest.2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,74,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,0.0,-1.0,17.0,1.0,0.055555556,-1.0,9.0,28,class,2,10,13,0.0,0.8,48,0,23,2,1,5,7
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets.StubTransletPayload,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,37,innerclass,2,0,4,0.0,1.0,7,0,0,0,1,2,2
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\GeneratePayload.java,ysoserial.GeneratePayload,0.0,-1.0,7.0,3.0,0.3,-1.0,6.0,15,class,1,2,6,,0.5,45,0,13,1,2,2,6
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\secmgr\ThreadLocalSecurityManager.java,ysoserial.secmgr.ThreadLocalSecurityManager,0.0,0.5,3.0,3.0,0.5,-1.0,2.0,5,class,3,1,3,0.16666667,0.75,23,0,6,0,2,4,4
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\ClassFiles.java,ysoserial.payloads.util.ClassFiles,0.0,-1.0,6.0,0.0,0.0,-1.0,2.0,7,class,1,3,2,0.0,0.0,37,0,11,0,0,3,8
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\GeneratePayload.java,ysoserial.GeneratePayload.ToStringComparator,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,60,innerclass,1,0,0,,0.0,5,0,2,0,0,1,1
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit.1,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,37,anonymous,1,0,2,,0.0,14,0,7,0,0,1,2
