file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,0.0,-1.0,3.0,1.0,0.25,-1.0,3.0,37
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain$Cmd,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,43
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,0.0,-1.0,13.0,1.0,0.071428575,-1.0,5.0,42
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\SymbolArg.java,org.apache.zookeeper.graph.filterops.SymbolArg,1.0,0.0,1.0,1.0,0.5,1.0,1.0,22
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,0.0,0.25,6.0,2.0,0.25,-1.0,2.0,20
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry,0.0,-1.0,1.0,3.0,0.75,-1.0,1.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\StringArg.java,org.apache.zookeeper.graph.filterops.StringArg,1.0,0.0,1.0,1.0,0.5,1.0,1.0,22
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\RandomAccessFileReader.java,org.apache.zookeeper.graph.RandomAccessFileReader,0.0,0.0,3.0,45.0,0.9375,-1.0,2.0,34
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\JsonServlet.java,org.apache.zookeeper.graph.servlets.JsonServlet$JsonRequest,0.0,-1.0,5.0,1.0,0.16666667,-1.0,3.0,36
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\StaticContent.java,org.apache.zookeeper.graph.servlets.StaticContent,0.0,0.0,9.0,0.0,0.0,-1.0,3.0,31
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,360
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MergedLogSource.java,org.apache.zookeeper.graph.MergedLogSource,0.0,-1.0,4.0,20.0,0.8333333,-1.0,1.0,59
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\GreaterThanOp.java,org.apache.zookeeper.graph.filterops.GreaterThanOp,2.0,1.0,14.0,1.0,0.06666667,0.5,4.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\JsonServlet.java,org.apache.zookeeper.graph.servlets.JsonServlet,0.0,0.0,8.0,0.0,0.0,-1.0,2.0,33
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,350
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\NumEvents.java,org.apache.zookeeper.graph.servlets.NumEvents,1.0,1.0,5.0,1.0,0.16666667,0.0,2.0,41
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\AndOp.java,org.apache.zookeeper.graph.filterops.AndOp,2.0,1.0,0.0,1.0,1.0,0.5,0.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogSkipList.java,org.apache.zookeeper.graph.LogSkipList,0.0,-1.0,2.0,2.0,0.5,-1.0,2.0,33
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MeasureThroughput.java,org.apache.zookeeper.graph.MeasureThroughput,0.0,-1.0,2.0,6.0,0.75,-1.0,2.0,29
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterParser.java,org.apache.zookeeper.graph.FilterParser,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,27
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry$Type,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,27
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogIterator.java,org.apache.zookeeper.graph.LogIterator,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\Arg.java,org.apache.zookeeper.graph.filterops.Arg,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,22
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\Fs.java,org.apache.zookeeper.graph.servlets.Fs,1.0,1.0,5.0,0.0,0.0,0.0,2.0,35
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\TransactionEntry.java,org.apache.zookeeper.graph.TransactionEntry,0.0,0.14285715,12.0,5.0,0.29411766,-1.0,2.0,20
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource,0.0,-1.0,7.0,27.0,0.7941176,-1.0,4.0,43
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogServer.java,org.apache.zookeeper.graph.LogServer,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,36
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\FileLoader.java,org.apache.zookeeper.graph.servlets.FileLoader,1.0,1.0,1.0,1.0,0.5,0.0,1.0,35
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator$Message,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,40
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\NumberArg.java,org.apache.zookeeper.graph.filterops.NumberArg,1.0,0.0,1.0,1.0,0.5,1.0,1.0,22
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\EqualsOp.java,org.apache.zookeeper.graph.filterops.EqualsOp,2.0,1.0,5.0,1.0,0.16666667,0.5,3.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogSkipList.java,org.apache.zookeeper.graph.LogSkipList$Mark,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,38
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,370
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\LessThanOp.java,org.apache.zookeeper.graph.filterops.LessThanOp,2.0,1.0,14.0,1.0,0.06666667,0.5,4.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java,org.apache.zookeeper.graph.FilterOp,0.0,-1.0,2.0,4.0,0.6666667,-1.0,2.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\XorOp.java,org.apache.zookeeper.graph.filterops.XorOp,2.0,1.0,0.0,1.0,1.0,0.5,0.0,24
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,0.0,-1.0,18.0,34.0,0.65384614,-1.0,4.0,68
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\TxnLogSource.java,org.apache.zookeeper.graph.TxnLogSource$TxnLogSourceIterator,0.0,-1.0,57.0,22.0,0.278481,-1.0,13.0,89
