file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPChineseTestApp.java,edu.stanford.nlp.StanfordCoreNLPChineseTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,edu.stanford.nlp.StanfordCoreNLPChineseTestApp,class,1,0,0,,0.0,6,0,1,0,0,1,1
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPSpanishTestApp.java,edu.stanford.nlp.StanfordCoreNLPSpanishTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,edu.stanford.nlp.StanfordCoreNLPSpanishTestApp,class,1,0,0,,0.0,6,0,1,0,0,1,1
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPEnglishTestApp.java,edu.stanford.nlp.StanfordCoreNLPEnglishTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,edu.stanford.nlp.StanfordCoreNLPEnglishTestApp,class,1,0,0,,0.0,6,0,1,0,0,1,1
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\CoNLLUOutputterITest.java,edu.stanford.nlp.pipeline.CoNLLUOutputterITest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16,edu.stanford.nlp.pipeline.CoNLLUOutputterITest,class,1,0,4,1.0,0.0,26,0,3,0,1,2,3
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\naturalli\OpenIEITest.java,edu.stanford.nlp.naturalli.OpenIEITest$264,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,264,edu.stanford.nlp.naturalli.OpenIEITest$264,anonymous,1,0,0,,0.0,7,0,1,0,0,0,1
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\process\PTBTokenizerITest.java,edu.stanford.nlp.process.PTBTokenizerITest,0.0,0.0,10.0,4.0,0.2857143,-1.0,7.0,22,edu.stanford.nlp.process.PTBTokenizerITest,class,2,1,7,0.0,0.5,80,0,26,0,1,4,15
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\simple\SentenceAlgorithmsITest.java,edu.stanford.nlp.simple.SentenceAlgorithmsITest$113,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,113,edu.stanford.nlp.simple.SentenceAlgorithmsITest$113,anonymous,1,0,0,,0.0,8,0,1,0,0,0,1
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\util\TestPaths.java,edu.stanford.nlp.util.TestPaths,0.0,-1.0,2.0,2.0,0.5,-1.0,2.0,7,edu.stanford.nlp.util.TestPaths,class,1,33,0,0.0,0.0,9,0,2,0,1,1,2
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\parser\lexparser\LexicalizedParserCharacterEncodingITest.java,edu.stanford.nlp.parser.lexparser.LexicalizedParserCharacterEncodingITest,0.0,0.0,11.0,4.0,0.26666668,-1.0,4.0,18,edu.stanford.nlp.parser.lexparser.LexicalizedParserCharacterEncodingITest,class,2,1,3,0.0,0.8,45,0,17,0,5,4,8
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\simple\SentenceAlgorithmsITest.java,edu.stanford.nlp.simple.SentenceAlgorithmsITest$169,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,169,edu.stanford.nlp.simple.SentenceAlgorithmsITest$169,anonymous,1,0,0,,0.0,9,0,1,0,0,0,1
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\time\SUTimeSimpleParserITest.java,edu.stanford.nlp.time.SUTimeSimpleParserITest,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,12,edu.stanford.nlp.time.SUTimeSimpleParserITest,class,1,0,2,,0.0,11,0,3,0,0,1,2
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\PipelineITest.java,edu.stanford.nlp.pipeline.PipelineITest,0.0,-1.0,140.0,0.0,0.0,-1.0,18.0,16,edu.stanford.nlp.pipeline.PipelineITest,class,1,1,16,,0.0,93,0,11,0,0,2,4
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\trees\international\spanish\SpanishTreeNormalizerITest.java,edu.stanford.nlp.trees.international.spanish.SpanishTreeNormalizerITest,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,18,edu.stanford.nlp.trees.international.spanish.SpanishTreeNormalizerITest,class,1,1,9,1.0,0.22222222,26,0,8,0,3,3,7
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\TokenizerFrenchBenchmarkITest.java,edu.stanford.nlp.pipeline.TokenizerFrenchBenchmarkITest,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,12,edu.stanford.nlp.pipeline.TokenizerFrenchBenchmarkITest,class,2,0,5,0.0,0.0,16,0,5,0,0,3,3
