file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java,com.zaxxer.hikari.util.ConcurrentBag$IConcurrentBagEntry,"compareAndSet/2[int,int]",0.0,0.0,-1.0,0.0,80,"compareAndSet/2[int,int]",4,0,1,1,0,0,2,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java,com.zaxxer.hikari.util.ConcurrentBag$IConcurrentBagEntry,getState/0,0.0,0.0,-1.0,0.0,82,getState/0,5,0,1,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java,com.zaxxer.hikari.util.ConcurrentBag$IConcurrentBagEntry,setState/1[int],0.0,0.0,-1.0,0.0,81,setState/1[int],1,0,1,1,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ConnectionPoolSizeVsThreadsTest.java,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest,"testPoolSize/8[int,int,int,long,long,long,int,long]",20.0,0.0,0.0,10.0,94,"testPoolSize/8[int,int,int,long,long,long,int,long]",2,17,10,62,1,13,8,3,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ConnectionPoolSizeVsThreadsTest.java,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest,testPoolSizeAboutSameSizeAsThreadCount/0,2.0,1.0,0.33333334,1.0,53,testPoolSizeAboutSameSizeAsThreadCount/0,0,1,1,6,0,2,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ConnectionPoolSizeVsThreadsTest.java,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest,testSlowConnectionTimeBurstyWork/0,2.0,0.0,0.0,1.0,70,testSlowConnectionTimeBurstyWork/0,0,1,2,11,0,7,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,getShortRaw/0,0.0,1.0,1.0,0.0,29,getShortRaw/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,getString/0,0.0,1.0,1.0,0.0,24,getString/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,getTestObject/0,0.0,1.0,1.0,0.0,19,getTestObject/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,setShortRaw/1[short],0.0,1.0,1.0,0.0,33,setShortRaw/1[short],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,setString/1[java.lang.String],0.0,1.0,1.0,0.0,14,setString/1[java.lang.String],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,setTestObject/1[com.zaxxer.hikari.mocks.TestObject],0.0,1.0,1.0,0.0,9,setTestObject/1[com.zaxxer.hikari.mocks.TestObject],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ShutdownTest.java,com.zaxxer.hikari.pool.ShutdownTest$84,run/0,1.0,0.0,0.0,1.0,86,run/0,0,4,3,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\SQLExceptionOverride.java,com.zaxxer.hikari.SQLExceptionOverride,adjudicate/1[java.sql.SQLException],1.0,0.0,0.0,1.0,26,adjudicate/1[java.sql.SQLException],1,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\dropwizard\CodahaleHealthChecker.java,com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker$ConnectivityHealthCheck,check/0,1.0,1.0,0.5,1.0,93,check/0,0,1,2,8,2,1,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\dropwizard\CodahaleHealthChecker.java,com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker$ConnectivityHealthCheck,"ConnectivityHealthCheck/2[com.zaxxer.hikari.pool.HikariPool,long]",1.0,2.0,0.6666667,1.0,85,"ConnectivityHealthCheck/2[com.zaxxer.hikari.pool.HikariPool,long]",1,0,3,4,0,0,2,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnectionCloseBlocking.java,com.zaxxer.hikari.pool.TestConnectionCloseBlocking$CustomMockDataSource$85,answer/1[org.mockito.invocation.InvocationOnMock],1.0,0.0,0.0,1.0,87,answer/1[com.zaxxer.hikari.pool.InvocationOnMock],0,0,2,6,1,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestHibernate.java,com.zaxxer.hikari.pool.TestHibernate,testConnectionProvider/0,4.0,1.0,0.2,3.0,34,testConnectionProvider/0,0,8,2,17,0,3,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestJNDI.java,com.zaxxer.hikari.pool.TestJNDI$BogusContext,createSubcontext/1[javax.naming.Name],0.0,0.0,-1.0,0.0,118,createSubcontext/1[javax.naming.Name],0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestJNDI.java,com.zaxxer.hikari.pool.TestJNDI$BogusContext,lookup/1[java.lang.String],1.0,0.0,0.0,1.0,124,lookup/1[java.lang.String],0,2,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,"generateProxyClass/3[java.lang.Class,java.lang.String,java.lang.String]",32.0,2.0,0.060606062,8.0,107,"generateProxyClass/3[java.lang.Class,java.lang.String,java.lang.String]",0,3,13,50,0,10,3,3,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,getAllInterfaces/1[java.lang.Class],4.0,2.0,0.33333334,2.0,208,getAllInterfaces/1[java.lang.Class],2,1,5,16,1,1,1,1,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,"isDefaultMethod/2[java.lang.Class,CtMethod]",3.0,0.0,0.0,2.0,197,"isDefaultMethod/2[java.lang.Class,com.zaxxer.hikari.util.CtMethod]",1,1,2,7,1,1,2,1,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,isThrowsSqlException/1[CtMethod],2.0,0.0,0.0,2.0,181,isThrowsSqlException/1[com.zaxxer.hikari.util.CtMethod],1,0,4,12,2,0,1,1,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,main/1[java.lang.String[]],14.0,2.0,0.125,8.0,46,main/1[java.lang.String[]],1,7,2,17,0,1,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,modifyProxyFactory/0,11.0,1.0,0.083333336,5.0,70,modifyProxyFactory/0,1,0,8,30,0,2,0,1,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,toJavaClass/1[CtClass],5.0,0.0,0.0,2.0,228,toJavaClass/1[com.zaxxer.hikari.util.CtClass],2,1,2,8,2,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java,com.zaxxer.hikari.util.JavassistProxyFactory,toJavaClass/1[java.lang.String],9.0,0.0,0.0,9.0,238,toJavaClass/1[java.lang.String],0,0,10,24,10,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,absolute/1[int],0.0,0.0,-1.0,0.0,454,absolute/1[int],0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,afterLast/0,0.0,0.0,-1.0,0.0,427,afterLast/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,beforeFirst/0,0.0,0.0,-1.0,0.0,421,beforeFirst/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,cancelRowUpdates/0,0.0,0.0,-1.0,0.0,788,cancelRowUpdates/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,clearWarnings/0,0.0,0.0,-1.0,0.0,324,clearWarnings/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java,com.zaxxer.hikari.mocks.StubResultSet,close/0,0.0,1.0,1.0,0.0,75,close/0,0,0,1,3,0,0,0,0,0,0
