file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java,com.zaxxer.hikari.util.ConcurrentBag$IConcurrentBagEntry,interface,1,0,0,0.0,1.0,9,0,0,0,4,3,3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,73,1,0,0,0.0,1.0,9,0,0,0,4,3,3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,73
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\MetricsTracker.java,com.zaxxer.hikari.metrics.MetricsTracker,class,1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25,1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ConnectionPoolSizeVsThreadsTest.java,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest,class,1,1,11,0.0,0.6666667,94,0,32,1,2,3,13,0.0,-1.0,24.0,1.0,0.04,-1.0,10.0,46,1,1,11,0.0,0.6666667,94,0,32,1,2,3,13,0.0,-1.0,24.0,1.0,0.04,-1.0,10.0,46
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\TestObject.java,com.zaxxer.hikari.mocks.TestObject,class,1,2,1,0.2,0.6666667,23,0,0,0,3,6,6,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,3,1,2,1,0.2,0.6666667,23,0,0,0,3,6,6,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,3
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\ShutdownTest.java,com.zaxxer.hikari.pool.ShutdownTest$84,anonymous,1,0,2,,0.0,11,0,3,0,0,1,3,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,84,1,0,2,,0.0,11,0,3,0,0,1,3,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,84
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\SQLExceptionOverride.java,com.zaxxer.hikari.SQLExceptionOverride,interface,1,4,1,,0.0,6,0,0,1,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,13,1,4,1,,0.0,6,0,0,1,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,13
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\dropwizard\CodahaleHealthChecker.java,com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker$ConnectivityHealthCheck,innerclass,2,0,3,1.0,0.0,16,0,4,0,2,2,5,0.0,0.0,2.0,3.0,0.6,-1.0,2.0,80,2,0,3,1.0,0.0,16,0,4,0,2,2,5,0.0,0.0,2.0,3.0,0.6,-1.0,2.0,80
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnectionCloseBlocking.java,com.zaxxer.hikari.pool.TestConnectionCloseBlocking$CustomMockDataSource$85,anonymous,1,0,1,,0.0,8,0,1,0,0,1,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,85,1,0,1,,0.0,8,0,1,0,0,1,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,85
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestHibernate.java,com.zaxxer.hikari.pool.TestHibernate,class,1,1,3,,0.0,19,0,13,0,0,1,2,0.0,-1.0,4.0,1.0,0.2,-1.0,3.0,31,1,1,3,,0.0,19,0,13,0,0,1,2,0.0,-1.0,4.0,1.0,0.2,-1.0,3.0,31
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestJNDI.java,com.zaxxer.hikari.pool.TestJNDI$BogusContext,innerclass,2,0,3,0.0,0.0,10,0,1,0,0,2,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,115,2,0,3,0.0,0.0,10,0,1,0,0,2,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,115
