file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\SAXReader.java,org.jkiss.utils.xml.SAXReader$Parser,0.0,-1.0,0.0,7.0,1.0,-1.0,0.0,333,org.jkiss.utils.xml.SAXReader$Parser,innerclass,1,0,0,1.0,0.4166667,23,0,0,0,2,6,6
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\SAXReader.java,org.jkiss.utils.xml.SAXReader,0.0,-1.0,17.0,24.0,0.58536583,-1.0,8.0,35,org.jkiss.utils.xml.SAXReader,class,1,5,17,0.17663817,0.8965517,218,0,38,2,11,29,46
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$HashIterator,0.0,-1.0,10.0,14.0,0.5833333,-1.0,3.0,585,org.jkiss.utils.LongKeyMap$HashIterator,innerclass,1,0,4,1.0,0.375,40,0,1,0,4,4,14
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\CommonUtils.java,org.jkiss.utils.CommonUtils,0.0,-1.0,39.0,7.0,0.1521739,-1.0,15.0,29,org.jkiss.utils.CommonUtils,class,1,116,6,0.0,0.982353,729,0,105,0,2,85,266
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\Base64.java,org.jkiss.utils.Base64,0.0,-1.0,18.0,65.0,0.78313255,-1.0,3.0,25,org.jkiss.utils.Base64,class,1,5,3,0.5090909,0.45454547,236,0,9,0,3,11,57
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$KeySet,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,702,org.jkiss.utils.LongKeyMap$KeySet,innerclass,3,0,1,0.0,0.0,27,0,5,0,0,5,7
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap$KeyIterator,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,648,org.jkiss.utils.IntKeyMap$KeyIterator,innerclass,2,0,1,0.0,0.0,8,0,1,0,0,2,2
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$LongEntry,0.0,-1.0,0.0,17.0,1.0,-1.0,0.0,498,org.jkiss.utils.LongKeyMap$LongEntry,innerclass,1,0,3,1.0,0.59375,42,0,5,0,4,8,14
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\MimeType.java,org.jkiss.utils.MimeType,0.0,-1.0,6.0,20.0,0.7692308,-1.0,1.0,24,org.jkiss.utils.MimeType,class,1,1,1,0.41666666,0.4,56,0,11,0,2,10,17
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$Values,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,750,org.jkiss.utils.LongKeyMap$Values,innerclass,2,0,2,0.0,0.0,14,0,3,0,0,4,4
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\time\ExtendedDateFormat.java,org.jkiss.utils.time.ExtendedDateFormat,0.0,0.0,8.0,26.0,0.7647059,-1.0,4.0,29,org.jkiss.utils.time.ExtendedDateFormat,class,4,1,1,0.3,0.7142858,171,0,23,0,5,7,47
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$EntryIterator,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,657,org.jkiss.utils.LongKeyMap$EntryIterator,innerclass,2,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\SAXListener.java,org.jkiss.utils.xml.SAXListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25,org.jkiss.utils.xml.SAXListener,interface,1,3,4,0.0,0.6666667,14,0,0,1,1,3,3
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\XMLConstants.java,org.jkiss.utils.xml.XMLConstants,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23,org.jkiss.utils.xml.XMLConstants,class,1,1,0,0.0,1.0,12,0,0,0,4,2,2
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$KeyIterator,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,647,org.jkiss.utils.LongKeyMap$KeyIterator,innerclass,2,0,1,0.0,0.0,8,0,1,0,0,2,2
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\XMLBuilder.java,org.jkiss.utils.xml.XMLBuilder,0.0,-1.0,9.0,70.0,0.886076,-1.0,3.0,30,org.jkiss.utils.xml.XMLBuilder,class,1,7,7,0.2413793,0.79682535,358,0,36,1,9,35,88
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\XMLException.java,org.jkiss.utils.xml.XMLException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,23,org.jkiss.utils.xml.XMLException,class,3,2,0,0.0,0.0,8,0,0,0,0,2,2
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\ArrayUtils.java,org.jkiss.utils.ArrayUtils,0.0,-1.0,35.0,0.0,0.0,-1.0,10.0,32,org.jkiss.utils.ArrayUtils,class,1,21,11,0.0,0.0,153,0,16,0,0,23,68
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\XMLUtils.java,org.jkiss.utils.xml.XMLUtils,0.0,-1.0,46.0,1.0,0.021276595,-1.0,5.0,38,org.jkiss.utils.xml.XMLUtils,class,1,8,9,0.0,0.0,189,0,28,0,0,20,72
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap$KeySet,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,703,org.jkiss.utils.IntKeyMap$KeySet,innerclass,3,0,1,0.0,0.0,27,0,5,0,0,5,7
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap$ValueIterator,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,641,org.jkiss.utils.IntKeyMap$ValueIterator,innerclass,2,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\Pair.java,org.jkiss.utils.Pair,0.0,-1.0,0.0,14.0,1.0,-1.0,0.0,8,org.jkiss.utils.Pair,class,1,3,3,1.0,0.25,33,0,2,0,2,8,11
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\SAXListener.java,org.jkiss.utils.xml.SAXListener$BaseListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,49,org.jkiss.utils.xml.SAXListener$BaseListener,innerclass,1,0,3,0.0,0.0,8,0,0,0,0,3,3
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\XMLBuilder.java,org.jkiss.utils.xml.XMLBuilder$Element,0.0,-1.0,3.0,12.0,0.8,-1.0,2.0,33,org.jkiss.utils.xml.XMLBuilder$Element,innerclass,1,0,2,0.71428573,0.60714287,37,0,6,0,4,7,13
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap$IntEntry,0.0,-1.0,0.0,17.0,1.0,-1.0,0.0,499,org.jkiss.utils.IntKeyMap$IntEntry,innerclass,1,0,3,1.0,0.59375,42,0,5,0,4,8,14
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap,0.0,-1.0,55.0,59.0,0.51754385,-1.0,2.0,24,org.jkiss.utils.LongKeyMap,class,9,9,3,0.3529412,0.87223583,420,0,23,8,11,37,92
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\xml\SAXReader.java,org.jkiss.utils.xml.SAXReader$ParseErrorHandler,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,363,org.jkiss.utils.xml.SAXReader$ParseErrorHandler,innerclass,1,0,2,0.0,0.0,8,0,0,0,0,3,3
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\ArgumentTokenizer.java,org.jkiss.utils.ArgumentTokenizer,0.0,-1.0,2.0,14.0,0.875,-1.0,1.0,50,org.jkiss.utils.ArgumentTokenizer,class,1,1,1,0.0,0.6666667,127,0,14,0,4,3,34
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\BeanUtils.java,org.jkiss.utils.BeanUtils,0.0,-1.0,59.0,15.0,0.2027027,-1.0,19.0,27,org.jkiss.utils.BeanUtils,class,1,1,1,0.0,0.90476185,226,0,42,0,7,21,94
