file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\AbstractMapBasedMultiset.java,com.google.common.collect.AbstractMapBasedMultiset$Itr,0.0,-1.0,3.0,14.0,0.8235294,-1.0,2.0,163,com.google.common.collect.AbstractMapBasedMultiset$Itr,innerclass,1,0,4,1.0,0.4666667,32,0,8,0,3,5,9
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMultiset.java,com.google.common.collect.RegularImmutableMultiset$ElementSet,0.0,0.75,1.0,0.0,0.0,-1.0,1.0,74,com.google.common.collect.RegularImmutableMultiset$ElementSet,innerclass,5,0,6,0.0,0.0,14,0,3,0,0,4,4
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountLinkedHashMap.java,com.google.common.collect.ObjectCountLinkedHashMap,0.0,0.53333336,3.0,46.0,0.93877554,-1.0,2.0,30,com.google.common.collect.ObjectCountLinkedHashMap,class,2,3,6,0.16483517,0.68421054,97,0,20,0,4,19,26
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$EntryForValue,0.0,0.75,8.0,16.0,0.6666667,-1.0,1.0,1038,com.google.common.collect.HashBiMap$EntryForValue,innerclass,2,0,6,1.0,0.2,34,0,5,0,3,5,11
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableCollection.java,com.google.common.collect.ImmutableCollection$ArrayBasedBuilder,0.0,0.6,3.0,22.0,0.88,-1.0,2.0,444,com.google.common.collect.ImmutableCollection$ArrayBasedBuilder,innerclass,2,0,8,0.6,0.44444442,49,0,12,0,3,6,10
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMultiset.java,com.google.common.collect.RegularImmutableMultiset$SerializedForm,0.0,-1.0,4.0,6.0,0.6,-1.0,2.0,103,com.google.common.collect.RegularImmutableMultiset$SerializedForm,innerclass,1,0,6,1.0,0.16666667,23,0,6,0,3,2,4
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$EntryForKey,0.0,0.75,8.0,15.0,0.65217394,-1.0,1.0,860,com.google.common.collect.HashBiMap$EntryForKey,innerclass,2,0,6,1.0,0.2,32,0,5,0,2,5,11
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$EntrySet,0.0,0.33333334,8.0,0.0,0.0,-1.0,2.0,815,com.google.common.collect.HashBiMap$EntrySet,innerclass,4,0,8,0.0,0.0,32,0,7,0,0,4,8
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$InverseEntrySet,0.0,0.33333334,8.0,1.0,0.11111111,-1.0,2.0,994,com.google.common.collect.HashBiMap$InverseEntrySet,innerclass,4,0,8,0.0,0.0,32,0,7,0,0,4,8
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableList.java,com.google.common.collect.ImmutableList$Itr,1.0,1.0,1.0,1.0,0.5,0.0,1.0,375,com.google.common.collect.ImmutableList$Itr,innerclass,4,0,3,1.0,0.0,10,0,2,0,1,2,2
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap$KeysOrValuesAsList,0.0,0.33333334,0.0,7.0,1.0,-1.0,0.0,347,com.google.common.collect.RegularImmutableMap$KeysOrValuesAsList,innerclass,4,0,2,0.5,0.41666666,20,0,1,0,3,4,4
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\TreeTraverser.java,com.google.common.collect.TreeTraverser$169,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,169,com.google.common.collect.TreeTraverser$169,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$View,0.0,0.0,28.0,1.0,0.03448276,-1.0,2.0,666,com.google.common.collect.HashBiMap$View,innerclass,3,0,5,0.1,0.4,51,0,1,0,1,5,5
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap$EntrySet,0.0,0.8333333,3.0,11.0,0.78571427,-1.0,2.0,269,com.google.common.collect.RegularImmutableMap$EntrySet,innerclass,4,0,7,0.14285715,0.78571427,50,0,7,0,4,7,8
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountHashMap.java,com.google.common.collect.ObjectCountHashMap,0.0,-1.0,10.0,122.0,0.92424244,-1.0,3.0,42,com.google.common.collect.ObjectCountHashMap,class,2,12,14,0.64615387,0.8020409,324,0,37,1,14,35,67
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$View$677,0.0,-1.0,7.0,16.0,0.6956522,-1.0,1.0,677,com.google.common.collect.HashBiMap$View$677,anonymous,1,0,5,1.0,0.4375,35,0,5,0,4,4,10
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountHashMap.java,com.google.common.collect.ObjectCountHashMap$MapEntry,0.0,0.0,5.0,15.0,0.75,-1.0,1.0,203,com.google.common.collect.ObjectCountHashMap$MapEntry,innerclass,2,0,6,1.0,0.2,32,0,5,0,2,5,10
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\util\concurrent\AtomicLongMap.java,com.google.common.util.concurrent.AtomicLongMap$340,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,340,com.google.common.util.concurrent.AtomicLongMap$340,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap$EntrySet$294,0.0,0.33333334,6.0,0.0,0.0,-1.0,1.0,294,com.google.common.collect.RegularImmutableMap$EntrySet$294,anonymous,1,0,3,0.0,0.0,14,0,1,0,0,3,3
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap$ValueSet,0.0,0.33333334,2.0,0.0,0.0,-1.0,1.0,779,com.google.common.collect.HashBiMap$ValueSet,innerclass,4,0,6,0.0,0.0,22,0,4,0,0,4,5
C:\Users\syuuj\gitProject\guava\android\guava-testlib\src\com\google\common\collect\testing\TestsForSetsInJavaUtil.java,com.google.common.collect.testing.TestsForSetsInJavaUtil$347$351,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,351,com.google.common.collect.testing.TestsForSetsInJavaUtil$347$351,anonymous,1,0,1,0.0,0.0,8,0,2,0,0,2,2
C:\Users\syuuj\gitProject\guava\android\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest$NonGenericTypeTokenDefaultValueChecker$1159,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1159,com.google.common.testing.NullPointerTesterTest$NonGenericTypeTokenDefaultValueChecker$1159,anonymous,1,0,0,-1.0,0.0,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\guava\android\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest$TwoArg$Action$303,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,303,com.google.common.testing.NullPointerTesterTest$TwoArg$Action$303,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\guava\android\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest$TwoArg$Action$309,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,309,com.google.common.testing.NullPointerTesterTest$TwoArg$Action$309,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
