file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\HipsterTest.java,com.github.javafaker.HipsterTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,8,com.github.javafaker.HipsterTest,class,2,0,5,,0.0,5,0,4,0,0,1,1
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\integration\Issue194SlashFormatRegexIT.java,com.github.javafaker.integration.Issue194SlashFormatRegexIT,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,com.github.javafaker.integration.Issue194SlashFormatRegexIT,class,1,0,4,0.0,0.0,17,0,4,0,0,3,3
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Address.java,com.github.javafaker.Address,0.0,-1.0,0.0,21.0,1.0,-1.0,0.0,3,com.github.javafaker.Address,class,1,6,5,1.0,0.0,85,0,13,0,1,26,27
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Lorem.java,com.github.javafaker.Lorem,0.0,-1.0,3.0,6.0,0.6666667,-1.0,1.0,11,com.github.javafaker.Lorem,class,1,7,6,0.3083004,0.8484848,116,0,28,0,3,22,35
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\AquaTeenHungerForce.java,com.github.javafaker.AquaTeenHungerForce,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,3,com.github.javafaker.AquaTeenHungerForce,class,1,2,2,1.0,0.0,9,0,2,0,1,2,2
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Name.java,com.github.javafaker.Name,0.0,-1.0,0.0,11.0,1.0,-1.0,0.0,5,com.github.javafaker.Name,class,1,6,3,0.6545454,0.18181819,37,0,9,0,1,11,11
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Zelda.java,com.github.javafaker.Zelda,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,3,com.github.javafaker.Zelda,class,1,2,1,1.0,0.0,12,0,1,0,1,3,3
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\service\FakeValues.java,com.github.javafaker.service.FakeValues,0.0,-1.0,17.0,11.0,0.39285713,-1.0,5.0,11,com.github.javafaker.service.FakeValues,class,1,5,3,0.5,0.625,65,0,16,0,4,8,17
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\service\FakeValuesGrouping.java,com.github.javafaker.service.FakeValuesGrouping,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,7,com.github.javafaker.service.FakeValuesGrouping,class,1,2,2,1.0,0.0,21,0,4,0,1,2,5
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\integration\FakerIT.java,com.github.javafaker.integration.FakerIT,0.0,-1.0,15.0,8.0,0.3478261,-1.0,9.0,30,com.github.javafaker.integration.FakerIT,class,1,1,9,0.3,0.6666666,148,0,112,0,4,6,15
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\LeagueOfLegendsTest.java,com.github.javafaker.LeagueOfLegendsTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,9,com.github.javafaker.LeagueOfLegendsTest,class,2,0,5,0.0,0.0,20,0,11,0,0,6,6
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\File.java,com.github.javafaker.File,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,3,com.github.javafaker.File,class,1,3,4,0.6,0.2,22,0,9,0,1,5,9
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\DateAndTimeTest.java,com.github.javafaker.DateAndTimeTest,1.0,0.0,62.0,0.0,0.0,0.0,3.0,19,com.github.javafaker.DateAndTimeTest,class,2,0,5,0.0,0.0,76,0,20,0,0,8,15
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet$UserAgent,0.0,0.0,1.0,2.0,0.6666667,-1.0,1.0,324,com.github.javafaker.Internet$UserAgent,enum,1,0,1,1.0,0.33333334,13,0,2,0,1,3,3
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\idnumbers\SvSEIdNumber.java,com.github.javafaker.idnumbers.SvSEIdNumber,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,15,com.github.javafaker.idnumbers.SvSEIdNumber,class,1,3,3,0.0,0.875,77,0,15,0,1,8,17
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\EducatorTest.java,com.github.javafaker.EducatorTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,8,com.github.javafaker.EducatorTest,class,2,0,5,0.0,0.0,14,0,7,0,0,4,4
