file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1787,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1787,redis.clients.jedis.BinaryJedisCluster$1787,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1869,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1869,redis.clients.jedis.BinaryJedisCluster$1869,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1450,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1450,redis.clients.jedis.BinaryJedisCluster$1450,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\resps\LCSMatchResult.java,redis.clients.jedis.resps.LCSMatchResult$Position,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,87,redis.clients.jedis.resps.LCSMatchResult$Position,innerclass,1,0,0,1.0,0.33333334,14,0,0,0,2,3,3
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$659,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,659,redis.clients.jedis.JedisCluster$659,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1315,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1315,redis.clients.jedis.BinaryJedisCluster$1315,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1595,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1595,redis.clients.jedis.BinaryJedisCluster$1595,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2979,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2979,redis.clients.jedis.JedisCluster$2979,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisSentinelPoolWithCompleteCredentialsTest.java,redis.clients.jedis.tests.JedisSentinelPoolWithCompleteCredentialsTest,0.0,-1.0,24.0,16.0,0.4,-1.0,6.0,29,redis.clients.jedis.tests.JedisSentinelPoolWithCompleteCredentialsTest,class,1,1,20,0.6545454,0.5277778,106,0,33,0,3,12,14
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\SSLJedisClusterWithCompleteCredentialsTest.java,redis.clients.jedis.tests.SSLJedisClusterWithCompleteCredentialsTest$30,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30,redis.clients.jedis.tests.SSLJedisClusterWithCompleteCredentialsTest$30,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisPoolTest.java,redis.clients.jedis.tests.JedisPoolTest$1CrashingJedisPooledObjectFactory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,240,redis.clients.jedis.tests.JedisPoolTest$1CrashingJedisPooledObjectFactory,innerclass,1,0,5,0.0,0.0,15,0,1,0,0,5,5
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2779,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2779,redis.clients.jedis.JedisCluster$2779,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\ShardedJedisPoolTest.java,redis.clients.jedis.tests.ShardedJedisPoolTest$273,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,273,redis.clients.jedis.tests.ShardedJedisPoolTest$273,anonymous,1,0,1,,0.0,6,0,2,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$651,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,651,redis.clients.jedis.BinaryJedisCluster$651,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$481,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,481,redis.clients.jedis.BuilderFactory$481,anonymous,1,0,2,0.0,0.0,14,0,7,0,0,2,3
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2647,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2647,redis.clients.jedis.JedisCluster$2647,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1403,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1403,redis.clients.jedis.JedisCluster$1403,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
