file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2047,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,2049,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$2017,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,2019,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrate/0,6.0,14.0,0.7,2.0,72,migrate/0,0,6,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateAuth/0,6.0,14.0,0.7,2.0,143,migrateAuth/0,0,8,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateAuth2/0,8.0,10.0,0.5555556,3.0,158,migrateAuth2/0,0,9,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateConflict/0,10.0,25.0,0.71428573,3.0,212,migrateConflict/0,0,9,3,26,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateCopy/0,6.0,15.0,0.71428573,2.0,98,migrateCopy/0,0,8,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateCopyReplace/0,8.0,17.0,0.68,2.0,126,migrateCopyReplace/0,0,9,1,12,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateCopyReplaceAuth/0,8.0,17.0,0.68,2.0,174,migrateCopyReplaceAuth/0,0,10,1,12,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateEmptyParams/0,6.0,14.0,0.7,2.0,85,migrateEmptyParams/0,0,7,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateMulti/0,6.0,23.0,0.79310346,2.0,195,migrateMulti/0,0,7,1,12,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,migrateReplace/0,8.0,16.0,0.6666667,2.0,111,migrateReplace/0,0,8,1,12,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,nokey/0,0.0,20.0,1.0,0.0,62,nokey/0,0,5,1,6,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,setUp/0,1.0,8.0,0.8888889,1.0,40,setUp/0,0,4,1,10,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\commands\MigrateTest.java,redis.clients.jedis.tests.commands.MigrateTest,tearDown/0,0.0,0.0,-1.0,0.0,55,tearDown/0,0,1,1,5,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$781,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,783,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$2426,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,2428,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Protocol.java,redis.clients.jedis.Protocol$Keyword,getRaw/0,0.0,1.0,1.0,0.0,302,getRaw/0,111,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Protocol.java,redis.clients.jedis.Protocol$Keyword,Keyword/0,1.0,1.0,0.5,1.0,297,Keyword/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$1884,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,1886,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$280,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,282,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$2776,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,2778,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster$869,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,871,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster$1707,execute/1[redis.clients.jedis.Jedis],0.0,0.0,-1.0,0.0,1709,execute/1[redis.clients.jedis.Jedis],0,514,1,3,1,0,1,0,0,0
