file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,0.0,-1.0,49.0,4.0,0.0754717,-1.0,21.0,69,hudson.cli.CLI,class,8,4,21,0.0,0.93333334,378,0,85,5,2,15,80
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\HexDump.java,hudson.cli.HexDump,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,8,hudson.cli.HexDump,class,1,3,2,0.0,0.5,41,0,5,0,1,2,10
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest,0.0,-1.0,9.0,0.0,0.0,-1.0,3.0,38,hudson.cli.PlainCLIProtocolTest,class,5,0,5,,0.0,96,0,8,2,0,1,4
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\DiagnosedStreamCorruptionException.java,hudson.cli.DiagnosedStreamCorruptionException,0.0,0.0,0.0,9.0,1.0,-1.0,0.0,14,hudson.cli.DiagnosedStreamCorruptionException,class,6,1,2,1.0,0.4,35,0,11,0,3,5,6
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest$1Client,11.0,0.6666667,1.0,1.0,0.5,0.0,1.0,44,hudson.cli.PlainCLIProtocolTest$1Client,innerclass,3,0,3,0.0,0.85714287,29,0,9,0,2,7,7
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest$1Server,14.0,0.7777778,1.0,2.0,0.6666667,0.0,1.0,75,hudson.cli.PlainCLIProtocolTest$1Server,innerclass,3,0,3,0.0,0.8999999,36,0,8,0,3,10,10
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\SSHCLI.java,hudson.cli.SSHCLI$90,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,90,hudson.cli.SSHCLI$90,anonymous,1,0,1,,0.0,6,0,2,0,0,1,1
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$NotTalkingToJenkinsException,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,84,hudson.cli.CLI$NotTalkingToJenkinsException,innerclass,4,0,0,0.0,0.0,8,0,2,0,0,2,2
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java,hudson.cli.PrivateKeyProviderTest,0.0,-1.0,35.0,0.0,0.0,-1.0,7.0,22,hudson.cli.PrivateKeyProviderTest,class,1,1,4,0.0,0.0,55,0,10,0,0,11,11
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\NoCheckTrustManager.java,hudson.cli.NoCheckTrustManager,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,12,hudson.cli.NoCheckTrustManager,class,1,1,1,0.0,0.0,9,0,0,0,0,3,3
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream$ByteArrayRingBuffer,0.0,0.0,0.0,35.0,1.0,-1.0,0.0,130,hudson.cli.FlightRecorderInputStream$ByteArrayRingBuffer,innerclass,2,0,2,1.0,0.125,46,0,3,0,3,4,10
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java,hudson.util.QuotedStringTokenizer,0.0,0.0,2.0,43.0,0.95555556,-1.0,1.0,55,hudson.util.QuotedStringTokenizer,class,2,8,1,0.121212125,0.89772725,273,0,18,0,12,22,104
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$Output,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,82,hudson.cli.PlainCLIProtocol$Output,interface,1,0,1,,0.0,3,0,0,0,0,1,1
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$ServerSide,8.0,0.1,10.0,0.0,0.0,0.25,1.0,255,hudson.cli.PlainCLIProtocol$ServerSide,innerclass,2,0,5,0.0,0.0,45,0,10,0,0,11,17
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$382,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,382,hudson.cli.CLI$382,anonymous,1,0,1,,0.0,15,0,6,0,0,1,3
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FullDuplexHttpStream.java,hudson.cli.FullDuplexHttpStream,0.0,-1.0,13.0,6.0,0.31578946,-1.0,3.0,20,hudson.cli.FullDuplexHttpStream,class,1,2,3,1.0,0.68,69,0,23,0,5,5,12
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$ClientSide,8.0,0.1,10.0,0.0,0.0,0.375,1.0,314,hudson.cli.PlainCLIProtocol$ClientSide,innerclass,2,0,5,0.0,0.0,42,0,8,0,0,11,14
