file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,_main/1[java.lang.String[]],30.0,2.0,0.0625,11.0,108,_main/1[java.lang.String[]],1,16,57,182,12,17,1,3,1,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,computeVersion/0,2.0,0.0,0.0,2.0,471,computeVersion/0,1,0,3,18,1,2,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,getFileFromArguments/1[java.util.List],1.0,0.0,0.0,1.0,328,getFileFromArguments/1[java.util.List],1,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,loadKey/1[java.io.File],0.0,0.0,-1.0,0.0,495,loadKey/1[java.io.File],0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/2[java.io.File,java.lang.String]",0.0,0.0,-1.0,0.0,491,"loadKey/2[java.io.File,java.lang.String]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,loadKey/1[java.lang.String],0.0,0.0,-1.0,0.0,506,loadKey/1[java.lang.String],0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,502,"loadKey/2[java.lang.String,java.lang.String]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,94,main/1[java.lang.String[]],0,1,3,13,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"plainHttpConnection/3[java.lang.String,java.util.List,hudson.cli.CLIConnectionFactory]",6.0,2.0,0.25,4.0,372,"plainHttpConnection/3[java.lang.String,java.util.List,hudson.cli.CLIConnectionFactory]",1,9,2,29,1,3,3,0,1,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,printUsage/1[java.lang.String],0.0,0.0,-1.0,0.0,515,printUsage/1[java.lang.String],1,1,2,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,readAuthFromFile/1[java.lang.String],0.0,0.0,-1.0,0.0,323,readAuthFromFile/1[java.lang.String],1,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,usage/0,0.0,0.0,-1.0,0.0,511,usage/0,2,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,verifyJenkinsConnection/1[java.net.URLConnection],2.0,0.0,0.0,1.0,80,verifyJenkinsConnection/1[java.net.URLConnection],1,1,3,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"webSocketConnection/3[java.lang.String,java.util.List,hudson.cli.CLIConnectionFactory]",7.0,0.0,0.0,6.0,332,"webSocketConnection/3[java.lang.String,java.util.List,hudson.cli.CLIConnectionFactory]",1,6,2,39,1,5,3,0,1,2
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,CLI/0,0.0,0.0,-1.0,0.0,71,CLI/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\HexDump.java,hudson.cli.HexDump,toHex/1[byte[]],1.0,0.0,0.0,1.0,11,toHex/1[byte[]],2,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\HexDump.java,hudson.cli.HexDump,"toHex/3[byte[],int,int]",0.0,0.0,-1.0,0.0,14,"toHex/3[byte[],int,int]",2,0,9,35,1,4,3,1,0,0
