file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$MatchText,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,768,org.jsoup.select.Evaluator$MatchText,innerclass,2,0,6,0.0,0.0,15,0,7,0,0,2,4
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$1600,0.0,1.0,0.0,3.0,1.0,-1.0,0.0,1600,org.jsoup.parser.TokeniserState$1600,anonymous,1,0,2,,0.0,17,0,3,0,0,1,3
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,0.0,-1.0,7.0,1.0,0.125,-1.0,1.0,8,org.jsoup.nodes.CommentTest,class,1,0,8,0.71428573,0.5,42,0,21,0,2,7,7
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8,org.jsoup.helper.Validate,class,1,43,2,0.0,0.0,40,0,2,0,0,13,25
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator$ImmediatePreviousSibling,0.0,0.5,0.0,2.0,1.0,-1.0,0.0,122,org.jsoup.select.StructuralEvaluator$ImmediatePreviousSibling,innerclass,3,0,3,0.0,0.0,13,0,3,0,0,3,5
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest$83,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,83,org.jsoup.select.TraversorTest$83,anonymous,1,0,2,0.0,0.0,8,0,2,0,0,2,4
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\integration\SafelistExtensionTest.java,org.jsoup.integration.SafelistExtensionTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,15,org.jsoup.integration.SafelistExtensionTest,class,2,0,5,,0.0,24,0,4,1,0,1,1
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$1232,0.0,1.0,3.0,7.0,0.7,-1.0,1.0,1232,org.jsoup.parser.TokeniserState$1232,anonymous,1,0,2,,0.0,38,0,5,0,0,1,10
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$325,0.0,1.0,0.0,2.0,1.0,-1.0,0.0,325,org.jsoup.parser.TokeniserState$325,anonymous,1,0,2,,0.0,11,0,4,0,0,1,2
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$261,0.0,1.0,0.0,2.0,1.0,-1.0,0.0,261,org.jsoup.parser.TokeniserState$261,anonymous,1,0,2,,0.0,12,0,5,0,0,1,2
