file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidGraphics.java,com.badlogic.gdx.backends.android.AndroidGraphics$AndroidDisplayMode,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,754,com.badlogic.gdx.backends.android.AndroidGraphics$AndroidDisplayMode,innerclass,2,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidLiveWallpaperService.java,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine$569,0.0,-1.0,8.0,0.0,0.0,-1.0,2.0,569,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine$569,anonymous,1,0,1,,0.0,9,0,1,0,0,1,3
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidLiveWallpaperService.java,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine$590,0.0,-1.0,6.0,0.0,0.0,-1.0,1.0,590,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine$590,anonymous,1,0,2,,0.0,16,0,1,0,0,1,5
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\surfaceview\GLSurfaceView20.java,com.badlogic.gdx.backends.android.surfaceview.GLSurfaceView20$86,0.0,0.0,10.0,0.0,0.0,-1.0,3.0,86,com.badlogic.gdx.backends.android.surfaceview.GLSurfaceView20$86,anonymous,1,0,3,,0.0,17,0,4,0,0,2,5
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidFileHandle.java,com.badlogic.gdx.backends.android.AndroidFileHandle,0.0,0.0,80.0,11.0,0.12087912,-1.0,8.0,40,com.badlogic.gdx.backends.android.AndroidFileHandle,class,2,4,14,0.5735294,0.23529412,212,1,35,0,1,17,54
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AsynchronousAndroidAudio.java,com.badlogic.gdx.backends.android.AsynchronousAndroidAudio,0.0,1.0,2.0,6.0,0.75,-1.0,2.0,16,com.badlogic.gdx.backends.android.AsynchronousAndroidAudio,class,2,0,8,1.0,0.33333334,26,0,5,0,2,3,5
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidFiles.java,com.badlogic.gdx.backends.android.AndroidFiles,0.0,-1.0,21.0,16.0,0.43243244,-1.0,8.0,36,com.badlogic.gdx.backends.android.AndroidFiles,class,1,6,15,0.35897437,0.7678572,87,0,12,0,4,14,29
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidDaydream.java,com.badlogic.gdx.backends.android.AndroidDaydream$124,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,124,com.badlogic.gdx.backends.android.AndroidDaydream$124,anonymous,1,0,1,0.0,0.0,12,0,3,0,0,3,3
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidDaydream.java,com.badlogic.gdx.backends.android.AndroidDaydream,0.0,0.0,67.0,53.0,0.44166666,-1.0,23.0,47,com.badlogic.gdx.backends.android.AndroidDaydream,class,2,1,36,0.09663121,0.92410713,250,0,58,0,14,48,64
C:\Users\syuuj\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidLiveWallpaperService.java,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine,0.0,0.0,139.0,47.0,0.25268817,-1.0,8.0,220,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService$AndroidWallpaperEngine,innerclass,2,0,12,0.041666668,0.857143,247,0,44,0,13,18,72
