file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$101,getPasswordAuthentication/0,0.0,0.0,-1.0,0.0,103,getPasswordAuthentication/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"downloadFileFromURL/2[java.lang.String,java.io.File]",7.0,0.0,0.0,4.0,97,"downloadFileFromURL/2[java.lang.String,java.io.File]",1,1,3,19,0,5,2,0,1,0
C:\Users\syuuj\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,main/1[java.lang.String[]],8.0,5.0,0.3846154,2.0,48,main/1[java.lang.String[]],0,1,8,46,0,6,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,findsNestedMapperImpl/0,4.0,0.0,0.0,3.0,41,findsNestedMapperImpl/0,0,2,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,findsNestedMapperImplClass/0,4.0,0.0,0.0,3.0,47,findsNestedMapperImplClass/0,0,2,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnImplementationClass/0,3.0,0.0,0.0,2.0,29,shouldReturnImplementationClass/0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnImplementationInstance/0,2.0,0.0,0.0,2.0,22,shouldReturnImplementationInstance/0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnPackagePrivateImplementationClass/0,2.0,0.0,0.0,2.0,58,shouldReturnPackagePrivateImplementationClass/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnPackagePrivateImplementationInstance/0,2.0,0.0,0.0,2.0,53,shouldReturnPackagePrivateImplementationInstance/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingConstants.java,org.mapstruct.MappingConstants,MappingConstants/0,0.0,0.0,-1.0,0.0,15,MappingConstants/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,collectClassLoaders/1[java.lang.ClassLoader],3.0,0.0,0.0,2.0,156,collectClassLoaders/1[java.lang.ClassLoader],2,0,2,9,1,1,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"doGetMapper/2[java.lang.Class,java.lang.ClassLoader]",3.0,2.0,0.4,2.0,78,"doGetMapper/2[java.lang.Class,java.lang.ClassLoader]",1,1,3,14,2,2,2,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"doGetMapperClass/2[java.lang.Class,java.lang.ClassLoader]",2.0,2.0,0.5,2.0,130,"doGetMapperClass/2[java.lang.Class,java.lang.ClassLoader]",1,1,3,12,3,1,2,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,getMapper/1[java.lang.Class],1.0,1.0,0.5,1.0,54,getMapper/1[java.lang.Class],0,2,2,9,1,1,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapper/2[java.lang.Class,java.lang.Iterable]",1.0,0.0,0.0,1.0,65,"getMapper/2[java.lang.Class,java.lang.Iterable]",1,1,3,9,1,1,2,1,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,getMapperClass/1[java.lang.Class],1.0,1.0,0.5,1.0,105,getMapperClass/1[java.lang.Class],0,2,2,9,1,1,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapperClass/2[java.lang.Class,java.lang.Iterable]",1.0,0.0,0.0,1.0,116,"getMapperClass/2[java.lang.Class,java.lang.Iterable]",1,1,3,9,1,1,2,1,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapperFromServiceLoader/2[java.lang.Class,java.lang.ClassLoader]",0.0,0.0,-1.0,0.0,144,"getMapperFromServiceLoader/2[java.lang.Class,java.lang.ClassLoader]",2,0,3,9,2,1,2,1,0,0
C:\Users\syuuj\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,Mappers/0,0.0,0.0,-1.0,0.0,43,Mappers/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,getCity/0,0.0,1.0,1.0,0.0,34,getCity/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,getCountry/0,0.0,1.0,1.0,0.0,42,getCountry/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,getHouseNumber/0,0.0,1.0,1.0,0.0,26,getHouseNumber/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,getStreet/0,0.0,1.0,1.0,0.0,18,getStreet/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,setCity/1[java.lang.String],0.0,1.0,1.0,0.0,38,setCity/1[java.lang.String],1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,setCountry/1[java.lang.String],0.0,1.0,1.0,0.0,46,setCountry/1[java.lang.String],1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,setHouseNumber/1[java.lang.String],0.0,1.0,1.0,0.0,30,setHouseNumber/1[java.lang.String],1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,setStreet/1[java.lang.String],0.0,1.0,1.0,0.0,22,setStreet/1[java.lang.String],1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\java8Test\src\main\java\org\mapstruct\itest\java8\Java8Mapper.java,org.mapstruct.itest.java8.Java8Mapper,sourceToTarget/1[org.mapstruct.itest.java8.Source],0.0,0.0,-1.0,0.0,19,sourceToTarget/1[org.mapstruct.itest.java8.Source],1,0,1,1,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jsr330Test\src\main\java\org\mapstruct\itest\jsr330\other\DateMapper.java,org.mapstruct.itest.jsr330.other.DateMapper,asDate/1[java.lang.String],0.0,0.0,-1.0,0.0,23,asDate/1[java.lang.String],0,0,3,8,1,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jsr330Test\src\main\java\org\mapstruct\itest\jsr330\other\DateMapper.java,org.mapstruct.itest.jsr330.other.DateMapper,asString/1[java.util.Date],0.0,0.0,-1.0,0.0,19,asString/1[java.util.Date],0,0,2,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\moduleInfoTest\src\main\java\org\mapstruct\itest\modules\CustomerMapper.java,org.mapstruct.itest.modules.CustomerMapper,fromDto/1[org.mapstruct.itest.modules.CustomerDto],0.0,0.0,-1.0,0.0,21,fromDto/1[org.mapstruct.itest.modules.CustomerDto],1,0,1,1,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\protobufBuilderTest\src\test\java\org\mapstruct\itest\protobuf\ProtobufMapperTest.java,org.mapstruct.itest.protobuf.ProtobufMapperTest,testLombokToImmutable/0,6.0,0.0,0.0,2.0,36,testLombokToImmutable/0,0,3,1,7,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\protobufBuilderTest\src\test\java\org\mapstruct\itest\protobuf\ProtobufMapperTest.java,org.mapstruct.itest.protobuf.ProtobufMapperTest,testSimpleImmutableBuilderHappyPath/0,13.0,0.0,0.0,6.0,20,testSimpleImmutableBuilderHappyPath/0,0,5,1,7,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\immutablesBuilderTest\mapper\src\test\java\org\mapstruct\itest\immutables\ImmutablesMapperTest.java,org.mapstruct.itest.immutables.ImmutablesMapperTest,testLombokToImmutable/0,5.0,0.0,0.0,2.0,35,testLombokToImmutable/0,0,7,1,7,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\immutablesBuilderTest\mapper\src\test\java\org\mapstruct\itest\immutables\ImmutablesMapperTest.java,org.mapstruct.itest.immutables.ImmutablesMapperTest,testSimpleImmutableBuilderHappyPath/0,5.0,0.0,0.0,2.0,20,testSimpleImmutableBuilderHappyPath/0,0,5,1,7,0,1,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\simpleTest\src\main\java\org\mapstruct\itest\simple\YetAnotherType.java,org.mapstruct.itest.simple.YetAnotherType,getValue/0,0.0,1.0,1.0,0.0,19,getValue/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\simpleTest\src\main\java\org\mapstruct\itest\simple\YetAnotherType.java,org.mapstruct.itest.simple.YetAnotherType,setValue/1[java.lang.String],0.0,1.0,1.0,0.0,23,setValue/1[java.lang.String],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\simpleTest\src\main\java\org\mapstruct\itest\simple\YetAnotherType.java,org.mapstruct.itest.simple.YetAnotherType,YetAnotherType/1[java.lang.String],0.0,1.0,1.0,0.0,15,YetAnotherType/1[java.lang.String],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\superTypeGenerationTest\usage\src\main\java\org\mapstruct\itest\supertypegeneration\usage\OrderDto.java,org.mapstruct.itest.supertypegeneration.usage.OrderDto,getItem/0,0.0,1.0,1.0,0.0,18,getItem/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\superTypeGenerationTest\usage\src\main\java\org\mapstruct\itest\supertypegeneration\usage\OrderDto.java,org.mapstruct.itest.supertypegeneration.usage.OrderDto,setItem/1[java.lang.String],0.0,1.0,1.0,0.0,22,setItem/1[java.lang.String],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\java\org\mapstruct\itest\testutil\extension\ProcessorTestTemplateInvocationContextProvider.java,org.mapstruct.itest.testutil.extension.ProcessorTestTemplateInvocationContextProvider,provideTestTemplateInvocationContexts/1[org.junit.jupiter.api.extension.ExtensionContext],2.0,0.0,0.0,2.0,26,provideTestTemplateInvocationContexts/1[org.mapstruct.itest.testutil.extension.ExtensionContext],0,6,1,5,1,3,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\java\org\mapstruct\itest\testutil\extension\ProcessorTestTemplateInvocationContextProvider.java,org.mapstruct.itest.testutil.extension.ProcessorTestTemplateInvocationContextProvider,supportsTestTemplate/1[org.junit.jupiter.api.extension.ExtensionContext],2.0,0.0,0.0,2.0,21,supportsTestTemplate/1[org.mapstruct.itest.testutil.extension.ExtensionContext],0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\jsr330Test\src\main\java\org\mapstruct\itest\jsr330\SourceTargetMapperDecorator.java,org.mapstruct.itest.jsr330.SourceTargetMapperDecorator,sourceToTarget/1[org.mapstruct.itest.jsr330.Source],1.0,0.0,0.0,1.0,18,sourceToTarget/1[org.mapstruct.itest.jsr330.Source],0,2,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\springTest\src\main\java\org\mapstruct\itest\spring\Target.java,org.mapstruct.itest.spring.Target,getDate/0,0.0,1.0,1.0,0.0,22,getDate/0,3,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\springTest\src\main\java\org\mapstruct\itest\spring\Target.java,org.mapstruct.itest.spring.Target,getFoo/0,0.0,1.0,1.0,0.0,18,getFoo/0,3,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\springTest\src\main\java\org\mapstruct\itest\spring\Target.java,org.mapstruct.itest.spring.Target,setDate/1[java.lang.String],0.0,1.0,1.0,0.0,26,setDate/1[java.lang.String],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\springTest\src\main\java\org\mapstruct\itest\spring\Target.java,org.mapstruct.itest.spring.Target,setFoo/1[java.lang.Long],0.0,1.0,1.0,0.0,14,setFoo/1[java.lang.Long],2,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\java8Test\src\main\java\org\mapstruct\ap\test\bugs\_603\SourceTargetMapperDecorator.java,org.mapstruct.ap.test.bugs._603.SourceTargetMapperDecorator,mapSourceToTarget/1[org.mapstruct.ap.test.bugs._603.Source],0.0,0.0,-1.0,0.0,17,mapSourceToTarget/1[org.mapstruct.ap.test.bugs._603.Source],0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\mapstruct\integrationtest\src\test\resources\java8Test\src\main\java\org\mapstruct\ap\test\bugs\_603\SourceTargetMapperDecorator.java,org.mapstruct.ap.test.bugs._603.SourceTargetMapperDecorator,SourceTargetMapperDecorator/1[org.mapstruct.ap.test.bugs._603.SourceTargetMapper],0.0,1.0,1.0,0.0,12,SourceTargetMapperDecorator/1[org.mapstruct.ap.test.bugs._603.SourceTargetMapper],0,0,1,3,0,0,1,0,0,0
