file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,clear/0,1.0,1.0,0.5,1.0,443,clear/0,2,1,3,11,0,0,0,1,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,createTempFile/1[java.lang.String],0.0,1.0,1.0,0.0,455,createTempFile/1[java.lang.String],1,1,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD$DefaultTempFileManager,DefaultTempFileManager/0,1.0,2.0,0.6666667,1.0,434,DefaultTempFileManager/0,4,0,2,7,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest$TestServer,serve/1[fi.iki.elonen.NanoHTTPD.IHTTPSession],0.0,0.0,-1.0,0.0,57,serve/1[fi.iki.elonen.NanoHTTPD.IHTTPSession],0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest$TestServer,TestServer/0,0.0,0.0,-1.0,0.0,52,TestServer/0,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\GetAndPostIntegrationTest.java,fi.iki.elonen.integration.GetAndPostIntegrationTest$175,getFilename/0,0.0,0.0,-1.0,0.0,178,getFilename/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,closeAllConnections/0,0.0,0.0,-1.0,0.0,2038,closeAllConnections/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"createClientHandler/2[java.net.Socket,java.io.InputStream]",0.0,0.0,-1.0,0.0,2052,"createClientHandler/2[java.net.Socket,java.io.InputStream]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,createServerRunnable/1[int],0.0,0.0,-1.0,0.0,2064,createServerRunnable/1[int],1,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,decodeParameters/1[java.lang.String],1.0,0.0,0.0,1.0,2096,decodeParameters/1[java.lang.String],4,1,7,19,1,6,1,1,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,decodeParameters/1[java.util.Map],1.0,1.0,0.5,1.0,2079,decodeParameters/1[java.util.Map],0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,decodePercent/1[java.lang.String],1.0,0.0,0.0,1.0,2124,decodePercent/1[java.lang.String],6,0,2,10,1,1,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,getHostname/0,0.0,1.0,1.0,0.0,2160,getHostname/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,getListeningPort/0,1.0,1.0,0.5,1.0,2144,getListeningPort/0,2,0,2,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,getMimeTypeForFile/1[java.lang.String],1.0,0.0,0.0,1.0,1963,getMimeTypeForFile/1[java.lang.String],7,1,3,8,1,2,1,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,getServerSocketFactory/0,0.0,1.0,1.0,0.0,2152,getServerSocketFactory/0,3,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,getTempFileManagerFactory/0,0.0,1.0,1.0,0.0,2164,getTempFileManagerFactory/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,isAlive/0,0.0,0.0,-1.0,0.0,2148,isAlive/0,2,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD,"loadMimeTypes/2[java.util.Map,java.lang.String]",4.0,0.0,0.0,3.0,1880,"loadMimeTypes/2[java.util.Map,java.lang.String]",1,1,4,24,0,4,2,1,0,0
