file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,23,com.corundumstudio.socketio.messages.PacketsMessage,class,1,3,3,1.0,0.5,19,0,0,0,3,4,4
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelScheduler,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,28,com.corundumstudio.socketio.scheduler.HashedWheelScheduler,class,1,0,6,0.75,0.5416667,68,0,7,0,3,8,11
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\JoinLeaveMessage.java,com.corundumstudio.socketio.store.pubsub.JoinLeaveMessage,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,20,com.corundumstudio.socketio.store.pubsub.JoinLeaveMessage,class,2,4,1,0.6,0.70000005,23,0,0,0,4,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\namespace\Namespace.java,com.corundumstudio.socketio.namespace.Namespace,0.0,-1.0,36.0,37.0,0.5068493,-1.0,8.0,53,com.corundumstudio.socketio.namespace.Namespace,class,1,17,26,0.80689657,0.8886555,253,0,68,0,14,34,71
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryPubSubStore.java,com.corundumstudio.socketio.store.MemoryPubSubStore,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23,com.corundumstudio.socketio.store.MemoryPubSubStore,class,1,1,5,0.0,0.0,10,0,0,0,0,4,4
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\ExceptionListener.java,com.corundumstudio.socketio.listener.ExceptionListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24,com.corundumstudio.socketio.listener.ExceptionListener,interface,1,4,2,0.0,0.0,7,0,0,0,0,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderConnectionPacketTest.java,com.corundumstudio.socketio.parser.DecoderConnectionPacketTest,2.0,0.0,9.0,0.0,0.0,0.0,2.0,26,com.corundumstudio.socketio.parser.DecoderConnectionPacketTest,class,2,0,4,0.0,0.0,20,0,4,0,0,4,4
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelScheduler$58,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,58,com.corundumstudio.socketio.scheduler.HashedWheelScheduler$58,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnEventScanner.java,com.corundumstudio.socketio.annotation.OnEventScanner$87,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,87,com.corundumstudio.socketio.annotation.OnEventScanner$87,anonymous,1,0,3,,0.0,24,0,6,0,0,1,6
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderMessagePacketTest.java,com.corundumstudio.socketio.parser.EncoderMessagePacketTest,0.0,0.0,6.0,0.0,0.0,-1.0,3.0,30,com.corundumstudio.socketio.parser.EncoderMessagePacketTest,class,2,0,4,0.0,0.0,14,0,5,0,0,2,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\misc\CompositeIterable.java,com.corundumstudio.socketio.misc.CompositeIterable,0.0,-1.0,0.0,13.0,1.0,-1.0,0.0,22,com.corundumstudio.socketio.misc.CompositeIterable,class,1,4,2,1.0,0.5357143,52,0,9,0,4,7,14
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager$154,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,154,com.corundumstudio.socketio.ack.AckManager$154,anonymous,1,0,2,,0.0,8,0,2,0,0,1,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\BroadcastOperations.java,com.corundumstudio.socketio.BroadcastOperations,0.0,-1.0,22.0,10.0,0.3125,-1.0,7.0,38,com.corundumstudio.socketio.BroadcastOperations,class,1,5,11,0.7777778,0.45000002,82,0,25,0,2,10,22
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\Disconnectable.java,com.corundumstudio.socketio.Disconnectable,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22,com.corundumstudio.socketio.Disconnectable,interface,1,7,1,,0.0,3,0,0,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\ExceptionListenerAdapter.java,com.corundumstudio.socketio.listener.ExceptionListenerAdapter,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,29,com.corundumstudio.socketio.listener.ExceptionListenerAdapter,class,1,1,3,0.0,0.0,13,1,0,0,0,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\PacketType.java,com.corundumstudio.socketio.protocol.PacketType,0.0,0.0,0.0,9.0,1.0,-1.0,0.0,19,com.corundumstudio.socketio.protocol.PacketType,enum,1,4,1,1.0,0.33333334,30,0,2,0,3,5,11
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketConfig.java,com.corundumstudio.socketio.SocketConfig,0.0,-1.0,0.0,14.0,1.0,-1.0,0.0,24,com.corundumstudio.socketio.SocketConfig,class,1,2,0,0.07692308,0.85714287,51,0,0,0,7,14,14
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\HttpMessage.java,com.corundumstudio.socketio.messages.HttpMessage,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,20,com.corundumstudio.socketio.messages.HttpMessage,class,1,4,0,1.0,0.33333334,14,3,0,0,2,3,3
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\AuthPacket.java,com.corundumstudio.socketio.protocol.AuthPacket,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,21,com.corundumstudio.socketio.protocol.AuthPacket,class,1,1,0,1.0,0.6,25,0,0,0,4,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelTimeoutScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,37,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler,class,1,2,7,0.53571427,0.6666667,76,0,8,0,3,9,12
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,25,com.corundumstudio.socketio.handler.TransportState,class,1,1,2,0.33333334,0.5,18,0,0,0,2,4,4
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonStore.java,com.corundumstudio.socketio.store.RedissonStore,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,23,com.corundumstudio.socketio.store.RedissonStore,class,1,1,3,1.0,0.0,18,0,6,0,1,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\PollingTransport.java,com.corundumstudio.socketio.transport.PollingTransport,0.0,0.0,58.0,3.0,0.04918033,-1.0,11.0,44,com.corundumstudio.socketio.transport.PollingTransport,class,2,3,18,0.5,0.6,126,0,37,0,5,8,30
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\WebSocketTransport.java,com.corundumstudio.socketio.transport.WebSocketTransport$199,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,199,com.corundumstudio.socketio.transport.WebSocketTransport$199,anonymous,1,0,2,,0.0,11,0,4,0,0,1,3
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckSchedulerKey.java,com.corundumstudio.socketio.ack.AckSchedulerKey,0.0,0.6666667,2.0,6.0,0.75,-1.0,1.0,22,com.corundumstudio.socketio.ack.AckSchedulerKey,class,2,2,3,1.0,0.0,24,0,3,0,1,4,8
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore$57,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,57,com.corundumstudio.socketio.store.RedissonPubSubStore$57,anonymous,1,0,3,,0.0,7,0,3,0,0,1,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore,0.0,-1.0,7.0,4.0,0.36363637,-1.0,3.0,33,com.corundumstudio.socketio.store.RedissonPubSubStore,class,1,1,8,0.6,0.55,46,0,11,0,4,5,8
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner,0.0,-1.0,7.0,0.0,0.0,-1.0,5.0,27,com.corundumstudio.socketio.annotation.OnDisconnectScanner,class,1,1,5,0.0,0.0,35,0,4,0,0,3,7
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderMessagePacketTest.java,com.corundumstudio.socketio.parser.DecoderMessagePacketTest,2.0,0.0,8.0,0.0,0.0,0.0,2.0,26,com.corundumstudio.socketio.parser.DecoderMessagePacketTest,class,2,0,4,0.0,0.0,16,0,5,0,0,3,3
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStore.java,com.corundumstudio.socketio.store.HazelcastStore,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,24,com.corundumstudio.socketio.store.HazelcastStore,class,1,1,4,1.0,0.0,18,0,6,0,1,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderBaseTest.java,com.corundumstudio.socketio.parser.EncoderBaseTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22,com.corundumstudio.socketio.parser.EncoderBaseTest,class,1,4,3,-1.0,,3,4,0,0,1,0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnEventScanner.java,com.corundumstudio.socketio.annotation.OnEventScanner,0.0,-1.0,19.0,0.0,0.0,-1.0,8.0,32,com.corundumstudio.socketio.annotation.OnEventScanner,class,1,2,8,0.0,0.0,115,0,18,0,0,5,18
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ClientOperations.java,com.corundumstudio.socketio.ClientOperations,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24,com.corundumstudio.socketio.ClientOperations,interface,1,4,1,0.0,0.0,5,0,0,0,0,3,3
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\WebSocketTransport.java,com.corundumstudio.socketio.transport.WebSocketTransport,0.0,0.0,40.0,7.0,0.14893617,-1.0,13.0,57,com.corundumstudio.socketio.transport.WebSocketTransport,class,2,4,25,1.0,0.61224496,146,0,43,0,7,7,26
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\misc\IterableCollection.java,com.corundumstudio.socketio.misc.IterableCollection,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,21,com.corundumstudio.socketio.misc.IterableCollection,class,2,1,2,1.0,0.0,21,0,3,0,1,4,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\AuthorizeHandler.java,com.corundumstudio.socketio.handler.AuthorizeHandler$98,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,98,com.corundumstudio.socketio.handler.AuthorizeHandler$98,anonymous,1,0,0,,0.0,6,0,4,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager$AckEntry,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,38,com.corundumstudio.socketio.ack.AckManager$AckEntry,innerclass,1,0,1,1.0,0.4,21,0,7,0,2,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\XHRPostMessage.java,com.corundumstudio.socketio.messages.XHRPostMessage,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,20,com.corundumstudio.socketio.messages.XHRPostMessage,class,2,3,1,,0.0,5,1,0,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport$AckArgsDeserializer,0.0,0.0,6.0,0.0,0.0,-1.0,6.0,71,com.corundumstudio.socketio.protocol.JacksonJsonSupport$AckArgsDeserializer,innerclass,2,0,8,0.0,1.0,31,0,12,0,1,2,6
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner$36,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,36,com.corundumstudio.socketio.annotation.OnDisconnectScanner$36,anonymous,1,0,2,,0.0,13,0,2,0,0,1,3
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,0.0,-1.0,35.0,1.0,0.027777778,-1.0,8.0,27,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,class,1,4,13,0.0,0.9,52,3,9,0,2,5,5
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\PacketListener.java,com.corundumstudio.socketio.handler.PacketListener,0.0,-1.0,44.0,3.0,0.06382979,-1.0,6.0,33,com.corundumstudio.socketio.handler.PacketListener,class,1,2,11,1.0,0.0,70,0,24,0,3,2,15
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\JsonSupportWrapper.java,com.corundumstudio.socketio.JsonSupportWrapper,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,30,com.corundumstudio.socketio.JsonSupportWrapper,class,1,2,9,1.0,0.2857143,45,0,11,0,2,7,10
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\NamespaceClient.java,com.corundumstudio.socketio.transport.NamespaceClient,0.0,-1.0,40.0,20.0,0.33333334,-1.0,7.0,36,com.corundumstudio.socketio.transport.NamespaceClient,class,1,5,12,0.60474306,0.7395833,119,0,42,0,4,24,37
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport$EventDeserializer,0.0,0.0,7.0,0.0,0.0,-1.0,7.0,157,com.corundumstudio.socketio.protocol.JacksonJsonSupport$EventDeserializer,innerclass,2,0,7,0.0,0.75,37,0,13,0,2,2,7
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\AckArgs.java,com.corundumstudio.socketio.protocol.AckArgs,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,20,com.corundumstudio.socketio.protocol.AckArgs,class,1,5,0,1.0,0.0,10,0,0,0,1,2,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\HttpErrorMessage.java,com.corundumstudio.socketio.messages.HttpErrorMessage,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,20,com.corundumstudio.socketio.messages.HttpErrorMessage,class,2,2,1,1.0,0.0,10,0,0,0,1,2,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager,0.0,-1.0,22.0,4.0,0.15384616,-1.0,9.0,36,com.corundumstudio.socketio.ack.AckManager,class,1,10,13,0.4,0.6666667,118,0,28,1,3,9,21
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonStoreFactory.java,com.corundumstudio.socketio.store.RedissonStoreFactory,1.0,0.25,3.0,12.0,0.8,1.0,2.0,27,com.corundumstudio.socketio.store.RedissonStoreFactory,class,2,0,9,0.71428573,0.5,35,0,4,0,4,7,7
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\AnnotationScanner.java,com.corundumstudio.socketio.annotation.AnnotationScanner,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23,com.corundumstudio.socketio.annotation.AnnotationScanner,interface,1,4,1,0.0,0.0,5,0,0,0,0,3,3
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\PayloadTest.java,com.corundumstudio.socketio.parser.PayloadTest,0.0,-1.0,20.0,0.0,0.0,-1.0,5.0,38,com.corundumstudio.socketio.parser.PayloadTest,class,1,0,7,0.33333334,0.77777785,38,0,15,0,3,3,4
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\SpringAnnotationScanner.java,com.corundumstudio.socketio.annotation.SpringAnnotationScanner$64,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,64,com.corundumstudio.socketio.annotation.SpringAnnotationScanner$64,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelTimeoutScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler$67,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,67,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler$67,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderAckPacketTest.java,com.corundumstudio.socketio.parser.EncoderAckPacketTest,0.0,0.0,6.0,0.0,0.0,-1.0,3.0,30,com.corundumstudio.socketio.parser.EncoderAckPacketTest,class,2,0,4,0.0,0.0,14,0,4,0,0,2,2
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\PingListener.java,com.corundumstudio.socketio.listener.PingListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,20,com.corundumstudio.socketio.listener.PingListener,interface,1,3,1,,0.0,3,0,0,0,0,1,1
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\AckRequest.java,com.corundumstudio.socketio.AckRequest,0.0,-1.0,6.0,2.0,0.25,-1.0,2.0,40,com.corundumstudio.socketio.AckRequest,class,1,7,4,0.5,0.5,26,0,10,0,3,4,6
