file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,0.0,-1.0,43.0,43.0,0.5,-1.0,8.0,37,retrofit.RequestBuilder,class,1,4,12,0.21428572,0.7571429,307,0,29,1,14,10,83
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler$RequestInformation,0.0,-1.0,0.0,10.0,1.0,-1.0,0.0,47,retrofit.Profiler$RequestInformation,innerclass,1,0,0,1.0,0.6666667,29,0,0,0,5,6,6
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$30Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,549,retrofit.RestMethodInfoTest$30Example,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$59Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1030,retrofit.RestMethodInfoTest$59Example,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,24,retrofit.client.Request,class,1,21,2,1.0,0.6,35,0,2,0,4,5,8
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$22Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,403,retrofit.RestMethodInfoTest$22Example,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\TestingUtils.java,retrofit.TestingUtils,0.0,-1.0,4.0,0.0,0.0,-1.0,3.0,12,retrofit.TestingUtils,class,1,4,3,0.0,0.0,20,0,9,0,0,3,6
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest$MockInvalidResponseClient,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,40,retrofit.ErrorHandlerTest$MockInvalidResponseClient,innerclass,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$43Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,766,retrofit.RestMethodInfoTest$43Example,innerclass,1,0,4,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput$MimePart,0.0,-1.0,2.0,14.0,0.875,-1.0,1.0,29,retrofit.mime.MultipartTypedOutput$MimePart,innerclass,1,0,4,1.0,0.39285713,36,0,6,0,7,4,6
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest$Helper,0.0,-1.0,33.0,19.0,0.3653846,-1.0,8.0,775,retrofit.RequestBuilderTest$Helper,innerclass,1,0,10,1.0,0.82571423,167,0,26,0,14,25,30
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Defaults.java,retrofit.client.Defaults,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3,retrofit.client.Defaults,class,1,0,0,-1.0,1.0,6,0,0,0,2,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter$JsonTypedOutput,0.0,-1.0,1.0,4.0,0.8,-1.0,1.0,86,retrofit.converter.GsonConverter$JsonTypedOutput,innerclass,1,0,2,0.3,0.5,20,0,1,0,2,5,5
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedInput.java,retrofit.mime.TypedInput,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,26,retrofit.mime.TypedInput,interface,1,24,0,0.0,0.0,5,0,0,0,0,3,3
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\EndpointsTest.java,retrofit.EndpointsTest,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,8,retrofit.EndpointsTest,class,1,0,3,0.0,0.0,11,0,6,0,0,2,2
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$6Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,154,retrofit.RestMethodInfoTest$6Example,innerclass,1,0,2,,0.0,4,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$19Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,351,retrofit.RestMethodInfoTest$19Example,innerclass,1,0,2,,0.0,4,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$5Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,142,retrofit.RestMethodInfoTest$5Example,innerclass,1,0,4,,0.0,4,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest$40Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,715,retrofit.RestMethodInfoTest$40Example,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\appengine\UrlFetchClient.java,retrofit.appengine.UrlFetchClient,0.0,-1.0,20.0,3.0,0.13043478,-1.0,7.0,22,retrofit.appengine.UrlFetchClient,class,1,4,13,0.2,0.42857143,76,0,27,0,1,7,18
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\ErrorHandler.java,retrofit.ErrorHandler,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23,retrofit.ErrorHandler,interface,1,13,2,,0.0,9,0,0,0,1,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RxSupport.java,retrofit.RxSupport$Invoker,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16,retrofit.RxSupport$Invoker,interface,1,0,2,,0.0,3,0,0,0,0,1,1
