file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\order\OrderRepository.java,com.salesmanager.core.business.repositories.order.OrderRepository,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8,com.salesmanager.core.business.repositories.order.OrderRepository,interface,1,1,4,,0.0,3,0,0,0,0,1,1
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,0.0,0.0,32.0,12.0,0.27272728,-1.0,11.0,29,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,class,2,1,19,0.5588235,0.8308823,130,0,44,0,8,17,30
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,2.0,0.18181819,7.0,2.0,0.22222222,0.0,4.0,26,com.salesmanager.core.business.services.customer.CustomerServiceImpl,class,2,1,19,0.6818182,0.7291667,61,0,19,0,4,12,17
C:\Users\syuuj\gitProject\shopizer\sm-core\src\test\java\com\salesmanager\test\content\ContentImagesTest.java,com.salesmanager.test.content.ContentImagesTest,32.0,0.0,20.0,0.0,0.0,0.0,7.0,31,com.salesmanager.test.content.ContentImagesTest,class,2,0,11,,0.0,25,0,18,0,1,1,3
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,13,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,interface,1,7,5,0.0,0.0,9,0,0,0,0,7,7
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,12,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,interface,1,3,5,0.0,0.0,9,0,0,0,0,7,7
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\configuration\ProcessorsConfiguration.java,com.salesmanager.core.business.configuration.ProcessorsConfiguration,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,31,com.salesmanager.core.business.configuration.ProcessorsConfiguration,class,1,0,7,0.0,0.9166667,19,0,1,0,3,4,4
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\impl\S3CacheManagerImpl.java,com.salesmanager.core.business.modules.cms.impl.S3CacheManagerImpl,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,10,com.salesmanager.core.business.modules.cms.impl.S3CacheManagerImpl,class,1,0,1,1.0,0.4,20,0,0,0,2,5,5
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\integration\payment\impl\BraintreePayment.java,com.salesmanager.core.business.modules.integration.payment.impl.BraintreePayment,0.0,-1.0,218.0,0.0,0.0,-1.0,13.0,30,com.salesmanager.core.business.modules.integration.payment.impl.BraintreePayment,class,1,0,15,0.0,0.0,285,0,40,0,0,6,40
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\utils\NumberUtils.java,com.salesmanager.core.business.utils.NumberUtils,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,5,com.salesmanager.core.business.utils.NumberUtils,class,1,0,0,,0.0,5,0,1,0,0,1,2
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\catalog\product\ProductRepository.java,com.salesmanager.core.business.repositories.catalog.product.ProductRepository,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8,com.salesmanager.core.business.repositories.catalog.product.ProductRepository,interface,1,1,2,-1.0,0.0,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\file\DigitalProductServiceImpl.java,com.salesmanager.core.business.services.catalog.product.file.DigitalProductServiceImpl,2.0,0.25,32.0,1.0,0.030303031,0.0,9.0,20,com.salesmanager.core.business.services.catalog.product.file.DigitalProductServiceImpl,class,2,1,16,0.4,0.53333336,60,0,22,0,3,5,10
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\shoppingcart\ShoppingCartServiceImpl.java,com.salesmanager.core.business.services.shoppingcart.ShoppingCartServiceImpl,2.0,0.071428575,93.0,8.0,0.07920792,0.0,17.0,37,com.salesmanager.core.business.services.shoppingcart.ShoppingCartServiceImpl,class,2,1,26,0.24242425,0.83809525,313,0,86,0,7,15,86
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\content\ContentRepositoryCustom.java,com.salesmanager.core.business.repositories.content.ContentRepositoryCustom,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,com.salesmanager.core.business.repositories.content.ContentRepositoryCustom,interface,1,3,4,0.0,0.0,4,0,0,0,0,2,2
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\common\generic\SalesManagerEntityService.java,com.salesmanager.core.business.services.common.generic.SalesManagerEntityService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,14,com.salesmanager.core.business.services.common.generic.SalesManagerEntityService,interface,1,78,4,0.0,0.0,10,0,0,0,0,8,8
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\search\SearchServiceImpl.java,com.salesmanager.core.business.services.search.SearchServiceImpl,0.0,-1.0,92.0,13.0,0.123809524,-1.0,20.0,39,com.salesmanager.core.business.services.search.SearchServiceImpl,class,1,1,29,1.0,0.4571429,158,0,75,0,7,5,33
