file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,"closed/2[int,java.lang.String]",0.0,1.0,1.0,0.0,37,"closed/2[int,java.lang.String]",0,0,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,connected/1[org.eclipse.jetty.websocket.api.Session],0.0,1.0,1.0,0.0,32,connected/1[spark.examples.websocket.Session],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\websocket\EchoWebSocket.java,spark.examples.websocket.EchoWebSocket,message/1[java.lang.String],1.0,0.0,0.0,1.0,42,message/1[java.lang.String],0,0,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"create/4[java.lang.String,java.lang.String,spark.TemplateViewRoute,spark.TemplateEngine]",0.0,0.0,-1.0,0.0,53,"create/4[java.lang.String,java.lang.String,spark.TemplateViewRoute,spark.TemplateEngine]",10,1,1,11,1,0,4,0,1,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"create/3[java.lang.String,spark.TemplateViewRoute,spark.TemplateEngine]",1.0,0.0,0.0,1.0,37,"create/3[java.lang.String,spark.TemplateViewRoute,spark.TemplateEngine]",9,1,1,3,1,0,3,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"modelAndView/2[java.lang.Object,java.lang.String]",0.0,0.0,-1.0,0.0,96,"modelAndView/2[java.lang.Object,java.lang.String]",0,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,render/1[java.lang.Object],0.0,0.0,-1.0,0.0,84,render/1[java.lang.Object],0,1,1,4,1,1,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,render/1[spark.ModelAndView],0.0,0.0,-1.0,0.0,106,render/1[spark.ModelAndView],1,0,1,1,0,0,1,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,"TemplateViewRouteImpl/3[java.lang.String,java.lang.String,spark.TemplateViewRoute]",0.0,0.0,-1.0,0.0,78,"TemplateViewRouteImpl/3[java.lang.String,java.lang.String,spark.TemplateViewRoute]",0,0,1,3,0,0,3,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,setup/0,2.0,6.0,0.75,1.0,34,setup/0,0,7,2,18,1,6,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,tearDown/0,0.0,0.0,-1.0,0.0,29,tearDown/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomInternal/0,3.0,2.0,0.4,2.0,71,testCustomInternal/0,0,1,1,6,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomInternalFailingRoute/0,3.0,1.0,0.25,2.0,79,testCustomInternalFailingRoute/0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testCustomNotFound/0,2.0,1.0,0.33333334,1.0,64,testCustomNotFound/0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,testGetHi/0,2.0,1.0,0.33333334,1.0,57,testGetHi/0,0,1,1,5,0,1,0,0,0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Session.java,spark.Session,attribute/1[java.lang.String],1.0,0.0,0.0,1.0,48,attribute/1[java.lang.String],3,0,1,3,1,0,1,0,0,0
