file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\buffer\BufferTest.java,io.vertx.core.buffer.BufferTest,class,1,1,10,0.013023494,0.9166667,884,0,119,0,3,112,174,0.0,-1.0,268.0,41.0,0.13268608,-1.0,9.0,36,1.0,1.0,10.0,0.013023494,0.9166667,884.0,0.0,119.0,0.0,3.0,112.0,174.0,0.0,-1.0,268.0,41.0,0.13268608,-1.0,9.0,36.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\http\impl\HttpUtils.java,io.vertx.core.http.impl.HttpUtils$145,anonymous,1,0,1,0.0,0.0,17,0,0,0,0,3,5,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,145,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,145.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\shareddata\ClusteredSharedCounterTest.java,io.vertx.core.shareddata.ClusteredSharedCounterTest,class,3,1,8,0.16666667,0.375,37,0,16,0,2,4,5,78.0,0.75,3.0,8.0,0.72727275,0.08974359,2.0,25,3.0,1.0,8.0,0.16666667,0.375,37.0,0.0,16.0,0.0,2.0,4.0,5.0,78.0,0.75,3.0,8.0,0.72727275,0.08974359,2.0,25.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\http\impl\Http2ServerConnection.java,io.vertx.core.http.impl.Http2ServerConnection$154,anonymous,1,0,6,,0.0,25,0,12,0,0,1,3,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,154,1.0,0.0,6.0,,0.0,25.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,154.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\streams\WriteStreamTest.java,io.vertx.core.streams.WriteStreamTest$StreamBase,innerclass,1,0,7,0.0,0.0,32,0,1,0,0,10,10,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25,1.0,0.0,7.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\cli\converters\CustomConverterTest.java,io.vertx.core.cli.converters.CustomConverterTest,class,1,0,3,0.0,0.0,11,0,5,0,0,2,2,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,19,1.0,0.0,3.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,19.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\ProxyFilter.java,io.vertx.core.net.impl.ProxyFilter,interface,1,2,2,,1.0,35,0,12,0,1,1,7,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25,1.0,2.0,2.0,,1.0,35.0,0.0,12.0,0.0,1.0,1.0,7.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,25.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\spi\tracing\LocalEventBusTracerTest.java,io.vertx.core.spi.tracing.LocalEventBusTracerTest,class,3,0,8,0.0,0.0,33,0,18,0,0,2,2,77.0,0.5,5.0,5.0,0.5,0.064935066,3.0,20,3.0,0.0,8.0,0.0,0.0,33.0,0.0,18.0,0.0,0.0,2.0,2.0,77.0,0.5,5.0,5.0,0.5,0.064935066,3.0,20.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\DeploymentTest.java,io.vertx.core.DeploymentTest$1598,anonymous,1,0,0,,0.0,9,0,3,0,0,1,2,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,1598,1.0,0.0,0.0,,0.0,9.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,1598.0
C:\Users\syuuj\gitProject\vert.x\src\test\java\io\vertx\core\eventbus\ClusterHostTest.java,io.vertx.core.eventbus.ClusterHostTest$61,anonymous,1,0,0,0.0,0.0,8,0,0,0,0,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,61,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,61.0
