file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,class,6,5,21,0.0,0.72727275,264,0,93,0,11,6,27,0.0,0.0,233.0,21.0,0.08267716,-1.0,36.0,49,6.0,5.0,21.0,0.0,0.72727275,264.0,0.0,93.0,0.0,11.0,6.0,27.0,0.0,0.0,234.0,21.0,0.08235294,-1.0,37.0,49.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SettingsPage.java,xdman.ui.components.SettingsPage$243,anonymous,1,0,1,,0.0,23,0,6,0,0,1,7,0.0,0.0,12.0,0.0,0.0,-1.0,1.0,243,,,,,,,,,,,,,,,,,,,,
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\CustomButton.java,xdman.ui.components.CustomButton,class,6,26,2,0.21978022,0.7733334,71,0,7,0,3,15,19,0.0,0.0,6.0,17.0,0.73913044,-1.0,3.0,10,6.0,26.0,2.0,0.21978022,0.7733334,71.0,0.0,7.0,0.0,3.0,15.0,19.0,0.0,0.0,6.0,17.0,0.73913044,-1.0,3.0,10.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoConversionWnd.java,xdman.ui.components.VideoConversionWnd$644,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,644,1.0,0.0,1.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,644.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\monitoring\ParsedHookData.java,xdman.monitoring.ParsedHookData,class,1,7,7,0.33918127,0.8677249,172,0,32,0,8,21,48,0.0,-1.0,12.0,32.0,0.72727275,-1.0,6.0,15,1.0,7.0,7.0,0.33918127,0.8677249,172.0,0.0,32.0,0.0,8.0,21.0,48.0,0.0,-1.0,12.0,32.0,0.72727275,-1.0,6.0,15.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SimpleCheckboxRender.java,xdman.ui.components.SimpleCheckboxRender,class,7,2,6,0.0,1.0,25,0,16,0,1,2,5,0.0,0.0,22.0,0.0,0.0,-1.0,8.0,13,7.0,2.0,6.0,0.0,1.0,25.0,0.0,16.0,0.0,1.0,2.0,5.0,0.0,0.0,22.0,0.0,0.0,-1.0,8.0,13.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\RefreshUrlPage.java,xdman.ui.components.RefreshUrlPage$106,anonymous,1,0,4,,0.0,7,0,5,0,0,1,3,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,106,,,,,,,,,,,,,,,,,,,,
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\util\UpdateChecker.java,xdman.util.UpdateChecker$74,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,74,1.0,0.0,0.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,74.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\downloaders\dash\DashDownloader.java,xdman.downloaders.dash.DashDownloader$622,anonymous,1,0,4,,0.0,22,0,6,0,0,1,4,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0,622,1.0,0.0,4.0,,0.0,22.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0,622.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\SpeedLimiter.java,xdman.ui.components.SpeedLimiter,class,1,2,3,,0.0,28,0,7,0,0,1,6,0.0,-1.0,10.0,0.0,0.0,-1.0,5.0,9,1.0,2.0,3.0,,0.0,28.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,-1.0,10.0,0.0,0.0,-1.0,5.0,9.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFileChooser.java,xdman.ui.components.XDMFileChooser,class,1,3,0,,0.0,18,0,3,0,1,1,4,0.0,-1.0,4.0,3.0,0.42857143,-1.0,1.0,7,1.0,3.0,0.0,,0.0,18.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,-1.0,4.0,3.0,0.42857143,-1.0,1.0,7.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaDownloaderWnd.java,xdman.ui.components.MediaDownloaderWnd$467$481,anonymous,1,0,5,,0.0,18,0,7,0,0,1,4,0.0,-1.0,8.0,0.0,0.0,-1.0,5.0,481,1.0,0.0,5.0,,0.0,18.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0,-1.0,8.0,0.0,0.0,-1.0,5.0,481.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFrame.java,xdman.ui.components.XDMFrame,class,7,8,10,0.27941176,0.93031377,346,1,52,2,19,21,35,0.0,0.0,131.0,48.0,0.26815644,-1.0,18.0,47,7.0,8.0,10.0,0.27941176,0.9291821,316.0,1.0,52.0,1.0,17.0,21.0,35.0,0.0,0.0,131.0,48.0,0.26815644,-1.0,18.0,39.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$MsgBoxFocusTraversalPolicy,innerclass,2,0,0,1.0,0.0,27,0,5,0,1,6,7,0.0,0.0,4.0,1.0,0.2,-1.0,1.0,288,2.0,0.0,0.0,1.0,0.0,27.0,0.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,4.0,1.0,0.2,-1.0,1.0,279.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\QueuedItemsRenderer.java,xdman.ui.components.QueuedItemsRenderer,class,5,2,7,0.0,1.0,28,0,16,0,1,2,5,0.0,0.0,20.0,0.0,0.0,-1.0,8.0,18,5.0,2.0,7.0,0.0,1.0,28.0,0.0,16.0,0.0,1.0,2.0,5.0,0.0,0.0,20.0,0.0,0.0,-1.0,8.0,18.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\MonitoringListener.java,xdman.MonitoringListener,interface,1,3,0,,0.0,3,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3,1.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3.0
