file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,poll/1[java.util.concurrent.BlockingQueue],1.0,1.0,0.5,1.0,67,poll/1[java.util.concurrent.BlockingQueue],1,0,2,11,1,1,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,testBasicUsageOfApisAndRecipes/0,2.0,0.0,0.0,2.0,41,testBasicUsageOfApisAndRecipes/0,0,1,1,22,0,8,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain$Cmd,"Cmd/3[java.lang.String,java.lang.String,java.lang.String]",0.0,3.0,1.0,0.0,44,"Cmd/3[java.lang.String,java.lang.String,java.lang.String]",1,0,1,5,0,0,3,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,doHelp/0,2.0,1.0,0.33333334,2.0,114,doHelp/0,1,0,3,14,0,1,0,1,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,main/1[java.lang.String[]],11.0,0.0,0.0,5.0,67,main/1[java.lang.String[]],0,2,11,46,2,8,1,1,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\SymbolArg.java,org.apache.zookeeper.graph.filterops.SymbolArg,SymbolArg/1[java.lang.String],1.0,1.0,0.5,1.0,23,SymbolArg/1[java.lang.String],1,0,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getEntry/0,1.0,0.0,0.0,1.0,27,getEntry/0,2,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getNode/0,1.0,0.0,0.0,1.0,35,getNode/0,2,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getType/0,1.0,0.0,0.0,1.0,39,getType/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,toString/0,1.0,2.0,0.6666667,1.0,31,toString/0,0,3,1,3,1,0,0,0,0,0
