file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,PostgresWorkerThread/1[com.zaxxer.hikari.HikariDataSource],1,0,1,5,0,0,1,0,0,0,154,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,PostgresWorkerThread/1[com.zaxxer.hikari.HikariDataSource],5.0,1.0,0.16666667,4.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,run/0,0,2,3,12,0,1,0,1,0,0,165,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,run/0,3.0,1.0,0.25,3.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,requestStop/0,1,0,1,4,0,0,0,0,0,0,160,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,requestStop/0,2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,getErrorCount/0,1,0,1,3,1,0,0,0,0,0,177,com.zaxxer.hikari.pool.PostgresTest$PostgresWorkerThread,getErrorCount/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setLoginTimeout/1[int],0,0,1,3,0,0,1,0,0,0,92,com.zaxxer.hikari.mocks.StubDataSource,setLoginTimeout/1[int],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setThrowException/1[java.sql.SQLException],6,0,1,3,0,0,1,0,0,0,149,com.zaxxer.hikari.mocks.StubDataSource,setThrowException/1[java.sql.SQLException],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setConnectionAcquistionTime/1[long],2,0,1,3,0,0,1,0,0,0,154,com.zaxxer.hikari.mocks.StubDataSource,setConnectionAcquistionTime/1[long],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setUser/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,48,com.zaxxer.hikari.mocks.StubDataSource,setUser/1[java.lang.String],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getPassword/0,0,0,1,3,1,0,0,0,0,0,53,com.zaxxer.hikari.mocks.StubDataSource,getPassword/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getConnection/0,0,2,3,9,1,0,0,0,0,0,131,com.zaxxer.hikari.mocks.StubDataSource,getConnection/0,0.0,5.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setPassword/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,58,com.zaxxer.hikari.mocks.StubDataSource,setPassword/1[java.lang.String],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,isWrapperFor/1[java.lang.Class],0,0,1,3,1,0,1,0,0,0,124,com.zaxxer.hikari.mocks.StubDataSource,isWrapperFor/1[java.lang.Class],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getLogWriter/0,0,0,1,3,1,0,0,0,0,0,78,com.zaxxer.hikari.mocks.StubDataSource,getLogWriter/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setURL/1[java.lang.String],0,0,1,2,0,0,1,0,0,0,71,com.zaxxer.hikari.mocks.StubDataSource,setURL/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getUser/0,0,0,1,3,1,0,0,0,0,0,43,com.zaxxer.hikari.mocks.StubDataSource,getUser/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getWaitTimeout/0,0,0,1,3,1,0,0,0,0,0,63,com.zaxxer.hikari.mocks.StubDataSource,getWaitTimeout/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,unwrap/1[java.lang.Class],0,0,2,6,1,0,1,0,0,0,113,com.zaxxer.hikari.mocks.StubDataSource,unwrap/1[java.lang.Class],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getLoginTimeout/0,0,0,1,3,1,0,0,0,0,0,99,com.zaxxer.hikari.mocks.StubDataSource,getLoginTimeout/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setWaitTimeout/1[int],2,0,1,3,0,0,1,0,0,0,67,com.zaxxer.hikari.mocks.StubDataSource,setWaitTimeout/1[int],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,"getConnection/2[java.lang.String,java.lang.String]",0,1,1,3,1,0,2,0,0,0,144,com.zaxxer.hikari.mocks.StubDataSource,"getConnection/2[java.lang.String,java.lang.String]",0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getParentLogger/0,0,0,1,3,1,0,0,0,0,0,105,com.zaxxer.hikari.mocks.StubDataSource,getParentLogger/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setLogWriter/1[java.io.PrintWriter],0,0,1,3,0,0,1,0,0,0,85,com.zaxxer.hikari.mocks.StubDataSource,setLogWriter/1[java.io.PrintWriter],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java,com.zaxxer.hikari.pool.TestConnections$OverrideHandler,adjudicate/1[java.sql.SQLException],0,0,2,3,1,0,1,0,0,0,907,com.zaxxer.hikari.pool.TestConnections$OverrideHandler,adjudicate/1[java.sql.SQLException],3.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\util\ClockSourceTest.java,com.zaxxer.hikari.util.ClockSourceTest,testClockSourceDisplay/0,0,3,1,15,0,10,0,0,0,0,37,com.zaxxer.hikari.util.ClockSourceTest,testClockSourceDisplay/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,"setTargetFromProperties/2[java.lang.Object,java.util.Properties]",9,2,5,15,1,3,2,0,0,0,47,com.zaxxer.hikari.util.PropertyElf,"setTargetFromProperties/2[java.lang.Object,java.util.Properties]",2.0,1.0,0.33333334,2.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,"getProperty/2[java.lang.String,java.lang.Object]",1,0,3,17,3,4,2,0,0,0,93,com.zaxxer.hikari.util.PropertyElf,"getProperty/2[java.lang.String,java.lang.Object]",6.0,0.0,0.0,3.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,copyProperties/1[java.util.Properties],1,0,1,5,1,3,1,0,0,0,113,com.zaxxer.hikari.util.PropertyElf,copyProperties/1[java.util.Properties],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,getPropertyNames/1[java.lang.Class],3,0,6,19,1,3,1,1,0,0,70,com.zaxxer.hikari.util.PropertyElf,getPropertyNames/1[java.lang.Class],5.0,0.0,0.0,3.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,PropertyElf/0,0,0,1,2,0,0,0,0,0,0,43,com.zaxxer.hikari.util.PropertyElf,PropertyElf/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java,com.zaxxer.hikari.util.PropertyElf,"setProperty/4[java.lang.Object,java.lang.String,java.lang.Object,java.util.List]",1,0,12,45,0,7,4,0,0,0,120,com.zaxxer.hikari.util.PropertyElf,"setProperty/4[java.lang.Object,java.lang.String,java.lang.Object,java.util.List]",18.0,1.0,0.05263158,11.0
