,class,RefusedBequest
0,com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread,0
1,com.zaxxer.hikari.mocks.StubDataSource,0
2,com.zaxxer.hikari.pool.TestConnections.OverrideHandler,0
3,com.zaxxer.hikari.util.ClockSourceTest,0
4,com.zaxxer.hikari.util.PropertyElf,0
5,com.zaxxer.hikari.pool.ConcurrentCloseConnectionTest,0
6,com.zaxxer.hikari.pool.PoolBase.NopMetricsTrackerDelegate,0
7,com.zaxxer.hikari.util.TestFastList.Base,0
8,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactory,0
9,com.zaxxer.hikari.pool.IsolationTest,0
10,com.zaxxer.hikari.pool.ShutdownTest,0
11,com.zaxxer.hikari.mocks.StubPoolStats,0
12,com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTracker,0
13,com.zaxxer.hikari.util.TestFastList.Base2,0
14,com.zaxxer.hikari.pool.ProxyPreparedStatement,0
15,com.zaxxer.hikari.pool.ConcurrentCloseConnectionTest.1,0
16,com.zaxxer.hikari.mocks.StubResultSet,0
17,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactoryTest,0
18,com.zaxxer.hikari.pool.PostgresTest,0
19,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest.Counts,0
20,com.zaxxer.hikari.pool.TestIsRunning,0
21,com.zaxxer.hikari.pool.TestConnectionCloseBlocking,0
22,com.zaxxer.hikari.pool.MetricsTrackerTest.StubMetricsTracker,0
23,com.zaxxer.hikari.mocks.TestObject,0
24,com.zaxxer.hikari.pool.ProxyConnection.ClosedConnection,0
25,com.zaxxer.hikari.pool.ConnectionPoolSizeVsThreadsTest,0
26,com.zaxxer.hikari.mocks.MockDataSource.1,0
27,com.zaxxer.hikari.HikariDataSource,0
28,com.zaxxer.hikari.pool.HikariPool.HouseKeeper,0
29,com.zaxxer.hikari.pool.TestSaturatedPool830,0
30,com.zaxxer.hikari.pool.TestValidation,0
31,com.zaxxer.hikari.pool.HikariPool,0
32,com.zaxxer.hikari.pool.ProxyResultSet,0
33,com.zaxxer.hikari.mocks.MockDataSource,0
34,com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTrackerTest,0
35,com.zaxxer.hikari.pool.TestConnections.StubDataSourceWithErrorSwitch,0
36,com.zaxxer.hikari.HikariConfigMXBean,0
37,com.zaxxer.hikari.util.SuspendResumeLock.1,0
38,com.zaxxer.hikari.util.UtilityElf,0
39,com.zaxxer.hikari.pool.PoolBase.IMetricsTrackerDelegate,0
40,com.zaxxer.hikari.metrics.micrometer.MicrometerMetricsTracker,0
41,com.zaxxer.hikari.pool.HikariPool.PoolInitializationException,0
42,com.zaxxer.hikari.pool.ProxyCallableStatement,0
43,com.zaxxer.hikari.metrics.PoolStats,0
44,com.zaxxer.hikari.util.ClockSource,0
45,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,0
46,com.zaxxer.hikari.pool.JdbcDriverTest,0
47,com.zaxxer.hikari.osgi.OSGiBundleTest,0
48,com.zaxxer.hikari.pool.TestConnections,0
49,com.zaxxer.hikari.util.TomcatConcurrentBagLeakTest,0
50,com.zaxxer.hikari.pool.ProxyLeakTaskFactory,0
51,com.zaxxer.hikari.pool.RampUpDown,0
52,com.zaxxer.hikari.metrics.dropwizard.CodahaleMetricsTrackerFactory,0
53,com.zaxxer.hikari.util.DriverDataSource,0
54,com.zaxxer.hikari.util.TomcatConcurrentBagLeakTest.PoolEntry,0
55,com.zaxxer.hikari.pool.PoolBase,0
56,com.zaxxer.hikari.pool.HikariPool.PoolEntryCreator,0
57,com.zaxxer.hikari.util.TestFastList.1Foo,0
58,com.zaxxer.hikari.pool.TestConcurrentBag,0
59,com.zaxxer.hikari.pool.TestJNDI,0
60,com.zaxxer.hikari.pool.PoolEntry,0
61,com.zaxxer.hikari.pool.TestMetrics.3,0
62,com.zaxxer.hikari.util.PropertyElfTest,0
63,com.zaxxer.hikari.pool.TestMetrics.2,0
64,com.zaxxer.hikari.pool.TestMetrics.1,0
65,com.zaxxer.hikari.metrics.dropwizard.CodaHaleMetricsTrackerTest,0
66,com.zaxxer.hikari.mocks.StubConnection,0
67,com.zaxxer.hikari.pool.PoolBase.SynchronousExecutor,0
68,com.zaxxer.hikari.mocks.StubDriver,0
69,com.zaxxer.hikari.hibernate.HikariConnectionProvider,0
70,com.zaxxer.hikari.pool.ProxyDatabaseMetaData,0
71,com.zaxxer.hikari.datasource.TestSealedConfig,0
72,com.zaxxer.hikari.util.FastList,0
73,com.zaxxer.hikari.metrics.micrometer.MicrometerMetricsTrackerTest,0
74,com.zaxxer.hikari.pool.PoolBase.ConnectionSetupException,0
75,com.zaxxer.hikari.mocks.StubPreparedStatement,0
76,com.zaxxer.hikari.util.JavassistProxyFactory,0
77,com.zaxxer.hikari.pool.HikariPool.KeepaliveTask,0
78,com.zaxxer.hikari.pool.HikariPool.MaxLifetimeTask,0
79,com.zaxxer.hikari.pool.TestConnectionCloseBlocking.CustomMockDataSource.1,0
80,com.zaxxer.hikari.pool.HouseKeeperCleanupTest,0
81,com.zaxxer.hikari.pool.MetricsTrackerTest,0
82,com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker.Connection99Percent,0
83,com.zaxxer.hikari.pool.ProxyStatement,0
