file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread,PostgresWorkerThread/1[com.zaxxer.hikari.HikariDataSource],1,0,1,5,0,0,1,0,0,0,5.0,1.0,0.16666667,4.0,154,1,0,1,5,0,0,1,0,0,0,5.0,1.0,0.16666667,4.0,154
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread,run/0,0,2,3,12,0,1,0,1,0,0,3.0,1.0,0.25,3.0,165,0,2,3,12,0,1,0,1,0,0,3.0,1.0,0.25,3.0,165
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread,requestStop/0,1,0,1,4,0,0,0,0,0,0,2.0,0.0,0.0,2.0,160,1,0,1,4,0,0,0,0,0,0,2.0,0.0,0.0,2.0,160
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread,getErrorCount/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,177,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,177
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setLoginTimeout/1[int],0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,92,0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,92
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setThrowException/1[java.sql.SQLException],6,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,149,6,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,149
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setConnectionAcquistionTime/1[long],2,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,154,2,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,154
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setUser/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,48,0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,48
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getPassword/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,53,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,53
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getConnection/0,0,2,3,9,1,0,0,0,0,0,0.0,5.0,1.0,0.0,131,0,2,3,9,1,0,0,0,0,0,0.0,5.0,1.0,0.0,131
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setPassword/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,58,0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,58
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,isWrapperFor/1[java.lang.Class],0,0,1,3,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,124,0,0,1,3,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,124
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getLogWriter/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,78,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,78
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,setURL/1[java.lang.String],0,0,1,2,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,71,0,0,1,2,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,71
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getUser/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,43,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,43
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getWaitTimeout/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,63,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,63
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,unwrap/1[java.lang.Class],0,0,2,6,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,113,0,0,2,6,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,113
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubDataSource.java,com.zaxxer.hikari.mocks.StubDataSource,getLoginTimeout/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,99,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,99
