file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,run/0,0,1,1,8,1,0,0,0,0,0,41,org.wltea.analyzer.dic.Monitor,run/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,1,2,14,40,0,3,0,0,0,0,58,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,36.0,11.0,0.2972973,9.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,Monitor/1[java.lang.String],1,0,1,5,0,0,1,0,0,0,35,org.wltea.analyzer.dic.Monitor,Monitor/1[java.lang.String],0.0,3.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,1,3,1,5,0,0,0,0,0,0,64,org.wltea.analyzer.core.IKSegmenter,init/0,0.0,4.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],1,2,2,7,0,0,1,1,0,0,140,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,loadSegmenters/0,1,3,1,7,1,1,0,0,0,0,77,org.wltea.analyzer.core.IKSegmenter,loadSegmenters/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,1,12,7,29,2,2,0,4,0,0,93,org.wltea.analyzer.core.IKSegmenter,next/0,1.0,5.0,0.8333333,1.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",1,1,1,5,0,0,2,0,0,0,54,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputToResult/0,1,4,7,28,0,3,0,3,0,0,255,org.wltea.analyzer.core.AnalyzeContext,outputToResult/0,5.0,2.0,0.2857143,3.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,1,6,3,14,1,1,0,1,0,0,319,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,6.0,2.0,0.25,2.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,markBufferOffset/0,1,0,1,3,0,0,0,0,0,0,217,org.wltea.analyzer.core.AnalyzeContext,markBufferOffset/0,0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,unlockBuffer/1[java.lang.String],3,0,1,3,0,0,1,0,0,0,175,org.wltea.analyzer.core.AnalyzeContext,unlockBuffer/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getCurrentChar/0,3,0,1,3,1,0,0,0,0,0,97,org.wltea.analyzer.core.AnalyzeContext,getCurrentChar/0,0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,1,3,1,5,0,0,0,0,0,0,140,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,0.0,9.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],1,1,3,10,0,2,1,0,0,0,303,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],4.0,4.0,0.5,2.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,1,3,2,11,2,0,0,0,0,0,151,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,0.0,11.0,1.0,0.0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,lockBuffer/1[java.lang.String],3,0,1,3,0,0,1,0,0,0,167,org.wltea.analyzer.core.AnalyzeContext,lockBuffer/1[java.lang.String],0.0,0.0,-1.0,0.0
