file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,class,1,2,8,0.33333334,0.4666667,60,0,25,0,5,3,16,0.0,-1.0,36.0,14.0,0.28,-1.0,9.0,16,1,2,8,0.33333334,0.4666667,60,0,25,0,5,3,16,0.0,-1.0,36.0,14.0,0.28,-1.0,9.0,16,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,class,1,2,9,1.0,0.4,60,0,15,0,5,5,12,0.0,-1.0,1.0,13.0,0.9285714,-1.0,1.0,37,1,2,9,1.0,0.4,60,0,15,0,5,5,12,0.0,-1.0,1.0,13.0,0.9285714,-1.0,1.0,37,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,class,1,7,9,1.0,0.76811594,193,0,33,0,12,23,52,0.0,-1.0,29.0,75.0,0.72115386,-1.0,5.0,43,1,7,9,1.0,0.76811594,200,0,34,0,12,23,55,0.0,-1.0,31.0,75.0,0.7075472,-1.0,5.0,43,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,class,1,4,1,0.27272728,0.78571427,45,0,0,0,7,12,15,0.0,-1.0,0.0,20.0,1.0,-1.0,0.0,31,1,4,1,0.27272728,0.78571427,45,0,0,0,7,12,15,0.0,-1.0,0.0,20.0,1.0,-1.0,0.0,31,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\CharacterUtil.java,org.wltea.analyzer.core.CharacterUtil,class,1,1,0,0.0,0.5,37,0,1,0,5,2,24,0.0,-1.0,10.0,5.0,0.33333334,-1.0,1.0,32,1,1,0,0.0,0.5,37,0,1,0,5,2,24,0.0,-1.0,10.0,5.0,0.33333334,-1.0,1.0,32,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java,org.elasticsearch.index.analysis.IkAnalyzerProvider,class,2,1,7,0.16666667,0.5,17,0,1,0,1,4,4,0.0,0.0,1.0,2.0,0.6666667,-1.0,1.0,9,2,1,7,0.16666667,0.5,17,0,1,0,1,4,4,0.0,0.0,1.0,2.0,0.6666667,-1.0,1.0,9,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,class,1,4,2,1.0,0.44444445,134,1,1,1,3,9,24,0.0,-1.0,18.0,32.0,0.64,-1.0,1.0,30,1,4,2,1.0,0.44444445,134,1,1,1,3,9,24,0.0,-1.0,18.0,32.0,0.64,-1.0,1.0,30,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,class,1,8,6,0.75,0.725,37,0,9,0,5,8,8,0.0,-1.0,9.0,11.0,0.55,-1.0,7.0,16,1,8,6,0.75,0.725,37,0,9,0,5,8,8,0.0,-1.0,9.0,11.0,0.55,-1.0,7.0,16,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,class,2,1,8,0.3,0.4,20,0,2,0,1,5,5,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,10,2,1,8,0.3,0.4,20,0,2,0,1,5,5,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,10,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,innerclass,1,0,2,0.3,0.6666667,23,0,1,0,3,5,6,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,211,1,0,2,0.3,0.6666667,23,0,1,0,3,5,6,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,211,0
