file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,run/0,0,1,1,8,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,41,0,1,1,8,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,41
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,1,2,14,40,0,3,0,0,0,0,36.0,11.0,0.2972973,9.0,58,1,2,14,40,0,3,0,0,0,0,36.0,11.0,0.2972973,9.0,58
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,Monitor/1[java.lang.String],1,0,1,5,0,0,1,0,0,0,0.0,3.0,1.0,0.0,35,1,0,1,5,0,0,1,0,0,0,0.0,3.0,1.0,0.0,35
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,1,3,1,5,0,0,0,0,0,0,0.0,4.0,1.0,0.0,64,1,3,1,5,0,0,0,0,0,0,0.0,4.0,1.0,0.0,64
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],1,2,2,7,0,0,1,1,0,0,0.0,2.0,1.0,0.0,140,1,2,2,7,0,0,1,1,0,0,0.0,2.0,1.0,0.0,140
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,loadSegmenters/0,1,3,1,7,1,1,0,0,0,0,0.0,0.0,-1.0,0.0,77,1,3,1,7,1,1,0,0,0,0,0.0,0.0,-1.0,0.0,77
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,1,12,7,29,2,2,0,4,0,0,1.0,5.0,0.8333333,1.0,93,1,12,7,29,2,2,0,4,0,0,1.0,5.0,0.8333333,1.0,93
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",1,1,1,5,0,0,2,0,0,0,0.0,2.0,1.0,0.0,54,1,1,1,5,0,0,2,0,0,0,0.0,2.0,1.0,0.0,54
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputToResult/0,1,4,7,28,0,3,0,3,0,0,5.0,2.0,0.2857143,3.0,255,1,5,10,35,0,5,0,4,0,0,7.0,2.0,0.22222222,3.0,255
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,1,6,3,14,1,1,0,1,0,0,6.0,2.0,0.25,2.0,319,1,6,3,14,1,1,0,1,0,0,6.0,2.0,0.25,2.0,319
