file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.db2.ui\src\org\jkiss\dbeaver\ext\db2\ui\internal\DB2Messages.java,org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages,23,class,2,1,2,,0.011494253,94,0,1,0,87,1,2,org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.generic\src\org\jkiss\dbeaver\ext\generic\model\GenericView.java,org.jkiss.dbeaver.ext.generic.model.GenericView,37,class,3,17,12,0.4,0.6666667,29,3,7,0,2,6,9,org.jkiss.dbeaver.ext.generic.model.GenericView,1.0,0.4,8.0,7.0,0.46666667,0.0,5.0
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap$Values,751,innerclass,2,0,2,0.0,0.0,14,0,3,0,0,4,4,org.jkiss.utils.IntKeyMap$Values,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.data\src\org\jkiss\dbeaver\ui\data\managers\DateTimeValueManager.java,org.jkiss.dbeaver.ui.data.managers.DateTimeValueManager,33,class,2,1,11,0.0,1.0,20,0,3,0,1,3,6,org.jkiss.dbeaver.ui.data.managers.DateTimeValueManager,0.0,0.33333334,7.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.mysql.ui\src\org\jkiss\dbeaver\ext\mysql\ui\config\UserPropertyHandler.java,org.jkiss.dbeaver.ext.mysql.ui.config.UserPropertyHandler,28,enum,1,1,4,0.0,0.0,18,0,5,0,0,3,6,org.jkiss.dbeaver.ext.mysql.ui.config.UserPropertyHandler,0.0,0.0,2.0,3.0,0.6,-1.0,1.0
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap$ValueIterator,640,innerclass,2,0,2,,0.0,5,0,1,0,0,1,1,org.jkiss.utils.LongKeyMap$ValueIterator,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.model\src\org\jkiss\dbeaver\model\connection\DBPDriver.java,org.jkiss.dbeaver.model.connection.DBPDriver,37,interface,1,8,14,0.0,0.0,53,0,0,0,0,51,51,org.jkiss.dbeaver.model.connection.DBPDriver,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.net.ssh.ui\src\org\jkiss\dbeaver\ui\net\ssh\jsch\JSCHUIPromptProvider.java,org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider,11,class,2,2,6,,0.0,40,0,0,1,0,1,1,org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.dashboard\src\org\jkiss\dbeaver\ui\dashboard\view\DashboardViewConfigDialog.java,org.jkiss.dbeaver.ui.dashboard.view.DashboardViewConfigDialog,31,class,3,1,11,0.2,0.5,52,0,16,0,1,6,6,org.jkiss.dbeaver.ui.dashboard.view.DashboardViewConfigDialog,0.0,0.0,22.0,1.0,0.04347826,-1.0,8.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.sql\src\org\jkiss\dbeaver\ui\editors\sql\plan\registry\SQLPlanViewRegistry.java,org.jkiss.dbeaver.ui.editors.sql.plan.registry.SQLPlanViewRegistry,33,class,1,2,6,0.33333334,0.5625,34,0,8,0,4,4,9,org.jkiss.dbeaver.ui.editors.sql.plan.registry.SQLPlanViewRegistry,0.0,-1.0,4.0,6.0,0.6,-1.0,4.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.mysql\src\org\jkiss\dbeaver\ext\mysql\model\plan\MySQLPlanAnalyser.java,org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanAnalyser$1,89,anonymous,1,0,7,0.0,0.0,29,0,17,0,0,2,6,org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanAnalyser$89,0.0,0.0,14.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.model\src\org\jkiss\dbeaver\model\impl\sql\edit\SQLObjectEditor.java,org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor$RefreshObjectReflector,600,innerclass,1,0,2,0.0,0.0,8,0,3,0,0,2,2,org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor$RefreshObjectReflector,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\DBeaverPreferences.java,org.jkiss.dbeaver.DBeaverPreferences,25,class,1,0,0,-1.0,,22,0,0,0,20,0,0,org.jkiss.dbeaver.DBeaverPreferences,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui\src\org\jkiss\dbeaver\ui\controls\folders\TabbedFolderList.java,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList$TopNavigationElement,285,innerclass,2,0,7,,0.0,55,0,11,0,0,2,4,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList$TopNavigationElement,0.0,0.0,41.0,0.0,0.0,-1.0,7.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui\src\org\jkiss\dbeaver\ui\controls\StringEditorTable.java,org.jkiss.dbeaver.ui.controls.StringEditorTable,43,class,1,1,15,0.0,0.0,116,0,19,0,0,3,8,org.jkiss.dbeaver.ui.controls.StringEditorTable,0.0,-1.0,59.0,0.0,0.0,-1.0,13.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.model\src\org\jkiss\dbeaver\model\impl\SimpleExclusiveLock.java,org.jkiss.dbeaver.model.impl.SimpleExclusiveLock$Lock,34,innerclass,1,0,0,-1.0,,4,0,0,0,2,0,0,org.jkiss.dbeaver.model.impl.SimpleExclusiveLock$Lock,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.phoenix\src\org\jkiss\dbeaver\ext\phoenix\model\PhoenixDataSource.java,org.jkiss.dbeaver.ext.phoenix.model.PhoenixDataSource,25,class,2,1,5,,0.0,5,0,0,0,0,1,1,org.jkiss.dbeaver.ext.phoenix.model.PhoenixDataSource,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.sql\src\org\jkiss\dbeaver\ui\editors\sql\handlers\SQLEditorHandlerOpenObjectConsole.java,org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenObjectConsole,53,class,2,2,20,0.0,0.6666667,77,1,30,0,2,3,13,org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenObjectConsole,0.0,0.0,19.0,1.0,0.05,-1.0,15.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.model\src\org\jkiss\dbeaver\model\sql\SQLDialect.java,org.jkiss.dbeaver.model.sql.SQLDialect$MultiValueInsertMode,51,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,org.jkiss.dbeaver.model.sql.SQLDialect$MultiValueInsertMode,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.hana.ui\src\org\jkiss\dbeaver\ext\hana\ui\internal\HANAEdition.java,org.jkiss.dbeaver.ext.hana.ui.internal.HANAEdition,19,enum,1,2,1,1.0,0.25,24,0,4,0,1,4,8,org.jkiss.dbeaver.ext.hana.ui.internal.HANAEdition,0.0,0.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.data\src\org\jkiss\dbeaver\ui\data\editors\BitStringInlineEditor.java,org.jkiss.dbeaver.ui.data.editors.BitStringInlineEditor,32,class,2,1,6,0.0,0.0,32,0,12,0,0,4,8,org.jkiss.dbeaver.ui.data.editors.BitStringInlineEditor,8.0,0.0,13.0,0.0,0.0,0.0,6.0
