,class,GodClass
0,org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages,0.0
1,org.jkiss.dbeaver.ext.generic.model.GenericView,0.0
2,org.jkiss.utils.IntKeyMap.Values,0.0
3,org.jkiss.dbeaver.ui.data.managers.DateTimeValueManager,0.0
4,org.jkiss.dbeaver.ext.mysql.ui.config.UserPropertyHandler,0.0
5,org.jkiss.utils.LongKeyMap.ValueIterator,0.0
6,org.jkiss.dbeaver.model.connection.DBPDriver,0.0
7,org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider,0.0
8,org.jkiss.dbeaver.ui.dashboard.view.DashboardViewConfigDialog,0.0
9,org.jkiss.dbeaver.ui.editors.sql.plan.registry.SQLPlanViewRegistry,0.0
10,org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanAnalyser.1,0.0
11,org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor.RefreshObjectReflector,0.0
12,org.jkiss.dbeaver.DBeaverPreferences,0.0
13,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList.TopNavigationElement,0.0
14,org.jkiss.dbeaver.ui.controls.StringEditorTable,0.0
15,org.jkiss.dbeaver.model.impl.SimpleExclusiveLock.Lock,0.0
16,org.jkiss.dbeaver.ext.phoenix.model.PhoenixDataSource,0.0
17,org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenObjectConsole,0.0
18,org.jkiss.dbeaver.model.sql.SQLDialect.MultiValueInsertMode,0.0
19,org.jkiss.dbeaver.ext.hana.ui.internal.HANAEdition,0.0
20,org.jkiss.dbeaver.ui.data.editors.BitStringInlineEditor,0.0
21,org.jkiss.dbeaver.ui.editors.sql.plan.ExplainPlanViewer.PlanViewInfo,0.0
22,org.jkiss.dbeaver.ext.mysql.tools.MySQLExportWizardPageObjects.2,0.0
23,org.jkiss.dbeaver.ui.editors.sql.syntax.SQLInformationProvider,0.0
24,org.jkiss.dbeaver.ext.mysql.tools.MySQLExportWizardPageObjects.1,0.0
25,org.jkiss.dbeaver.ui.dialogs.BaseAuthDialog,0.0
26,org.jkiss.dbeaver.ext.bigquery.model.BigQueryDataSource,0.0
27,org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter.EditorLinkedModeUI,0.0
28,org.jkiss.dbeaver.ext.greenplum.model.GreenplumFunction,0.0
29,org.jkiss.dbeaver.ext.mysql.tasks.MySQLToolTableRepairSettings,0.0
30,org.jkiss.dbeaver.ext.postgresql.tools.PostgreRestoreWizardPageSettings,0.0
31,org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor.ContentTypeSwitchAction,0.0
32,org.jkiss.dbeaver.ui.data.managers.stream.XMLPanelEditor,0.0
33,org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer.PreviewColumnInfo,0.0
34,org.jkiss.dbeaver.ext.mysql.edit.MySQLViewManager.1,0.0
35,org.jkiss.dbeaver.ui.editors.sql.syntax.SQLPartitionScanner,0.0
36,org.jkiss.dbeaver.model.data.json.JSONBestNumberSerializer,0.0
37,org.jkiss.dbeaver.model.impl.AbstractDescriptor,0.0
38,org.jkiss.dbeaver.model.data.DBDPseudoAttribute,0.0
39,org.jkiss.dbeaver.erd.ui.layout.DelegatingLayoutManager,0.0
40,org.jkiss.dbeaver.runtime.net.DefaultCallbackHandler,0.0
41,org.jkiss.dbeaver.ext.oracle.model.OracleTableBase.TriggerCache,0.0
42,org.jkiss.dbeaver.ext.mssql.model.SQLServerTableIndex,0.0
43,org.jkiss.dbeaver.ext.wmi.model.WMIStatement,0.0
44,org.jkiss.utils.ByteNumberFormat,0.0
45,org.jkiss.dbeaver.ext.oracle.model.OracleObjectType,0.0
46,org.jkiss.dbeaver.utils.GeneralUtils,0.0
47,org.jkiss.dbeaver.ext.db2.ui.config.DB2SequenceConfigurator.1,0.0
48,org.jkiss.dbeaver.model.runtime.features.DBRFeatureRegistry,0.0
49,org.jkiss.dbeaver.ext.db2.model.DB2DataSourceInfo,0.0
50,org.jkiss.dbeaver.ext.mssql.ui.tools.maintenance.SQLServerToolTriggerDisable,0.0
51,org.jkiss.dbeaver.ui.editors.json.JSONPartitionScanner,0.0
52,org.jkiss.dbeaver.tools.transfer.stream.StreamMappingAttribute,0.0
53,org.jkiss.dbeaver.ext.db2.manager.DB2ModuleManager,0.0
54,org.jkiss.dbeaver.registry.ProjectMetadata.ProjectSyncJob,0.0
55,org.jkiss.dbeaver.tools.scripts.ScriptsImportData,0.0
56,org.jkiss.dbeaver.ext.db2.model.cache.DB2RemoteServerOptionCache,0.0
57,org.jkiss.dbeaver.ext.greenplum.model.GreenplumFunction.FunctionExecLocation,0.0
58,org.jkiss.dbeaver.ui.controls.ViewerColumnController.ConfigDialog,0.0
59,org.jkiss.dbeaver.ui.ICommentsSupport,0.0
60,org.jkiss.dbeaver.ext.clickhouse.model.ClickhouseDataSource,0.0
61,org.jkiss.dbeaver.ui.navigator.itemlist.DatabaseObjectListControl,0.0
62,org.jkiss.dbeaver.model.qm.meta.QMMTransactionSavepointInfo.1,0.0
63,org.jkiss.dbeaver.ui.actions.FolderPropertyTester,0.0
64,org.jkiss.dbeaver.ext.db2.tasks.DB2ReorgIndexToolSettings.CheckStorageOptionListProvider,0.0
65,org.jkiss.dbeaver.ui.gis.presentation.GeometryPresentation,0.0
66,org.jkiss.dbeaver.ext.exasol.ui.config.ExasolConnectionConfigurator,0.0
67,org.jkiss.dbeaver.ext.mssql.model.generic.SQLServerGenericSynonym,0.0
68,org.jkiss.dbeaver.ext.db2.manager.DB2TablespaceManager,0.0
69,org.jkiss.dbeaver.ext.wmi.WMIMessages,0.0
70,org.jkiss.dbeaver.ext.oracle.edit.OracleProcedureManager,0.0
71,org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumerSerializer,0.0
72,org.jkiss.dbeaver.ext.db2.model.fed.DB2WrapperType,0.0
73,org.jkiss.dbeaver.model.impl.jdbc.JDBCUnknownType,0.0
74,org.jkiss.dbeaver.ui.dashboard.model.data.DashboardDataHistogram,0.0
75,org.jkiss.dbeaver.erd.ui.editor.ERDEditorStandalone.2,0.0
76,org.jkiss.dbeaver.erd.ui.editor.ERDEditorStandalone.1,0.0
77,org.jkiss.dbeaver.ui.editors.sql.convert.CopySourceCodeHandler,0.0
78,org.jkiss.dbeaver.ext.ui.locks.table.LockTable.KillSessionByLockService,0.0
79,org.jkiss.dbeaver.model.navigator.registry.DBNModelExtenderDescriptor,0.0
80,org.jkiss.dbeaver.ext.ui.tipoftheday.ShowTipOfTheDayHandler,0.0
81,org.jkiss.dbeaver.ext.mssql.model.SQLServerTableColumn.IdentityInfo,0.0
82,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderState,0.0
83,org.jkiss.dbeaver.ext.db2.ui.config.DB2ForeignKeyConfigurator,0.0
84,org.jkiss.dbeaver.ext.exasol.manager.ExasolTableColumnManager,0.0
85,org.jkiss.dbeaver.ext.hana.model.HANAObjectType,0.0
86,org.jkiss.dbeaver.ext.oracle.ui.tools.maintenance.OracleToolGatherStatistics,0.0
87,org.jkiss.dbeaver.ext.ui.locks.graph.LockGraphConnectionEditPolicy,0.0
88,org.jkiss.dbeaver.erd.ui.part.EntityPart,0.0
89,org.jkiss.dbeaver.ext.oracle.model.OracleDataSource.SchemaCache,0.0
90,org.jkiss.dbeaver.model.DBPContextProvider,0.0
91,org.jkiss.dbeaver.ext.bigquery.ui.internal.BigQueryMessages,0.0
92,org.jkiss.dbeaver.ext.postgresql.PostgreValueParserTest,0.0
93,org.jkiss.dbeaver.ui.controls.resultset.ResultSetSaveReport,0.0
94,org.jkiss.utils.IntKeyMap.KeyIterator,0.0
95,org.jkiss.dbeaver.ext.oracle.model.OracleDataFile.OnlineStatus,0.0
96,org.jkiss.dbeaver.ui.editors.NodeEditorInputFactory,0.0
97,org.jkiss.dbeaver.ext.oracle.model.OraclePackage,0.0
98,org.jkiss.dbeaver.ui.dialogs.MultiPageWizardDialog,0.0
99,org.jkiss.dbeaver.ext.oracle.model.OracleTableBase.CommentsValidator,0.0
100,org.jkiss.dbeaver.ui.search.data.SearchDataResult,0.0
101,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList.7,0.0
102,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList.8,0.0
103,org.jkiss.dbeaver.model.DBPObjectWithDescription,0.0
104,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList.5,0.0
105,org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList.6,0.0
106,org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerPostgreSQL,0.0
107,org.jkiss.dbeaver.ext.exasol.editors.ExasolStatefulObject,0.0
108,org.jkiss.dbeaver.ui.DialogSettingsDelegate,0.0
109,org.jkiss.dbeaver.model.impl.PropertyDescriptor,0.0
110,MySQLErrorsTest,0.0
111,org.jkiss.dbeaver.ui.properties.PropertyDescriptorDelegate.1,0.0
112,org.jkiss.dbeaver.ui.editors.sql.templates.SQLTemplateStore,0.0
113,org.jkiss.dbeaver.ext.mssql.edit.SQLServerObjectManager,0.0
114,org.jkiss.dbeaver.ui.editors.sql.SQLResultsView,0.0
115,org.jkiss.dbeaver.ext.firebird.model.FireBirdFieldType,0.0
116,org.jkiss.dbeaver.ui.search.AbstractSearchResultsPage.ResultsNode,0.0
117,org.jkiss.dbeaver.model.connection.DBPDriverLibrary.FileType,0.0
118,org.jkiss.dbeaver.ui.preferences.PrefPageConnectionTypes,0.0
119,org.jkiss.dbeaver.ext.wmi.model.WMIClassElement,0.0
120,org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateCopy.1,0.0
121,org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateCopy.2,0.0
122,org.jkiss.dbeaver.ui.controls.autorefresh.AutoRefreshControl.AutoRefreshMenuListener,0.0
123,org.jkiss.dbeaver.model.impl.data.transformers.EpochTimeAttributeTransformer.EpochValueHandler,0.0
124,org.jkiss.dbeaver.ui.editors.sql.syntax.SQLContextInformer.TablesFinderJob,0.0
125,org.jkiss.dbeaver.ext.oracle.model.OracleGrantee,0.0
126,org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageDriver.2,0.0
127,org.jkiss.dbeaver.model.sql.generator.SQLGeneratorMerge,0.0
128,org.jkiss.dbeaver.ext.oracle.data.OracleXMLValueHandler,0.0
129,org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageDriver.1,0.0
130,org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCBooleanValueHandler,0.0
131,org.jkiss.dbeaver.ui.preferences.WizardPrefPage,0.0
132,org.jkiss.dbeaver.ext.generic.model.TableCache,0.0
133,org.jkiss.dbeaver.ui.app.standalone.about.AboutBoxDialog.1,0.0
134,org.jkiss.dbeaver.ext.oracle.model.OracleTableBase.AdditionalInfoValidator,0.0
135,org.jkiss.dbeaver.lang.SCMRoot,0.0
136,org.jkiss.dbeaver.ui.app.standalone.about.AboutBoxDialog.3,0.0
137,org.jkiss.dbeaver.ext.test.desktop.Win32WindowDemo,0.0
138,org.jkiss.dbeaver.ui.help.LightweightHelpView,0.0
139,org.jkiss.dbeaver.ext.mysql.ui.config.MySQLUserManager.CommandDropUser.2,0.0
140,org.jkiss.dbeaver.ui.editors.entity.handlers.UndoChangesHandler,0.0
141,org.jkiss.dbeaver.model.sql.registry.SQLFormatterDescriptor,0.0
142,org.jkiss.dbeaver.ext.db2.model.plan.DB2PlanOperator,0.0
143,org.jkiss.dbeaver.ui.actions.common.AddBookmarkHandler.AddBookmarkDialog.1,0.0
144,org.jkiss.dbeaver.ui.controls.resultset.FilterSettingsDialog.FilterSettingsTreeEditor,0.0
145,org.jkiss.dbeaver.model.data.storage.ExternalContentStorage,0.0
146,org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.Spreadsheet.GridAccessibleListener,0.0
147,org.jkiss.dbeaver.ext.firebird.model.FireBirdView,0.0
148,org.jkiss.dbeaver.ext.ocient.model.plan.OcientQueryPlaner.1,0.0
149,org.jkiss.dbeaver.tasks.ui.internal.TaskUIViewBundle,0.0
150,org.jkiss.dbeaver.ui.editors.DatabaseEditorInput,0.0
151,org.jkiss.dbeaver.tools.transfer.registry.DataTransferProcessorDescriptor,0.0
152,org.jkiss.dbeaver.ext.mysql.edit.MySQLDatabaseManager,0.0
153,org.jkiss.dbeaver.ext.ui.locks.graph.LockGraphConnectionAnchor,0.0
154,org.jkiss.dbeaver.ext.teradata.model.TeradataSQLDialect,0.0
155,org.jkiss.dbeaver.ui.search.metadata.SearchMetadataParams,0.0
156,org.jkiss.dbeaver.ext.generic.model.GenericScriptObject,0.0
157,org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProviderAdapterFactory,0.0
158,org.jkiss.dbeaver.registry.RegistryConstants,0.0
159,org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCTableMetaData,0.0
160,org.jkiss.dbeaver.ext.import_config.Activator,0.0
161,org.jkiss.dbeaver.tools.sql.task.SQLScriptDataReceiver,0.0
162,org.jkiss.dbeaver.ext.oracle.model.OracleDataTypeMember,0.0
163,org.jkiss.dbeaver.ext.oracle.model.dict.OracleConnectionType,0.0
164,org.jkiss.dbeaver.ui.controls.resultset.panel.valueviewer.ValueViewerPanel,0.0
165,org.jkiss.dbeaver.ui.UIConfirmation,0.0
166,org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl,1.0
167,org.jkiss.dbeaver.model.DBUtilsTest.1,0.0
168,org.jkiss.dbeaver.ext.postgresql.model.QueryTransformerFetchAll,0.0
169,org.jkiss.dbeaver.model.virtual.DBVModelSerializerLegacy.ModelParser,0.0
170,org.jkiss.dbeaver.debug.ui.details.DatabaseStandardBreakpointPane,0.0
171,org.jkiss.dbeaver.erd.ui.command.AttributeCheckCommand,0.0
172,org.jkiss.dbeaver.registry.DataSourcePreferenceStore,0.0
173,org.jkiss.dbeaver.ui.dialogs.connection.ConnectionTypeLabelProvider,0.0
174,org.jkiss.dbeaver.registry.updater.UpdateSiteDescriptor,0.0
175,org.jkiss.dbeaver.tools.transfer.DataTransferSettings,1.0
176,org.jkiss.dbeaver.registry.NativeClientFileDescriptor,0.0
177,org.jkiss.dbeaver.ext.ui.svg.GdiFont,0.0
178,org.jkiss.dbeaver.ui.editors.internal.EditorsMessages,0.0
179,org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase.CharsetListProvider,0.0
180,org.jkiss.dbeaver.ui.editors.sql.generator.SQLGeneratorPropertyTester,0.0
181,org.jkiss.dbeaver.model.data.DBDPseudoAttributeType,0.0
182,org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.RedshiftTableColumn,0.0
183,org.jkiss.dbeaver.ui.controls.resultset.panel.aggregate.AggregateColumnsPanel.ResetFunctionsAction,0.0
184,org.jkiss.dbeaver.ui.data.editors.ReferenceValueEditor.SelectorLoaderVisualizer,0.0
185,org.jkiss.dbeaver.ui.controls.resultset.virtual.VirtualEntityEditAction,0.0
186,org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionWizard,0.0
187,org.jkiss.dbeaver.ext.generic.model.GenericTableIndex,0.0
188,org.jkiss.dbeaver.model.exec.plan.DBCPlanNode,0.0
189,org.jkiss.dbeaver.ext.sqlite.model.SQLiteInsertReplaceMethod,0.0
190,org.jkiss.dbeaver.ext.oracle.data.OracleTemporalAccessorValueHandler,0.0
191,org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugBreakpointDescriptor,0.0
192,org.jkiss.dbeaver.ext.mysql.edit.MySQLViewManager,0.0
193,org.jkiss.dbeaver.ext.db2.model.DB2Tablespace,0.0
194,org.jkiss.wmi.test.TestService.ObjectCollectorSink,0.0
195,org.jkiss.dbeaver.model.impl.AbstractExecutionContext,0.0
196,org.jkiss.dbeaver.ext.db2.ui.tools.DB2ToolShowError,0.0
