file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.db2.ui\src\org\jkiss\dbeaver\ext\db2\ui\internal\DB2Messages.java,org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages,class,2,1,2,,0.011494253,94,0,1,0,87,1,2,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,23,2.0,1.0,2.0,,0.011494253,94.0,0.0,1.0,0.0,87.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,23.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.generic\src\org\jkiss\dbeaver\ext\generic\model\GenericView.java,org.jkiss.dbeaver.ext.generic.model.GenericView,class,3,17,12,0.4,0.6666667,29,3,7,0,2,6,9,1.0,0.4,8.0,7.0,0.46666667,0.0,5.0,37,3.0,17.0,12.0,0.4,0.6666667,29.0,3.0,7.0,0.0,2.0,6.0,9.0,1.0,0.4,8.0,7.0,0.46666667,0.0,5.0,37.0
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\IntKeyMap.java,org.jkiss.utils.IntKeyMap.Values,innerclass,2,0,2,0.0,0.0,14,0,3,0,0,4,4,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,751,2.0,0.0,2.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,751.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.data\src\org\jkiss\dbeaver\ui\data\managers\DateTimeValueManager.java,org.jkiss.dbeaver.ui.data.managers.DateTimeValueManager,class,2,1,11,0.0,1.0,20,0,3,0,1,3,6,0.0,0.33333334,7.0,0.0,0.0,-1.0,2.0,33,2.0,1.0,11.0,0.0,1.0,20.0,0.0,3.0,0.0,1.0,3.0,6.0,0.0,0.33333334,7.0,0.0,0.0,-1.0,2.0,33.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ext.mysql.ui\src\org\jkiss\dbeaver\ext\mysql\ui\config\UserPropertyHandler.java,org.jkiss.dbeaver.ext.mysql.ui.config.UserPropertyHandler,enum,1,1,4,0.0,0.0,18,0,5,0,0,3,6,0.0,0.0,2.0,3.0,0.6,-1.0,1.0,28,1.0,1.0,4.0,0.0,0.0,18.0,0.0,5.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,3.0,0.6,-1.0,1.0,28.0
C:\Users\syuuj\gitProject\dbeaver\bundles\org.jkiss.utils\src\org\jkiss\utils\LongKeyMap.java,org.jkiss.utils.LongKeyMap.ValueIterator,innerclass,2,0,2,,0.0,5,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,640,2.0,0.0,2.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,640.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.model\src\org\jkiss\dbeaver\model\connection\DBPDriver.java,org.jkiss.dbeaver.model.connection.DBPDriver,interface,1,8,14,0.0,0.0,53,0,0,0,0,51,51,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,37,1.0,8.0,14.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,37.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.net.ssh.ui\src\org\jkiss\dbeaver\ui\net\ssh\jsch\JSCHUIPromptProvider.java,org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider,class,2,2,6,,0.0,40,0,0,1,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11,2.0,2.0,6.0,,0.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.dashboard\src\org\jkiss\dbeaver\ui\dashboard\view\DashboardViewConfigDialog.java,org.jkiss.dbeaver.ui.dashboard.view.DashboardViewConfigDialog,class,3,1,11,0.2,0.5,52,0,16,0,1,6,6,0.0,0.0,22.0,1.0,0.04347826,-1.0,8.0,31,3.0,1.0,11.0,0.2,0.5,52.0,0.0,16.0,0.0,1.0,6.0,6.0,0.0,0.0,22.0,1.0,0.04347826,-1.0,8.0,31.0
C:\Users\syuuj\gitProject\dbeaver\plugins\org.jkiss.dbeaver.ui.editors.sql\src\org\jkiss\dbeaver\ui\editors\sql\plan\registry\SQLPlanViewRegistry.java,org.jkiss.dbeaver.ui.editors.sql.plan.registry.SQLPlanViewRegistry,class,1,2,6,0.33333334,0.5625,34,0,8,0,4,4,9,0.0,-1.0,4.0,6.0,0.6,-1.0,4.0,33,1.0,2.0,6.0,0.33333334,0.5625,34.0,0.0,8.0,0.0,4.0,4.0,9.0,0.0,-1.0,4.0,6.0,0.6,-1.0,4.0,33.0
