file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271$B,39,innerclass,1,0,0,1.0,0.0,9,0,0,0,1,2,2,com.alibaba.json.bvt.issue_1200.Issue1271$B,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_3.java,com.alibaba.json.bvt.path.JSONPath_list_size_3,9,class,2,0,3,0.0,0.0,22,0,3,1,0,2,2,com.alibaba.json.bvt.path.JSONPath_list_size_3,0.0,0.0,4.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,65,innerclass,1,0,0,1.0,0.0,9,0,0,0,1,2,2,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1$Point,48,innerclass,1,0,1,0.0,0.6666667,11,0,0,0,3,2,2,com.alibaba.json.bvt.bug.Issue869_1$Point,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_1.java,com.alibaba.json.bvt.path.JSONPath_list_size_1,9,class,2,0,3,0.0,0.0,14,0,3,0,0,2,2,com.alibaba.json.bvt.path.JSONPath_list_size_1,0.0,0.0,2.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_2.java,com.alibaba.json.bvt.path.JSONPath_list_size_2,12,class,2,0,2,0.0,0.0,19,0,5,0,0,2,2,com.alibaba.json.bvt.path.JSONPath_list_size_2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,47,class,15,41,35,0.61073446,0.87431693,3522,0,129,34,9,61,409,com.alibaba.fastjson.JSONPath,0.0,-1.0,208.0,68.0,0.24637681,-1.0,37.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\deser\BooleanFieldDeserializerTest.java,com.alibaba.json.bvt.parser.deser.BooleanFieldDeserializerTest$Entity,16,innerclass,1,0,0,0.33333334,0.5,16,0,0,0,2,4,4,com.alibaba.json.bvt.parser.deser.BooleanFieldDeserializerTest$Entity,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_0_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_0_public$VO,20,innerclass,1,0,0,0.33333334,0.5,16,0,0,0,2,4,4,com.alibaba.json.bvt.writeAsArray.WriteAsArray_0_public$VO,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue199.java,com.alibaba.json.bvt.bug.Issue199,9,class,2,0,2,,0.0,54,0,3,1,0,1,6,com.alibaba.json.bvt.bug.Issue199,0.0,0.0,16.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1600\issue_1699\TestJson.java,com.alibaba.json.bvt.issue_1600.issue_1699.TestJson,9,class,2,0,2,,0.0,10,0,4,0,0,1,1,com.alibaba.json.bvt.issue_1600.issue_1699.TestJson,0.0,0.0,3.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\typeRef\TypeReferenceTest9.java,com.alibaba.json.bvt.typeRef.TypeReferenceTest9$Type,73,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,com.alibaba.json.bvt.typeRef.TypeReferenceTest9$Type,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\bug\Bug0.java,com.alibaba.json.bvt.parser.bug.Bug0,11,class,2,0,3,0.0,0.0,19,0,4,0,0,2,3,com.alibaba.json.bvt.parser.bug.Bug0,0.0,0.0,4.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\bug\Bug2.java,com.alibaba.json.bvt.parser.bug.Bug2,11,class,2,0,3,0.0,0.0,32,0,6,2,0,2,2,com.alibaba.json.bvt.parser.bug.Bug2,0.0,0.0,12.0,0.0,0.0,-1.0,5.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\mixins\MixinInheritanceTest.java,com.alibaba.json.bvt.mixins.MixinInheritanceTest$BeanoMixinSuper2,30,innerclass,2,0,2,,0.0,3,0,0,0,0,1,1,com.alibaba.json.bvt.mixins.MixinInheritanceTest$BeanoMixinSuper2,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1299.java,com.alibaba.json.bvt.issue_1200.Issue1299$ServiceResult,26,innerclass,2,0,3,0.33333334,0.33333334,11,0,0,0,1,3,3,com.alibaba.json.bvt.issue_1200.Issue1299$ServiceResult,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\stream\StreamWriterTest_writeFieldValue.java,com.alibaba.json.bvt.serializer.stream.StreamWriterTest_writeFieldValue,13,class,2,0,2,,0.0,12,0,6,0,0,1,1,com.alibaba.json.bvt.serializer.stream.StreamWriterTest_writeFieldValue,0.0,0.0,2.0,0.0,0.0,-1.0,2.0
