file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271.B,innerclass,1,0,0,1.0,0.0,9,0,0,0,1,2,2,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,39,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,39.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_3.java,com.alibaba.json.bvt.path.JSONPath_list_size_3,class,2,0,3,0.0,0.0,22,0,3,1,0,2,2,0.0,0.0,4.0,0.0,0.0,-1.0,1.0,9,2.0,0.0,3.0,0.0,0.0,22.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,-1.0,1.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public.A,innerclass,1,0,0,1.0,0.0,9,0,0,0,1,2,2,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,65,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,65.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1.Point,innerclass,1,0,1,0.0,0.6666667,11,0,0,0,3,2,2,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,48,1.0,0.0,1.0,0.0,0.6666667,11.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,48.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_1.java,com.alibaba.json.bvt.path.JSONPath_list_size_1,class,2,0,3,0.0,0.0,14,0,3,0,0,2,2,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,9,2.0,0.0,3.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_list_size_2.java,com.alibaba.json.bvt.path.JSONPath_list_size_2,class,2,0,2,0.0,0.0,19,0,5,0,0,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,12,2.0,0.0,2.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,12.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,class,15,41,35,0.61073446,0.87431693,3522,0,129,34,9,61,409,0.0,-1.0,208.0,68.0,0.24637681,-1.0,37.0,47,15.0,40.0,34.0,0.5882353,0.870283,3434.0,0.0,125.0,34.0,8.0,53.0,388.0,0.0,-1.0,199.0,63.0,0.24045801,-1.0,37.0,46.0,1.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\deser\BooleanFieldDeserializerTest.java,com.alibaba.json.bvt.parser.deser.BooleanFieldDeserializerTest.Entity,innerclass,1,0,0,0.33333334,0.5,16,0,0,0,2,4,4,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,16,1.0,0.0,0.0,0.33333334,0.5,16.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,16.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_0_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_0_public.VO,innerclass,1,0,0,0.33333334,0.5,16,0,0,0,2,4,4,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,20,1.0,0.0,0.0,0.33333334,0.5,16.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue199.java,com.alibaba.json.bvt.bug.Issue199,class,2,0,2,,0.0,54,0,3,1,0,1,6,0.0,0.0,16.0,0.0,0.0,-1.0,1.0,9,2.0,0.0,2.0,,0.0,54.0,0.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,16.0,0.0,0.0,-1.0,1.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1600\issue_1699\TestJson.java,com.alibaba.json.bvt.issue_1600.issue_1699.TestJson,class,2,0,2,,0.0,10,0,4,0,0,1,1,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,9,2.0,0.0,2.0,,0.0,10.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\typeRef\TypeReferenceTest9.java,com.alibaba.json.bvt.typeRef.TypeReferenceTest9.Type,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,73,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,73.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\bug\Bug0.java,com.alibaba.json.bvt.parser.bug.Bug0,class,2,0,3,0.0,0.0,19,0,4,0,0,2,3,0.0,0.0,4.0,0.0,0.0,-1.0,2.0,11,2.0,0.0,3.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,-1.0,2.0,11.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\bug\Bug2.java,com.alibaba.json.bvt.parser.bug.Bug2,class,2,0,3,0.0,0.0,32,0,6,2,0,2,2,0.0,0.0,12.0,0.0,0.0,-1.0,5.0,11,2.0,0.0,3.0,0.0,0.0,32.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,-1.0,5.0,11.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\mixins\MixinInheritanceTest.java,com.alibaba.json.bvt.mixins.MixinInheritanceTest.BeanoMixinSuper2,innerclass,2,0,2,,0.0,3,0,0,0,0,1,1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,30,2.0,0.0,2.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,30.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1299.java,com.alibaba.json.bvt.issue_1200.Issue1299.ServiceResult,innerclass,2,0,3,0.33333334,0.33333334,11,0,0,0,1,3,3,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,26,2.0,0.0,3.0,0.33333334,0.33333334,11.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,26.0,0.0
