,class,RefusedBequest
0,com.google.common.reflect.TypeToken.SimpleTypeToken,0.0
1,com.google.common.reflect.TypeTokenResolutionTest.1ForTwoStageResolution,0.0
2,com.google.common.graph.AbstractBaseGraph.2,0.0
3,com.google.common.escape.Escaper.1,0.0
4,com.google.common.graph.AbstractBaseGraph.1,0.0
5,com.google.common.collect.testing.DerivedComparable,0.0
6,com.google.common.collect.FilteredKeyListMultimap,0.0
7,com.google.common.util.concurrent.CollectionFuture,0.0
8,com.google.common.io.MultiInputStreamTest.3,0.0
9,com.google.common.io.MultiInputStreamTest.1,0.0
10,com.google.common.io.MultiInputStreamTest.5,0.0
11,com.google.common.collect.SubMapMultimapAsMapImplementsMapTest,0.0
12,com.google.common.io.SourceSinkFactories.EmptyByteSourceFactory,0.0
13,com.google.common.testing.CollectorTester,0.0
14,com.google.common.collect.AbstractIteratorTest.SomeUncheckedException,0.0
15,com.google.common.collect.DenseImmutableTable.ColumnMap,0.0
16,com.google.common.collect.ForwardingDequeTest.1,0.0
17,com.google.common.collect.ForwardingDequeTest.2,0.0
18,com.google.common.base.Splitter.3.4,0.0
19,com.google.common.util.concurrent.AbstractScheduledServiceTest,0.0
20,com.google.common.io.FilesTest.BadLengthFile,0.0
21,com.google.common.io.SourceSinkFactory,0.0
22,com.google.common.collect.testing.testers.CollectionCreationTester,0.0
23,com.google.common.collect.SetOperationsTest.17,0.0
24,com.google.common.collect.SetOperationsTest.18,0.0
25,com.google.common.base.FinalizableReferenceQueueClassLoaderUnloadingTest.FrqUser,0.0
26,com.google.common.primitives.ImmutableIntArrayTest,0.0
27,com.google.common.collect.SetOperationsTest.11,0.0
28,com.google.common.collect.SetOperationsTest.12,0.0
29,com.google.common.collect.SetOperationsTest.10,0.0
30,com.google.common.graph.GraphMutationTest,0.0
31,com.google.common.collect.SetOperationsTest.15,0.0
32,com.google.common.collect.SetOperationsTest.16,0.0
33,com.google.common.collect.SetOperationsTest.13,0.0
34,com.google.common.collect.SetOperationsTest.14,0.0
35,com.google.common.collect.ImmutableSortedMultiset.SerializedForm,0.0
36,com.google.common.collect.testing.ListTestSuiteBuilder.ReserializedListGenerator,0.0
37,com.google.common.collect.ImmutableEntry,0.0
38,com.google.common.collect.testing.testers.MapRemoveEntryTester,0.0
39,com.google.common.collect.testing.google.SetMultimapPutAllTester,0.0
40,com.google.common.graph.ValueGraphBuilder,0.0
41,com.google.common.util.concurrent.AbstractFutureTest.InterruptibleFuture,0.0
42,com.google.common.collect.Multisets.2.3,0.0
43,com.google.common.util.concurrent.AbstractExecutionThreadServiceTest.ThrowOnStartUpService,0.0
44,com.google.common.collect.AbstractMapBasedMultiset,0.0
45,com.google.common.collect.DiscreteDomain.LongDomain,0.0
46,com.google.common.collect.Maps.EntryFunction.1,0.0
47,com.google.common.collect.Maps.EntryFunction.2,0.0
48,com.google.common.primitives.DoubleArrayAsListTest.SampleDoubles,0.0
49,com.google.common.collect.testing.google.MultimapSizeTester,0.0
50,com.google.common.reflect.TypeTokenTest.ToReproduceGenericSignatureFormatError.SubOuter.SubInner,0.0
51,com.google.common.collect.EmptyImmutableListMultimap,0.0
52,com.google.common.hash.MessageDigestAlgorithmBenchmark,0.0
53,com.google.common.collect.FluentIterableTest.Y,0.0
54,com.google.common.collect.testing.google.MultisetNavigationTester.SubMultisetSpec.4,0.0
55,com.google.common.reflect.InvokableTest.6,0.0
56,com.google.common.collect.testing.google.MultisetNavigationTester.SubMultisetSpec.3,0.0
57,com.google.common.collect.FluentIterableTest.X,0.0
58,com.google.common.reflect.InvokableTest.7,0.0
59,com.google.common.collect.testing.google.MultisetNavigationTester.SubMultisetSpec.2,0.0
60,com.google.common.reflect.InvokableTest.8,0.0
61,com.google.common.collect.testing.testers.MapComputeIfAbsentTester.ExpectedException,0.0
62,com.google.common.collect.testing.google.MultisetNavigationTester.SubMultisetSpec.1,0.0
63,com.google.common.reflect.InvokableTest.9,0.0
64,com.google.common.collect.ArrayTable.ColumnMap,0.0
65,com.google.common.testing.ClassSanityTesterTest.BadSerializableFactory,0.0
66,com.google.common.util.concurrent.FuturesGetChecked.GetCheckedTypeValidatorHolder,0.0
67,com.google.common.reflect.InvokableTest.2,0.0
