file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Matz.java,com.github.javafaker.Matz,3,class,1,2,1,1.0,0.0,9,0,1,0,1,2,2,com.github.javafaker.Matz,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,3,class,1,3,4,0.5,0.25,17,0,5,0,1,4,5,com.github.javafaker.Color,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,8,class,1,3,3,1.0,0.0,47,0,9,0,1,8,12,com.github.javafaker.Relationships,0.0,-1.0,8.0,2.0,0.2,-1.0,4.0
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\RickAndMortyTest.java,com.github.javafaker.RickAndMortyTest,10,class,2,0,5,0.0,0.0,11,0,8,0,0,3,3,com.github.javafaker.RickAndMortyTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,10,class,2,1,5,,0.0,24,0,2,1,0,1,2,com.github.javafaker.repeating.RepeatRule,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,3,class,1,2,1,1.0,0.0,24,0,1,0,1,7,7,com.github.javafaker.HarryPotter,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,6,class,1,2,2,1.0,0.0,15,0,2,0,1,4,4,com.github.javafaker.Aviation,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,3,class,1,2,2,1.0,0.0,18,0,2,0,1,5,5,com.github.javafaker.Educator,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Animal.java,com.github.javafaker.Animal,3,class,1,2,2,1.0,0.0,9,0,2,0,1,2,2,com.github.javafaker.Animal,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,6,class,1,2,4,1.0,0.0,24,0,6,0,1,6,6,com.github.javafaker.IdNumber,0.0,-1.0,3.0,6.0,0.6666667,-1.0,2.0
C:\Users\syuuj\gitProject\java-faker\src\test\java\com\github\javafaker\FoodTest.java,com.github.javafaker.FoodTest,8,class,2,0,5,0.0,0.0,23,0,10,0,0,7,7,com.github.javafaker.FoodTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,3,class,1,3,3,1.0,0.6,21,0,4,0,4,5,5,com.github.javafaker.Music,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\CreditCardType.java,com.github.javafaker.CreditCardType,3,enum,1,2,0,-1.0,0.0,1,0,0,0,0,0,0,com.github.javafaker.CreditCardType,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,5,class,1,6,3,1.0,0.0,19,0,5,0,1,5,5,com.github.javafaker.Options,0.0,-1.0,5.0,1.0,0.16666667,-1.0,3.0
