file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",2,2,1,3,0,0,3,0,0,0,742,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,convertScoreMembersToBinary/1[java.util.Map],2,1,2,7,1,1,1,1,0,0,1440,redis.clients.jedis.Client,convertScoreMembersToBinary/1[java.util.Map],2.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,touch/1[java.lang.String[]],4,2,1,3,0,0,1,0,0,0,159,redis.clients.jedis.Client,touch/1[java.lang.String[]],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"hrandfieldWithValues/2[java.lang.String,long]",2,2,1,3,0,0,2,0,0,0,312,redis.clients.jedis.Client,"hrandfieldWithValues/2[java.lang.String,long]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,blpop/1[java.lang.String[]],3,2,1,3,0,0,1,0,0,0,647,redis.clients.jedis.Client,blpop/1[java.lang.String[]],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,encodeStringMap/1[java.util.Map],2,1,2,7,1,1,1,1,0,0,1484,redis.clients.jedis.Client,encodeStringMap/1[java.util.Map],2.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,punsubscribe/1[java.lang.String[]],1,2,1,3,0,0,1,0,0,0,967,redis.clients.jedis.Client,punsubscribe/1[java.lang.String[]],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,pttl/1[java.lang.String],2,2,1,3,0,0,1,0,0,0,1090,redis.clients.jedis.Client,pttl/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,dump/1[java.lang.String],2,2,1,3,0,0,1,0,0,0,1061,redis.clients.jedis.Client,dump/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map]",2,3,1,4,0,1,2,0,0,0,488,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map]",0.0,0.0,-1.0,0.0
