,class,RefusedBequest
0,redis.clients.jedis.Client,0.0
1,redis.clients.jedis.tests.commands.ListCommandsTest,0.0
2,redis.clients.jedis.BuilderFactory.43,0.0
3,redis.clients.jedis.BuilderFactory.42,0.0
4,redis.clients.jedis.StreamEntryID,0.0
5,redis.clients.jedis.BuilderFactory.41,0.0
6,redis.clients.jedis.BuilderFactory.40,0.0
7,redis.clients.jedis.BuilderFactory.45,0.0
8,redis.clients.jedis.BuilderFactory.44,0.0
9,redis.clients.jedis.tests.UdsTest,0.0
10,redis.clients.jedis.tests.SSLJedisWithCompleteCredentialsTest.1,0.0
11,redis.clients.jedis.tests.JedisSentinelTest,0.0
12,redis.clients.jedis.args.SaveMode,0.0
13,redis.clients.jedis.util.IOUtils,0.0
14,redis.clients.jedis.tests.SSLJedisClusterWithCompleteCredentialsTest.LocalhostVerifier,0.0
15,redis.clients.jedis.GeoUnit,0.0
16,redis.clients.jedis.params.ZIncrByParams,0.0
17,redis.clients.jedis.tests.SSLJedisClusterTest,0.0
18,redis.clients.jedis.tests.commands.VariadicCommandsTest,0.0
19,redis.clients.jedis.Builder,0.0
20,redis.clients.jedis.commands.ScriptingCommands,0.0
21,redis.clients.jedis.tests.commands.SentinelCommandsTest,0.0
22,redis.clients.jedis.tests.JedisPoolTest.1CrashingJedis,0.0
23,redis.clients.jedis.tests.JedisPoolWithCompleteCredentialsTest.1,0.0
24,redis.clients.jedis.tests.JedisPoolWithCompleteCredentialsTest.2,0.0
25,redis.clients.jedis.exceptions.JedisNoScriptException,0.0
26,redis.clients.jedis.util.RedisOutputStream,0.0
27,redis.clients.jedis.BitPosParams,0.0
28,redis.clients.jedis.commands.BinaryJedisClusterCommands,0.0
29,redis.clients.jedis.tests.ShardedJedisPoolTest.1,0.0
30,redis.clients.jedis.BitOP,0.0
31,redis.clients.jedis.tests.ProtocolTest.1,0.0
32,redis.clients.jedis.params.LPosParams,0.0
33,redis.clients.jedis.BinaryJedisCluster.103,0.0
34,redis.clients.jedis.BinaryJedisCluster.102,0.0
35,redis.clients.jedis.BinaryJedisCluster.101,0.0
36,redis.clients.jedis.BinaryJedisCluster.100,0.0
37,redis.clients.jedis.exceptions.JedisAskDataException,0.0
38,redis.clients.jedis.tests.utils.JedisClusterTestUtil,0.0
39,redis.clients.jedis.BinaryJedisCluster.109,0.0
40,redis.clients.jedis.BinaryJedisCluster.108,0.0
41,redis.clients.jedis.BinaryJedisCluster.107,0.0
42,redis.clients.jedis.BinaryJedisCluster.106,0.0
43,redis.clients.jedis.BinaryJedisCluster.105,0.0
44,redis.clients.jedis.BinaryJedisCluster.104,0.0
45,redis.clients.jedis.BinaryJedisCluster.114,0.0
46,redis.clients.jedis.tests.commands.JedisCommandTestBase,0.0
47,redis.clients.jedis.BinaryJedisCluster.113,0.0
48,redis.clients.jedis.BinaryJedisCluster.112,0.0
49,redis.clients.jedis.tests.SSLJedisWithCompleteCredentialsTest.BasicHostnameVerifier,0.0
50,redis.clients.jedis.BinaryJedisCluster.111,0.0
51,redis.clients.jedis.BinaryJedisCluster.110,0.0
52,redis.clients.jedis.commands.AdvancedBinaryJedisCommands,0.0
53,redis.clients.jedis.JedisSentinelPool,0.0
54,redis.clients.jedis.BinaryJedisCluster.119,0.0
55,redis.clients.jedis.BinaryJedisCluster.118,0.0
56,redis.clients.jedis.BinaryJedisCluster.117,0.0
57,redis.clients.jedis.BinaryJedisCluster.116,0.0
58,redis.clients.jedis.BinaryJedisCluster.115,0.0
59,redis.clients.jedis.BinaryJedisCluster.125,0.0
60,redis.clients.jedis.BinaryJedisCluster.124,0.0
61,redis.clients.jedis.BinaryJedisCluster.123,0.0
62,redis.clients.jedis.AccessControlLogEntry,0.0
63,redis.clients.jedis.BinaryJedisCluster.122,0.0
64,redis.clients.jedis.tests.commands.StringValuesCommandsTest,0.0
65,redis.clients.jedis.BinaryJedisCluster.121,0.0
66,redis.clients.jedis.BinaryJedisCluster.120,0.0
67,redis.clients.jedis.BinaryJedisCluster.99,0.0
68,redis.clients.jedis.BinaryJedisCluster.98,0.0
69,redis.clients.jedis.BinaryJedisCluster.97,0.0
70,redis.clients.jedis.BinaryJedisCluster.96,0.0
71,redis.clients.jedis.resps.KeyedListElement,0.0
72,redis.clients.jedis.BinaryJedisCluster.95,0.0
73,redis.clients.jedis.BinaryJedisCluster.94,0.0
74,redis.clients.jedis.params.ClientKillParams,0.0
75,redis.clients.jedis.BinaryJedisCluster.129,0.0
76,redis.clients.jedis.BinaryJedisCluster.128,0.0
