file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\widgets\BuildListTableTest.java,jenkins.widgets.BuildListTableTest,40,class,1,0,9,,0.0,31,0,20,0,1,1,1,jenkins.widgets.BuildListTableTest,0.0,-1.0,14.0,0.0,0.0,-1.0,7.0
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,36,class,1,0,14,0.0,0.61904764,92,0,40,0,3,7,7,jenkins.model.JenkinsLocationConfigurationTest,0.0,-1.0,63.0,9.0,0.125,-1.0,19.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,32,class,1,1,10,1.0,0.6363637,96,0,36,0,6,11,15,hudson.util.AtomicFileWriterTest,0.0,-1.0,14.0,17.0,0.5483871,-1.0,6.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,31,class,2,19,3,0.0,0.0,11,16,0,0,0,4,4,hudson.model.UserPropertyDescriptor,6.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\ProcessTreeTest.java,hudson.util.ProcessTreeTest$ProcessCallableImpl,61,innerclass,1,0,3,,0.0,7,0,1,0,0,1,1,hudson.util.ProcessTreeTest$ProcessCallableImpl,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\PluginWrapperTest.java,hudson.PluginWrapperTest$1,126,anonymous,1,0,2,,0.0,5,0,2,0,0,1,1,hudson.PluginWrapperTest$126,0.0,0.0,2.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\Functions.java,hudson.Functions$ThreadGroupMap,1473,innerclass,2,0,1,0.0,1.0,11,0,5,0,1,2,3,hudson.Functions$ThreadGroupMap,2.0,0.0,6.0,0.0,0.0,0.5,2.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\slaves\NodeProperty.java,hudson.slaves.NodeProperty,79,class,1,12,21,0.027777778,0.7777778,31,0,9,0,1,9,10,hudson.slaves.NodeProperty,0.0,-1.0,6.0,3.0,0.33333334,-1.0,3.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\model\DefaultUserCanonicalIdResolver.java,jenkins.model.DefaultUserCanonicalIdResolver$1,61,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1,jenkins.model.DefaultUserCanonicalIdResolver$61,6.0,1.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\ParametersTest.java,hudson.model.ParametersTest,35,class,2,0,25,1.0,0.4375,171,0,55,1,2,8,11,hudson.model.ParametersTest,0.0,-1.0,134.0,5.0,0.035971224,-1.0,22.0
