file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\widgets\BuildListTableTest.java,jenkins.widgets.BuildListTableTest,linksFromFolders/0,0,0,1,28,0,10,0,0,0,0,14,0,0,7,45,0,0,1,28,0,10,0,0,0,0,14,0,0,7,45
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,localhostWarning/0,0,0,1,6,0,2,0,0,0,0,7,0,0,4,60,0,0,1,6,0,2,0,0,0,0,7,0,0,4,60
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,cannotInjectJavaScriptUsingRootUrl_inLabelAbsoluteLink/0,0,0,1,19,0,11,0,0,0,0,17,2,0.11764706,10,157,0,0,1,19,0,11,0,0,0,0,17,2,0.11764706,10,157
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,cannotInjectJavaScriptUsingRootUrl_inNewViewLinkAction/0,0,0,1,11,0,7,0,0,0,0,10,1,0.1,7,132,0,0,1,11,0,7,0,0,0,0,10,1,0.1,7,132
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,settingRootURL/1[String],0,0,1,7,0,3,1,0,0,0,3,0,0,3,190,0,0,1,7,0,3,1,0,0,0,3,0,0,3,190
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,doNotAcceptNonHttpBasedRootURL_fromUI/0,0,0,1,11,0,3,0,0,0,0,10,2,0.22222222,4,69,0,0,1,11,0,3,0,0,0,0,10,2,0.22222222,4,69
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,escapeHatch_acceptNonHttpBasedRootURL_fromUI/0,0,0,1,19,0,5,0,0,0,0,13,2,0.16666667,5,90,0,0,1,19,0,5,0,0,0,0,13,2,0.16666667,5,90
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,doNotAcceptNonHttpBasedRootURL_fromConfigXml/0,0,0,1,5,0,0,0,0,0,0,3,2,0.5,2,121,0,0,1,5,0,0,0,0,0,0,3,2,0.5,2,121
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,createFile/0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,89,0,0,1,3,0,0,0,0,0,0,1,0,0,1,89
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,writeToAtomicFile/0,0,0,1,7,0,0,0,0,0,0,1,2,0.6666667,1,95,0,0,1,7,0,0,0,0,0,0,1,2,0.6666667,1,95
