file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,emptyByteBuffer/0,1,0,1,3,1,0,0,0,0,0,253,org.jsoup.helper.DataUtil,emptyByteBuffer/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,0,0,1,2,0,0,0,0,0,0,50,org.jsoup.helper.DataUtil,DataUtil/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,validateCharset/1[java.lang.String],2,0,6,12,4,0,1,0,0,0,274,org.jsoup.helper.DataUtil,validateCharset/1[java.lang.String],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",9,23,29,82,2,13,4,1,0,0,137,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",2.0,10.0,0.8333333,1.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",2,2,4,15,1,3,4,0,0,0,81,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,2,2,2,8,1,3,0,1,0,0,290,org.jsoup.helper.DataUtil,mimeBoundary/0,1.0,2.0,0.6666667,1.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],8,1,3,10,3,2,1,0,0,0,263,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",1,2,1,3,1,0,3,0,0,0,106,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,detectCharsetFromBom/1[java.nio.ByteBuffer],1,1,17,19,4,2,1,0,0,0,299,org.jsoup.helper.DataUtil,detectCharsetFromBom/1[java.nio.ByteBuffer],2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",1,1,1,3,1,0,4,0,0,0,119,org.jsoup.helper.DataUtil,"load/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",4,3,2,5,1,1,2,0,0,0,247,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",2,2,1,3,1,0,3,0,0,0,63,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"crossStreams/2[java.io.InputStream,java.io.OutputStream]",1,0,2,7,0,2,2,1,0,0,129,org.jsoup.helper.DataUtil,"crossStreams/2[java.io.InputStream,java.io.OutputStream]",0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator$ImmediateParent,ImmediateParent/1[org.jsoup.select.Evaluator],1,0,1,3,0,0,1,0,0,0,78,org.jsoup.select.StructuralEvaluator$ImmediateParent,ImmediateParent/1[org.jsoup.select.Evaluator],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator$ImmediateParent,"matches/2[org.jsoup.nodes.Element,org.jsoup.nodes.Element]",0,2,3,5,2,1,2,0,0,0,82,org.jsoup.select.StructuralEvaluator$ImmediateParent,"matches/2[org.jsoup.nodes.Element,org.jsoup.nodes.Element]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator$ImmediateParent,toString/0,0,0,1,3,1,0,0,0,0,0,91,org.jsoup.select.StructuralEvaluator$ImmediateParent,toString/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,charset/0,9,0,1,1,0,0,0,0,0,0,715,org.jsoup.Connection$Response,charset/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,body/0,4,0,1,1,0,0,0,0,0,0,742,org.jsoup.Connection$Response,body/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,statusCode/0,7,0,1,1,0,0,0,0,0,0,703,org.jsoup.Connection$Response,statusCode/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,statusMessage/0,3,0,1,1,0,0,0,0,0,0,709,org.jsoup.Connection$Response,statusMessage/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,bufferUp/0,2,0,1,1,0,0,0,0,0,0,757,org.jsoup.Connection$Response,bufferUp/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,contentType/0,3,0,1,1,0,0,0,0,0,0,728,org.jsoup.Connection$Response,contentType/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,parse/0,34,0,1,1,0,0,0,0,0,0,736,org.jsoup.Connection$Response,parse/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,bodyStream/0,2,0,1,1,0,0,0,0,0,0,765,org.jsoup.Connection$Response,bodyStream/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,bodyAsBytes/0,2,0,1,1,0,0,0,0,0,0,748,org.jsoup.Connection$Response,bodyAsBytes/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,charset/1[java.lang.String],1,0,1,1,0,0,1,0,0,0,722,org.jsoup.Connection$Response,charset/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\ChangeNotifyingArrayList.java,org.jsoup.helper.ChangeNotifyingArrayList,"removeRange/2[int,int]",0,1,1,4,0,0,2,0,0,0,65,org.jsoup.helper.ChangeNotifyingArrayList,"removeRange/2[int,int]",0.0,0.0,-1.0,0.0
