,class,GodClass
0,org.jsoup.nodes.Document.QuirksMode,0.0
1,org.jsoup.helper.DataUtil,1.0
2,org.jsoup.select.StructuralEvaluator.ImmediateParent,0.0
3,org.jsoup.Connection.Response,0.0
4,org.jsoup.helper.ChangeNotifyingArrayList,0.0
5,org.jsoup.helper.DataUtilTest,0.0
6,org.jsoup.select.Evaluator.IsOnlyOfType,0.0
7,org.jsoup.select.Evaluator.IndexEvaluator,0.0
8,org.jsoup.select.CssTest,0.0
9,org.jsoup.nodes.Entities.CoreCharset,0.0
10,org.jsoup.parser.ParserSettingsTest,0.0
11,org.jsoup.safety.Cleaner,0.0
12,org.jsoup.nodes.Element,1.0
13,org.jsoup.helper.HttpConnection,0.0
14,org.jsoup.select.NodeTraversor,0.0
15,org.jsoup.integration.UrlConnectTest,1.0
16,org.jsoup.select.ElementsTest.1,0.0
17,org.jsoup.safety.Safelist.AttributeKey,0.0
18,org.jsoup.select.Evaluator.MatchesOwn,0.0
19,org.jsoup.select.CombiningEvaluator.And,0.0
20,org.jsoup.internal.StringUtilTest,0.0
21,org.jsoup.parser.Token.EndTag,0.0
22,org.jsoup.helper.HttpConnection.Request,0.0
23,org.jsoup.parser.HtmlParserTest,1.0
24,org.jsoup.nodes.Document,1.0
25,org.jsoup.nodes.LeafNodeTest.1,0.0
26,org.jsoup.Jsoup,0.0
27,org.jsoup.parser.HtmlTreeBuilder,1.0
28,org.jsoup.select.TraversorTest,0.0
29,org.jsoup.nodes.FormElement,0.0
30,org.jsoup.integration.ConnectIT,0.0
31,org.jsoup.UnsupportedMimeTypeException,0.0
32,org.jsoup.helper.W3CDomTest,0.0
33,org.jsoup.select.StructuralEvaluator,0.0
34,org.jsoup.parser.ParserIT,0.0
35,org.jsoup.integration.SessionIT,0.0
36,org.jsoup.parser.HtmlTreeBuilderStateTest,0.0
37,org.jsoup.nodes.TextNodeTest,0.0
38,org.jsoup.parser.HtmlTreeBuilderTest,0.0
39,org.jsoup.nodes.EntitiesData,0.0
40,org.jsoup.integration.servlets.FileServlet,0.0
41,org.jsoup.select.Evaluator.IndexEquals,0.0
42,org.jsoup.nodes.ElementTest,1.0
43,org.jsoup.select.Selector.SelectorParseException,0.0
44,org.jsoup.parser.Token.Tag,0.0
45,org.jsoup.nodes.XmlDeclaration,0.0
46,org.jsoup.parser.Token.Doctype,0.0
47,org.jsoup.select.Evaluator.TagEndsWith,0.0
48,org.jsoup.helper.CookieUtil,0.0
49,org.jsoup.nodes.BuildEntities.1,0.0
50,org.jsoup.integration.TestServer,0.0
51,org.jsoup.select.Evaluator.Tag,0.0
52,org.jsoup.nodes.Document.OutputSettings.Syntax,0.0
53,org.jsoup.internal.StringUtil,1.0
54,org.jsoup.parser.TokeniserState.24,0.0
55,org.jsoup.parser.TokeniserState.25,0.0
56,org.jsoup.parser.TokeniserState.26,0.0
57,org.jsoup.parser.TokeniserState.27,0.0
58,org.jsoup.parser.TokeniserState.20,0.0
59,org.jsoup.parser.TokeniserState.21,0.0
60,org.jsoup.parser.TokeniserState.22,0.0
61,org.jsoup.select.TraversorTest.7,0.0
62,org.jsoup.parser.Tokeniser,1.0
63,org.jsoup.parser.TokeniserState.23,0.0
64,org.jsoup.select.TraversorTest.6,0.0
65,org.jsoup.nodes.Comment,0.0
66,org.jsoup.select.Evaluator.IndexGreaterThan,0.0
67,org.jsoup.nodes.LeafNode,0.0
68,org.jsoup.parser.TokeniserState.28,0.0
