file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\nodes\Document.java,org.jsoup.nodes.Document.QuirksMode,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,597,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,597.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,class,1,6,19,0.06666667,0.9010989,189,0,69,1,7,13,70,0.0,-1.0,7.0,14.0,0.6666667,-1.0,6.0,40,1.0,6.0,19.0,0.083333336,0.89285713,172.0,0.0,67.0,1.0,7.0,12.0,69.0,0.0,-1.0,7.0,14.0,0.6666667,-1.0,6.0,40.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator.ImmediateParent,innerclass,3,0,3,0.0,0.0,13,0,3,0,0,3,5,0.0,0.5,0.0,2.0,1.0,-1.0,0.0,77,3.0,0.0,3.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,0.5,0.0,2.0,1.0,-1.0,0.0,77.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection.Response,interface,1,0,5,0.0,0.0,12,0,0,0,0,10,10,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,697,1.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,697.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\ChangeNotifyingArrayList.java,org.jsoup.helper.ChangeNotifyingArrayList,class,4,3,2,0.0,0.0,50,0,12,0,0,13,13,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,9,4.0,3.0,2.0,0.0,0.0,50.0,0.0,12.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,9.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\helper\DataUtilTest.java,org.jsoup.helper.DataUtilTest,class,1,1,12,0.0,0.0,134,0,32,0,0,22,23,0.0,-1.0,32.0,0.0,0.0,-1.0,4.0,14,1.0,1.0,12.0,0.0,0.0,134.0,0.0,32.0,0.0,0.0,22.0,23.0,0.0,-1.0,32.0,0.0,0.0,-1.0,4.0,14.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.IsOnlyOfType,innerclass,2,0,5,0.0,0.0,15,0,4,0,0,2,7,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,614,2.0,0.0,5.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,2.0,7.0,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,614.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.IndexEvaluator,innerclass,2,0,1,,0.0,6,0,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,653,2.0,0.0,1.0,,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,653.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,class,1,1,9,0.9,0.5,158,0,18,0,2,20,28,0.0,-1.0,19.0,3.0,0.13636364,-1.0,2.0,13,1.0,1.0,9.0,0.9,0.5,158.0,0.0,18.0,0.0,2.0,20.0,28.0,0.0,-1.0,19.0,3.0,0.13636364,-1.0,2.0,13.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\nodes\Entities.java,org.jsoup.nodes.Entities.CoreCharset,enum,1,0,1,,0.0,6,0,2,0,0,1,3,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,299,1.0,0.0,1.0,,0.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,293.0,0.0
