file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithNonThreadSafeListener/0,0,4,1,10,0,1,0,0,0,0,49,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithNonThreadSafeListener/0,3.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithThreadSafeListener/0,0,4,1,10,0,1,0,0,0,0,85,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithThreadSafeListener/0,3.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,hasNoProblemsWithFailingListeners/0,0,5,1,6,0,0,0,0,0,0,29,org.junit.runner.notification.RunNotifierTest,hasNoProblemsWithFailingListeners/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,wrapIfNotThreadSafeShouldNotWrapThreadSafeListeners/0,0,4,1,4,0,1,0,0,0,0,97,org.junit.runner.notification.RunNotifierTest,wrapIfNotThreadSafeShouldNotWrapThreadSafeListeners/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,wrapIfNotThreadSafeShouldWrapNonThreadSafeListeners/0,0,3,1,5,0,2,0,0,0,0,103,org.junit.runner.notification.RunNotifierTest,wrapIfNotThreadSafeShouldWrapNonThreadSafeListeners/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithNonThreadSafeListener/0,0,4,1,10,0,1,0,0,0,0,61,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithNonThreadSafeListener/0,3.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithThreadSafeListener/0,0,4,1,10,0,1,0,0,0,0,73,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithThreadSafeListener/0,3.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,notifiesSecondListenerIfFirstThrowsException/0,0,6,1,7,0,1,0,0,0,0,19,org.junit.runner.notification.RunNotifierTest,notifiesSecondListenerIfFirstThrowsException/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\classes\ParentRunnerTest.java,org.junit.tests.running.classes.ParentRunnerTest$FruitTest,apple/0,0,0,1,3,0,0,0,0,0,0,37,org.junit.tests.running.classes.ParentRunnerTest$FruitTest,apple/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\classes\ParentRunnerTest.java,org.junit.tests.running.classes.ParentRunnerTest$FruitTest,Banana/0,0,0,1,3,0,0,0,0,0,0,42,org.junit.tests.running.classes.ParentRunnerTest$FruitTest,Banana/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\FilterableTest.java,org.junit.tests.manipulation.FilterableTest$FilteredTest,skipThis/0,0,0,1,3,0,0,0,0,0,0,48,org.junit.tests.manipulation.FilterableTest$FilteredTest,skipThis/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\FilterableTest.java,org.junit.tests.manipulation.FilterableTest$FilteredTest,runThis/0,0,0,1,2,0,0,0,0,0,0,53,org.junit.tests.manipulation.FilterableTest$FilteredTest,runThis/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\FilterableTest.java,org.junit.tests.manipulation.FilterableTest$FilteredTest,parameters/0,0,0,1,3,1,0,0,0,0,0,40,org.junit.tests.manipulation.FilterableTest$FilteredTest,parameters/0,0.0,0.0,-1.0,0.0
