,class,GodClass
0,org.mapstruct.ap.test.abstractclass.SourceTargetMapper,0.0
1,org.mapstruct.ap.test.bugs._2318.Issue2318Mapper.SourceParent.Holder,0.0
2,org.mapstruct.ap.test.bugs._1130.Issue1130Mapper.AEntity,0.0
3,org.mapstruct.ap.test.bugs._2278.Issue2278MapperB.CarDTO,0.0
4,org.mapstruct.ap.test.bugs._537.Source,0.0
5,org.mapstruct.ap.test.bugs._577.Issue577Test,0.0
6,org.mapstruct.ap.test.conversion.jodatime.SourceWithStringDate,0.0
7,org.mapstruct.ap.test.factories.assignment.Bar7,0.0
8,org.mapstruct.ap.test.verbose.CreateBeanMappingConfig,0.0
9,org.mapstruct.ap.test.factories.assignment.Bar6,0.0
10,org.mapstruct.ap.test.factories.assignment.Bar5,0.0
11,org.mapstruct.ap.test.conversion.lossy.RegularKitchenDrawerEntity,0.0
12,org.mapstruct.ap.test.context.SelfContainingCycleContext,0.0
13,org.mapstruct.ap.test.bugs._1828.FirstMapper,0.0
14,org.mapstruct.ap.internal.conversion.CharWrapperToStringConversion,0.0
15,org.mapstruct.ap.test.bugs._2174.UserMapper.CityNotFoundException,0.0
16,org.mapstruct.ap.test.imports.sourcewithextendsbound.entity.Astronaut,0.0
17,org.mapstruct.ap.test.namesuggestion.SuggestMostSimilarNameTest,0.0
18,org.mapstruct.ap.test.inheritance.TargetBase,0.0
19,org.mapstruct.ap.test.decorator.YetAnotherPersonMapperDecorator,0.0
20,org.mapstruct.ap.test.selection.generics.Source,0.0
21,org.mapstruct.ap.test.bugs._2077.Issue2077ErroneousMapper,0.0
22,org.mapstruct.ap.test.inheritfromconfig.CarMapperWithExplicitInheritance,0.0
23,org.mapstruct.ap.test.targetthis.ConfictsResolvedNestedMapper,0.0
24,org.mapstruct.ap.test.collection.wildcard.SuperBoundTarget,0.0
25,org.mapstruct.ap.test.builder.multiple.BuilderDefinedMapper,0.0
26,org.mapstruct.ap.internal.util.NativeTypes.ByteAnalyzer.1,0.0
27,org.mapstruct.ap.testutil.runner.EclipseCompilingStatement.ClassLoaderExecutor,0.0
28,org.mapstruct.ap.test.erroneous.attributereference.DummySource,0.0
29,org.mapstruct.itest.jaxb.ShippingAddressDto,0.0
30,org.mapstruct.ap.test.abstractclass.generics.Identifiable,0.0
31,org.mapstruct.ap.test.bugs._625.Issue625Test,0.0
32,org.mapstruct.ap.test.collection.adder.SourceTargetMapper,0.0
33,org.mapstruct.ap.test.inheritfromconfig.multiple.BaseDto,0.0
34,org.mapstruct.ap.internal.model.source.MappingMethodOptions,1.0
35,org.mapstruct.ap.test.nestedbeans.unmappable.erroneous.UnmappableValuePropertyMapper,0.0
36,org.mapstruct.ap.test.collection.adder._target.OutdoorPet,0.0
37,org.mapstruct.ap.test.nestedsourceproperties.ArtistToChartEntryGetter,0.0
38,org.mapstruct.ap.test.nullcheck.strategy.HouseEntity,0.0
39,org.mapstruct.ap.spi.BuilderProvider,0.0
40,org.mapstruct.ap.test.bugs._1590.Book,0.0
41,org.mapstruct.ap.test.source.manytargetproperties.SourceTargetMapper,0.0
42,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.DateTime,0.0
43,org.mapstruct.ap.test.bugs._1881.VehicleDtoMapper.Vehicle,0.0
44,org.mapstruct.ap.test.bugs._2233.Issue2233Test,0.0
45,org.mapstruct.ap.test.bugs._1061.Issue1061Test,0.0
46,org.mapstruct.ap.test.bugs._2170.entity.Person,0.0
47,org.mapstruct.ap.test.decorator.Address,0.0
48,org.mapstruct.ap.test.namesuggestion.ColorRgbDto,0.0
49,org.mapstruct.ap.test.constructor.nestedsource._target.AdderUsageObserver,0.0
50,org.mapstruct.ap.test.inheritfromconfig.ErroneousMapperAutoInheritance,0.0
51,org.mapstruct.ap.test.value.enum2enum.OrderEntity,0.0
52,org.mapstruct.ap.test.bugs._1457.SourceBook,0.0
53,org.mapstruct.ap.test.constructor.visibility.ConstructorVisibilityTest,0.0
54,org.mapstruct.ap.test.references.samename.SourceTargetMapper,0.0
55,org.mapstruct.ap.test.updatemethods.BossDto,0.0
56,org.mapstruct.ap.spi.EnumTransformationStrategy,0.0
57,org.mapstruct.ap.test.bugs._1338.Issue1338Mapper,0.0
58,org.mapstruct.ap.internal.model.source.builtin.BuiltInConstructorFragment,0.0
59,org.mapstruct.ap.test.factories.CustomMap,0.0
60,org.mapstruct.ap.test.abstractclass.generics.AnimalKey,0.0
61,org.mapstruct.ap.test.bugs._1801.ItemMapper,0.0
62,org.mapstruct.ap.test.builder.noop.PersonMapper,0.0
63,org.mapstruct.ap.test.imports.innerclasses.BeanWithInnerEnumMapper,0.0
64,org.mapstruct.ap.internal.model.beanmapping.SourceReference.BuilderFromMapping,0.0
65,org.mapstruct.ap.test.bugs._1247.Issue1247Mapper,0.0
66,org.mapstruct.ap.test.constructor.mixed.PersonMixed,0.0
67,org.mapstruct.ap.test.java8stream.base.MyCustomException,0.0
68,org.mapstruct.ap.test.fields.SourceTargetMapper,0.0
69,org.mapstruct.ap.test.nestedbeans.mixed._target.WaterQualityReportDto,0.0
70,org.mapstruct.ap.test.bugs._1685.ContactDataDTO,0.0
