file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\domain\blog\mappers\NestedBlogMapper.java,org.apache.ibatis.domain.blog.mappers.NestedBlogMapper,18,interface,1,2,0,-1,0,2,0,0,0,0,0,0,org.apache.ibatis.domain.blog.mappers.NestedBlogMapper,0,-1,0,0,-1,-1,0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,38,class,1,2,5,0.35714287,0.675,46,0,8,0,5,8,14,org.apache.ibatis.transaction.managed.ManagedTransaction,0,-1,3,12,0.8,-1,3
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,18,class,2,1,1,1,0,9,1,0,0,1,2,2,org.apache.ibatis.submitted.multiple_discriminator.Employee,0,0,0,2,1,-1,0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\YearMonthTypeHandlerTest.java,org.apache.ibatis.type.YearMonthTypeHandlerTest,28,class,2,0,4,1,0.21428572,35,0,13,0,2,7,7,org.apache.ibatis.type.YearMonthTypeHandlerTest,4,1,12,18,0.6,0.75,4
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_common_property\FatherMapper.java,org.apache.ibatis.submitted.lazyload_common_property.FatherMapper,18,interface,1,1,1,,0,3,0,0,0,0,1,1,org.apache.ibatis.submitted.lazyload_common_property.FatherMapper,0,-1,0,0,-1,-1,0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,88,innerclass,1,0,3,,0,7,0,2,0,1,1,1,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,0,-1,1,0,0,-1,1
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\loader\JavassistProxyFactory.java,org.apache.ibatis.executor.loader.JavassistProxyFactory,22,class,2,0,1,-1,0,2,0,0,0,0,0,0,org.apache.ibatis.executor.loader.JavassistProxyFactory,0,0,0,0,-1,-1,0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,24,class,1,1,2,1,0,27,0,6,0,1,8,8,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,0,-1,0,1,1,-1,0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,32,class,1,0,7,1,0.33333334,25,0,14,0,3,3,3,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,0,-1,13,5,0.2777778,-1,9
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cache\decorators\LoggingCache.java,org.apache.ibatis.cache.decorators.LoggingCache,25,class,1,2,4,1,0.625,45,0,13,0,4,10,12,org.apache.ibatis.cache.decorators.LoggingCache,0,-1,4,9,0.6923077,-1,2
