file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,FeatureEnvy
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,commit/0,0,0,1,2,0,0,0,0,0,0,0,0,-1.0,0,67,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,67.0,org.apache.ibatis.transaction.managed.ManagedTransaction.commit,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,1,3,3,9,0,0,0,0,0,0,3,2,0.4,3,86,1.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.4,3.0,86.0,org.apache.ibatis.transaction.managed.ManagedTransaction.openConnection,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,0,2,4,8,0,0,0,0,0,0,0,3,1.0,0,77,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,77.0,org.apache.ibatis.transaction.managed.ManagedTransaction.close,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,getTimeout/0,0,0,1,3,1,0,0,0,0,0,0,0,-1.0,0,97,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,97.0,org.apache.ibatis.transaction.managed.ManagedTransaction.getTimeout,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",1,0,1,4,0,0,2,0,0,0,0,2,1.0,0,47,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,47.0,org.apache.ibatis.transaction.managed.ManagedTransaction.ManagedTransaction,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",1,0,1,5,0,0,3,0,0,0,0,3,1.0,0,52,1.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,52.0,org.apache.ibatis.transaction.managed.ManagedTransaction.ManagedTransaction,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,rollback/0,0,0,1,2,0,0,0,0,0,0,0,0,-1.0,0,72,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,72.0,org.apache.ibatis.transaction.managed.ManagedTransaction.rollback,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,getConnection/0,0,1,2,6,1,0,0,0,0,0,0,2,1.0,0,59,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,59.0,org.apache.ibatis.transaction.managed.ManagedTransaction.getConnection,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,getJobTitle/0,0,0,1,3,1,0,0,0,0,0,0,1,1.0,0,21,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,org.apache.ibatis.submitted.multiple_discriminator.Employee.getJobTitle,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,setJobTitle/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,0,1,1.0,0,25,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,org.apache.ibatis.submitted.multiple_discriminator.Employee.setJobTitle,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest.3MyResultHandler,handleResult/1[org.apache.ibatis.submitted.deferload_common_property.ResultContext],0,1,1,4,0,1,1,0,0,0,1,0,0.0,1,91,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,91.0,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest.3MyResultHandler.handleResult,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,0,3,1,8,0,3,0,0,0,0,5,3,0.375,3,51,0.0,3.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.375,3.0,51.0,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest.shouldLoadImmutablePOJOBySignature,0.0
